gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.7,0.0,0.0,1.0,0.21468688901682664,2.0,6.0,0.06911518201852612,0.2460356067841637,0.0,1.0,0.0,3.0
-0.7,0.0,1.0,0.0,0.9095023713416636,8.0,3.0,0.25082578915931203,0.13957269941957223,5.0,0.0,0.0,0.0
-0.7,0.0,2.0,1.0,0.8172353731634568,13.0,10.0,0.5961477390109164,0.6432876402518428,3.0,0.0,1.0,1.0
-0.7,0.0,3.0,0.0,0.9038804747351074,18.0,13.0,0.9982116014853535,0.9316412985003062,5.0,0.0,2.0,2.0
-0.7,0.0,4.0,0.0,0.706879269974428,14.0,10.0,0.5151695832586975,0.6759935646387268,1.0,0.0,6.0,3.0
-0.7,0.0,5.0,0.0,0.11807620134088448,5.0,4.0,0.2587539546372768,0.24682253840174828,4.0,2.0,0.0,1.0
-0.7,0.0,6.0,1.0,0.09240081507565423,5.0,4.0,0.21503076534464674,0.2201848334054445,2.0,0.0,0.0,1.0
-0.7,0.0,7.0,0.0,0.5619739983126795,8.0,5.0,0.4366705370499987,0.23324907251949262,3.0,0.0,2.0,2.0
-0.7,0.0,8.0,1.0,0.5714119651861759,11.0,4.0,0.4183856577679853,0.2290980910873079,2.0,0.0,5.0,0.0
-0.7,0.0,9.0,0.0,0.038956964574643815,5.0,9.0,0.2738236902854966,0.6687989668284239,3.0,3.0,0.0,4.0
-0.7,0.0,10.0,0.0,0.32654746569377546,2.0,5.0,0.09593617068004917,0.25833334607499786,1.0,2.0,0.0,2.0
-0.7,0.0,11.0,1.0,0.29081818399911286,9.0,10.0,0.4612476281508369,0.5509827109895207,2.0,2.0,1.0,2.0
-0.7,0.0,12.0,0.0,0.5105631773544871,14.0,9.0,0.6229657071089044,0.5715173576999697,4.0,0.0,1.0,0.0
-0.7,0.0,13.0,0.0,0.30384681613764786,13.0,12.0,0.7157983677803456,0.7186320990195957,2.0,1.0,3.0,3.0
-0.7,0.0,14.0,1.0,0.3037439848381618,2.0,7.0,0.09824559335363937,0.46954874721460127,2.0,2.0,0.0,5.0
-0.7,0.0,15.0,1.0,0.14317216178281733,1.0,5.0,0.06536635176116962,0.2677057971574747,1.0,1.0,0.0,4.0
-0.7,0.0,16.0,0.0,0.036330028519636404,1.0,6.0,0.052405048301080746,0.3231037152499691,1.0,1.0,0.0,5.0
-0.7,0.0,17.0,0.0,0.3992353379934255,12.0,11.0,0.5482896115327167,0.7197685622380444,3.0,0.0,0.0,2.0
-0.7,0.0,18.0,1.0,0.7468420326825728,16.0,9.0,0.7207438639033114,0.579318276803762,5.0,0.0,3.0,1.0
-0.7,0.0,19.0,1.0,0.8549677477614205,8.0,7.0,0.2855121400634425,0.3207948427348214,3.0,0.0,1.0,3.0
-0.7,0.0,20.0,1.0,0.6546804603259065,9.0,7.0,0.481521449973184,0.4260687545192134,1.0,0.0,3.0,2.0
-0.7,0.0,21.0,0.0,0.9662900439556562,16.0,7.0,0.8130621941575175,0.38022065508535113,5.0,0.0,4.0,0.0
-0.7,0.0,22.0,1.0,0.6436553274198422,13.0,8.0,0.5312004148776922,0.37947716415406757,3.0,0.0,3.0,1.0
-0.7,0.0,23.0,0.0,0.7442671715418359,12.0,10.0,0.545197177983566,0.5278740863024959,3.0,0.0,0.0,1.0
-0.7,0.0,24.0,1.0,0.8320025806004527,0.0,6.0,0.0,0.32983457052744664,0.0,3.0,0.0,3.0
-0.7,0.0,25.0,1.0,0.005958057194502042,4.0,5.0,0.19385459076416958,0.26944538134870233,2.0,1.0,0.0,2.0
-0.7,0.0,26.0,0.0,0.5333576729256835,12.0,7.0,0.7891928839668119,0.41832810335446735,3.0,0.0,4.0,2.0
-0.7,0.0,27.0,1.0,0.9208275727387559,10.0,9.0,0.5462638725720619,0.5112222801525619,1.0,0.0,2.0,2.0
-0.7,0.0,28.0,0.0,0.1832838663977726,3.0,4.0,0.14663616830736528,0.24132634740724687,2.0,0.0,0.0,3.0
-0.7,0.0,29.0,1.0,0.9869481821956921,0.0,5.0,0.0,0.19629529503332654,0.0,2.0,0.0,3.0
-0.7,0.0,30.0,1.0,0.4695920874499636,12.0,6.0,0.602495821495627,0.33616161715294796,4.0,1.0,3.0,0.0
