gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.3,0.0,0.0,1.0,0.2901690177671705,3.0,9.0,0.1633449420592618,0.5047796016886933,0.5734536678058357,0.0,2.0,0.0,4.0
0.3,0.0,1.0,0.0,0.8218534733920103,12.0,9.0,0.6342922658932534,0.3946041940088117,0.32843436293135014,4.0,0.0,0.0,1.0
0.3,0.0,2.0,1.0,0.032507774022405345,6.0,9.0,0.27492734315795064,0.4445756624637611,0.4525977004830174,0.0,1.0,0.0,2.0
0.3,0.0,3.0,0.0,0.2579479305385608,2.0,5.0,0.11277927014793632,0.20862845378092157,0.6018948423279019,0.0,1.0,0.0,2.0
0.3,0.0,4.0,1.0,0.37244441949384555,4.0,8.0,0.2557968157394334,0.38316661055116624,0.40285037764850745,1.0,2.0,0.0,3.0
0.3,0.0,5.0,1.0,0.8779890837200499,13.0,12.0,0.6271514679049603,0.6861284021734776,0.047036386042965846,3.0,0.0,0.0,2.0
0.3,0.0,6.0,1.0,0.17573393075135024,5.0,9.0,0.24453661710284094,0.5840092982423628,0.6679795141941922,4.0,3.0,0.0,5.0
0.3,0.0,7.0,1.0,0.8805978391063946,14.0,10.0,0.6308240388800505,0.46738084214063585,0.3149002759116706,6.0,0.0,2.0,4.0
0.3,0.0,8.0,1.0,0.3575983029476213,1.0,10.0,0.061521014462898975,0.5436762362312633,0.7161323390269398,0.0,2.0,0.0,7.0
0.3,0.0,9.0,1.0,0.2815402493822926,5.0,11.0,0.27527556844069884,0.5667270618069714,0.44633872989301565,2.0,4.0,0.0,4.0
0.3,0.0,10.0,0.0,0.9997873007632695,15.0,10.0,0.6606286854050156,0.4936638991813789,0.10990536678818102,2.0,0.0,3.0,0.0
0.3,0.0,11.0,1.0,0.6575256524196115,12.0,10.0,0.5439929247020417,0.44580113524987214,0.4654068861911595,2.0,0.0,1.0,1.0
0.3,0.0,12.0,0.0,0.07584439598526949,2.0,8.0,0.11585240019257796,0.4278267726422165,0.8033560326931934,1.0,3.0,0.0,4.0
0.3,0.0,13.0,1.0,0.24511874079295515,7.0,14.0,0.49114968984717877,0.9436689169032053,0.47069490860009383,0.0,1.0,1.0,7.0
0.3,0.0,14.0,0.0,0.30023561355116846,4.0,11.0,0.2207374639886068,0.5364319966653854,0.15451354662606076,1.0,2.0,0.0,6.0
0.3,0.0,15.0,0.0,0.29473572991476793,12.0,4.0,0.5913551164216994,0.17535918023795252,0.5430762122549305,8.0,0.0,2.0,2.0
0.3,0.0,16.0,1.0,0.7509204710627747,7.0,6.0,0.4302382402943945,0.3382774589389372,-0.3328332033267507,0.0,0.0,2.0,1.0
0.3,0.0,17.0,1.0,0.19713206804075178,6.0,9.0,0.3542044610743227,0.4934783581369979,0.4447209342104998,1.0,1.0,1.0,4.0
0.3,0.0,18.0,0.0,0.06882126709349679,3.0,5.0,0.1601945344255834,0.2216492674871451,0.6475054144946024,2.0,2.0,0.0,2.0
0.3,0.0,19.0,1.0,0.02974882137458834,4.0,5.0,0.17962428615763046,0.2988011262525712,0.6174203073790642,1.0,0.0,0.0,2.0
0.3,0.0,20.0,0.0,0.16862670449101125,8.0,12.0,0.46181858132275455,0.6199970938023935,0.5254055673109999,5.0,3.0,0.0,6.0
0.3,0.0,21.0,1.0,0.11701460070224012,3.0,8.0,0.152306172922494,0.3695610342908073,0.6578207874774677,1.0,2.0,0.0,4.0
0.3,0.0,22.0,0.0,0.3216483325710433,5.0,6.0,0.24161900534817693,0.3435974257851094,0.6600371889427457,3.0,2.0,0.0,2.0
0.3,0.0,23.0,1.0,0.8190068737114029,4.0,3.0,0.2115801467262267,0.19951040774165005,0.20609797090910295,1.0,0.0,1.0,1.0
0.3,0.0,24.0,1.0,0.4826053098694095,1.0,6.0,0.023023424451912695,0.22329780063167468,0.640496017031699,1.0,3.0,0.0,3.0
0.3,0.0,25.0,0.0,0.6141268534776639,3.0,2.0,0.22592145724210677,0.07043127443190289,0.6464436111346934,2.0,1.0,0.0,0.0
0.3,0.0,26.0,0.0,0.09519213145951877,5.0,11.0,0.3100799507436149,0.6033157016936512,0.7076666529373988,2.0,0.0,0.0,8.0
0.3,0.0,27.0,0.0,0.5957949865683894,7.0,10.0,0.33212884862224307,0.7060190820448515,0.29061167655874687,1.0,4.0,1.0,1.0
0.3,0.0,28.0,0.0,0.9776759317287895,17.0,8.0,0.7577753319326337,0.37089384756462274,0.37935180597510704,8.0,0.0,2.0,1.0
0.3,0.0,29.0,0.0,0.5014282790993116,11.0,8.0,0.6104256006744342,0.4131707553710745,0.08816223200596691,3.0,0.0,3.0,3.0
0.3,0.0,30.0,1.0,0.8279878866564477,8.0,7.0,0.40240227084812663,0.3963666172397355,0.28662194108692335,2.0,0.0,1.0,2.0
0.3,0.0,31.0,0.0,0.7045472684924787,9.0,8.0,0.416261343216464,0.3128392463668417,0.4754499509320566,2.0,1.0,1.0,1.0
0.3,0.0,32.0,1.0,0.1661994387634117,2.0,5.0,0.15622847023290048,0.3348608609026681,0.5740230282952359,0.0,1.0,0.0,2.0
0.3,0.0,33.0,0.0,0.22655697850948342,6.0,9.0,0.32701997274435046,0.5486676801185935,0.7079020539328215,3.0,3.0,0.0,3.0
0.3,0.0,34.0,0.0,0.8958050277533287,14.0,10.0,0.8045770687437579,0.5795544936096693,0.12676124654391566,3.0,0.0,4.0,3.0
0.3,0.0,35.0,1.0,0.5860614143380635,12.0,9.0,0.709933510719579,0.5048375200325118,0.046165271058778885,1.0,1.0,3.0,0.0
0.3,0.0,36.0,1.0,0.17015818455947107,2.0,11.0,0.1082470164565227,0.6247491470301434,0.6774655016910645,0.0,4.0,0.0,5.0
0.3,0.0,37.0,0.0,0.8628886221954535,9.0,5.0,0.461634738593624,0.24723309447973937,0.2198999338243344,4.0,0.0,2.0,2.0
0.3,0.0,38.0,0.0,0.7107133269212482,9.0,9.0,0.39572609401268377,0.33257464619006205,0.7004179067677178,5.0,0.0,0.0,5.0
0.3,0.0,39.0,1.0,0.6458728770243423,2.0,8.0,0.08415577836314743,0.4594620127671064,0.6732242246548868,2.0,2.0,0.0,6.0
0.3,0.0,40.0,1.0,0.981779740159139,15.0,11.0,0.6382257110627289,0.6897398431718085,0.4322598848282267,2.0,0.0,2.0,0.0
0.3,0.0,41.0,0.0,0.5257468448316936,1.0,3.0,0.045951420010815335,0.13544588747384326,0.8335213349967796,1.0,1.0,0.0,2.0
