gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.5,0.0,0.0,1.0,0.5233928297818823,15.0,9.0,0.6669391475913755,0.4668131735950671,6.0,0.0,1.0,1.0
0.5,0.0,1.0,1.0,0.7411824783466785,12.0,11.0,0.5531988961489408,0.563423389700237,1.0,0.0,2.0,2.0
0.5,0.0,2.0,1.0,0.41821034096241094,11.0,12.0,0.4044359006888748,0.5966855410010736,0.0,0.0,0.0,1.0
0.5,0.0,3.0,0.0,0.889716059553345,11.0,7.0,0.46148991880678836,0.3489539222318756,3.0,0.0,1.0,0.0
0.5,0.0,4.0,0.0,0.8771399460992197,10.0,13.0,0.3613367345592908,0.7046057894979383,1.0,0.0,0.0,4.0
0.5,0.0,5.0,1.0,0.43691061727229075,11.0,8.0,0.4318934634490159,0.3899997872589067,4.0,0.0,1.0,2.0
0.5,0.0,6.0,0.0,0.6535976563064814,13.0,11.0,0.5019962416195226,0.5522333131312884,3.0,0.0,1.0,2.0
0.5,0.0,7.0,1.0,0.48701716939923856,7.0,5.0,0.2928535950711934,0.2856374409258177,1.0,0.0,1.0,0.0
0.5,0.0,8.0,1.0,0.283968732025496,2.0,12.0,0.08261051074703722,0.6702762902853351,0.0,5.0,0.0,5.0
0.5,0.0,9.0,0.0,0.2520475847800048,3.0,7.0,0.15401909764550997,0.38575280431667575,2.0,0.0,0.0,6.0
0.5,0.0,10.0,0.0,0.5877992011501156,4.0,5.0,0.18185008822297322,0.3215449246172552,2.0,1.0,0.0,2.0
0.5,0.0,11.0,1.0,0.5033213298960924,10.0,7.0,0.43620023562718585,0.4079457737543263,1.0,0.0,3.0,1.0
0.5,0.0,12.0,1.0,0.49604999392720395,10.0,9.0,0.38543623408020017,0.5150269884453262,1.0,0.0,2.0,2.0
0.5,0.0,13.0,0.0,0.8432070596665875,11.0,10.0,0.38960703169910144,0.5433173427331688,2.0,0.0,1.0,2.0
0.5,0.0,14.0,1.0,0.9174253540948563,10.0,9.0,0.43003230028514244,0.46580454562642365,2.0,0.0,0.0,1.0
0.5,0.0,15.0,0.0,0.40007046514119704,9.0,8.0,0.27058490094063214,0.36614562136439266,2.0,1.0,1.0,1.0
0.5,0.0,16.0,0.0,0.9427088134218625,18.0,12.0,0.79048617044764,0.6370679402085905,4.0,0.0,3.0,1.0
0.5,0.0,17.0,1.0,0.6791663717008416,3.0,4.0,0.10871259141741013,0.15791111490997733,0.0,0.0,0.0,1.0
0.5,0.0,18.0,0.0,0.8252450169981329,9.0,10.0,0.34232457512576825,0.5331061515782617,1.0,0.0,1.0,3.0
0.5,0.0,19.0,0.0,0.9363826040797826,9.0,7.0,0.37189669596141506,0.267816437190536,1.0,0.0,2.0,1.0
0.5,0.0,20.0,0.0,0.945970496165563,14.0,8.0,0.5666589702750955,0.48377811222754363,4.0,0.0,3.0,1.0
0.5,0.0,21.0,0.0,0.6563639880276652,6.0,7.0,0.2370566713071721,0.46948694561513044,1.0,0.0,0.0,2.0
0.5,0.0,22.0,0.0,0.7998666105691515,10.0,7.0,0.41365260441253493,0.3882329621616705,5.0,0.0,0.0,2.0
0.5,0.0,23.0,0.0,0.2012760330388561,1.0,5.0,0.037541429612766776,0.3802852988959201,1.0,0.0,0.0,5.0
0.5,0.0,24.0,0.0,0.3811786735851713,15.0,10.0,0.6133569064051049,0.5110459277077692,5.0,1.0,1.0,0.0
0.5,0.0,25.0,0.0,0.547380889120942,2.0,7.0,0.07813434164464389,0.30274851643747686,1.0,4.0,1.0,3.0
0.5,0.0,26.0,0.0,0.10155330382680217,5.0,7.0,0.21733135842326626,0.287419482366432,3.0,1.0,0.0,4.0
0.5,0.0,27.0,0.0,0.33676270400434893,16.0,12.0,0.6882329744629218,0.6680540820053954,5.0,0.0,1.0,2.0
0.5,0.0,28.0,1.0,0.624728116834759,5.0,5.0,0.2025890070560615,0.19153357812557142,1.0,0.0,1.0,2.0
0.5,0.0,29.0,0.0,0.7464703335887914,10.0,10.0,0.42687713649986375,0.5201889124240818,0.0,0.0,0.0,0.0
0.5,0.0,30.0,1.0,0.47382927422293963,13.0,11.0,0.5369308169120776,0.6149586779657477,3.0,0.0,1.0,2.0
