gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,0.0,0.0,0.0,0.7879955433794817,8.0,5.0,0.39858480902580495,0.25430839316139786,0.0,0.0,3.0,0.0
0.9,0.0,1.0,1.0,0.837899079090607,14.0,11.0,0.6920784038759534,0.5837681765487369,0.0,0.0,3.0,0.0
0.9,0.0,2.0,0.0,0.027626699940338728,9.0,8.0,0.487391336641656,0.399983028011991,4.0,2.0,1.0,2.0
0.9,0.0,3.0,1.0,0.8643006336457159,8.0,5.0,0.3864376509979721,0.3175703894540322,1.0,0.0,2.0,0.0
0.9,0.0,4.0,1.0,0.49537451320044257,10.0,9.0,0.5332204022378558,0.5092445579801297,0.0,1.0,2.0,0.0
0.9,0.0,5.0,1.0,0.5208699094848576,12.0,9.0,0.5836566583406853,0.4208326007319655,1.0,0.0,3.0,1.0
0.9,0.0,6.0,1.0,0.9165019385426612,10.0,7.0,0.4921424424033694,0.44879880454878784,2.0,0.0,1.0,0.0
0.9,0.0,7.0,0.0,0.9803527358261553,15.0,11.0,0.7964196908466186,0.5852241998892613,2.0,0.0,2.0,0.0
0.9,0.0,8.0,1.0,0.5467865490101835,12.0,9.0,0.5248824793799048,0.41816342698851433,2.0,0.0,1.0,0.0
0.9,0.0,9.0,0.0,0.9522512148910356,8.0,6.0,0.3553925725927389,0.2502359777597849,1.0,0.0,1.0,0.0
0.9,0.0,10.0,0.0,0.3339424227789818,7.0,6.0,0.3785235483851832,0.29065824488477254,1.0,0.0,1.0,1.0
0.9,0.0,11.0,1.0,0.3728670381883499,3.0,3.0,0.175194313867896,0.2122435014443075,1.0,1.0,1.0,1.0
0.9,0.0,12.0,1.0,0.29084612122025644,2.0,4.0,0.08049476518380193,0.19692744713440918,1.0,2.0,0.0,1.0
0.9,0.0,13.0,0.0,0.8237983325978216,8.0,7.0,0.4495401604504842,0.3969149689356439,0.0,0.0,1.0,0.0
0.9,0.0,14.0,0.0,0.6720426109502342,11.0,9.0,0.7270162322489617,0.5433813317558418,1.0,0.0,1.0,0.0
0.9,0.0,15.0,0.0,0.9979183845124736,11.0,7.0,0.5569277221299491,0.23700696133585497,1.0,0.0,3.0,0.0
0.9,0.0,16.0,1.0,0.5797089922720582,1.0,5.0,0.06701670644024246,0.31023326054311556,1.0,1.0,0.0,4.0
0.9,0.0,17.0,0.0,0.16582848000068318,4.0,8.0,0.22456154925663172,0.3783907556642095,1.0,2.0,0.0,3.0
0.9,0.0,18.0,1.0,0.17517720405082948,7.0,7.0,0.4454835194180134,0.373782430054006,1.0,0.0,1.0,2.0
0.9,0.0,19.0,1.0,0.2316871798740513,2.0,11.0,0.10183571589987855,0.5721035533164017,0.0,1.0,0.0,8.0
0.9,0.0,20.0,1.0,0.12292711517514376,3.0,3.0,0.11698766079370639,0.16290708386498434,2.0,1.0,0.0,1.0
0.9,0.0,21.0,1.0,0.4456804895229054,15.0,12.0,0.7623718534193364,0.7158376842111099,1.0,0.0,4.0,2.0
0.9,0.0,22.0,1.0,0.18837735807389255,6.0,9.0,0.33264442036244746,0.32413748964233036,2.0,3.0,0.0,2.0
0.9,0.0,23.0,1.0,0.6219545391368876,7.0,4.0,0.30657597535529735,0.19332815731395098,4.0,1.0,0.0,0.0
0.9,0.0,24.0,0.0,0.4683208571638533,8.0,4.0,0.4579051111882918,0.25928108527009586,5.0,1.0,1.0,1.0
0.9,0.0,25.0,0.0,0.8053930845651986,10.0,9.0,0.5440170479817604,0.4621682587061677,1.0,0.0,0.0,0.0
0.9,0.0,26.0,0.0,0.39044975082081057,4.0,5.0,0.1880302571859868,0.23022383004324806,0.0,0.0,1.0,2.0
0.9,0.0,27.0,1.0,0.7995193460628517,8.0,6.0,0.3649567273817932,0.30004656545854724,1.0,0.0,1.0,0.0
0.9,0.0,28.0,1.0,0.1496084668790144,4.0,5.0,0.25435100096801794,0.2569841643411783,1.0,1.0,0.0,1.0
0.9,0.0,29.0,0.0,0.878299923511207,8.0,7.0,0.3614509810781194,0.3176592511137167,1.0,0.0,0.0,0.0
0.9,0.0,30.0,0.0,0.31838822115133236,13.0,10.0,0.6059452016144081,0.4929958254778974,3.0,1.0,1.0,0.0
0.9,0.0,31.0,1.0,0.45596285448530727,8.0,7.0,0.47875133155878474,0.39475467437478934,1.0,0.0,1.0,1.0
0.9,0.0,32.0,1.0,0.2558588624727929,6.0,9.0,0.3787161842004437,0.45985287792355295,0.0,0.0,1.0,4.0
0.9,0.0,33.0,1.0,0.3294098218695102,5.0,8.0,0.325059314549937,0.5025678039595539,1.0,2.0,0.0,2.0
0.9,0.0,34.0,0.0,0.7352663654295872,7.0,7.0,0.4487144086973829,0.38450519485756096,0.0,0.0,0.0,0.0
0.9,0.0,35.0,1.0,0.7512047969299277,6.0,3.0,0.36639759559237156,0.11712011630436985,1.0,0.0,2.0,0.0
0.9,0.0,36.0,0.0,0.21322501409997963,7.0,8.0,0.4187911249084402,0.4349966673440483,1.0,3.0,2.0,1.0
0.9,0.0,37.0,0.0,0.08494288224379598,6.0,10.0,0.4227731452825275,0.542463115627278,0.0,3.0,2.0,3.0
0.9,0.0,38.0,1.0,0.8418056165098897,17.0,10.0,0.7103767602178627,0.4591339852139461,2.0,0.0,5.0,0.0
0.9,0.0,39.0,0.0,0.7205626078111762,7.0,6.0,0.33881748745409945,0.3016410451940052,2.0,2.0,3.0,2.0
0.9,0.0,40.0,1.0,0.7153552437346672,12.0,11.0,0.6538412387689095,0.596231698233487,1.0,0.0,2.0,2.0
0.9,0.0,41.0,0.0,0.31096764968981816,6.0,7.0,0.34696763483967924,0.36053426471212024,0.0,0.0,2.0,3.0
0.9,0.0,42.0,0.0,0.10084203630371746,6.0,9.0,0.3756423123350039,0.5413076066919016,1.0,2.0,1.0,3.0
