gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.2,0,0,6,11,6,11,2,2,0,5
-0.2,0,1,14,8,14,8,4,0,3,1
-0.2,0,2,4,10,4,10,2,0,1,9
-0.2,0,3,17,10,17,10,3,0,5,1
-0.2,0,4,4,15,4,15,2,4,0,9
-0.2,0,5,13,9,13,9,3,0,1,0
-0.2,0,6,17,12,17,12,4,0,3,2
-0.2,0,7,17,11,17,11,5,0,2,1
-0.2,0,8,14,12,14,12,1,0,3,2
-0.2,0,9,10,8,10,8,0,0,2,0
-0.2,0,10,12,9,12,9,5,1,2,3
-0.2,0,11,10,9,10,9,3,0,1,3
-0.2,0,12,1,13,1,13,1,3,0,10
-0.2,0,13,13,10,13,10,3,0,3,3
-0.2,0,14,6,7,6,7,2,2,1,2
-0.2,0,15,13,8,13,8,1,0,5,1
-0.2,0,16,14,12,14,12,1,0,3,2
-0.2,0,17,10,6,10,6,6,0,1,3
-0.2,0,18,11,20,11,20,2,4,1,8
-0.2,0,19,6,8,6,8,2,3,2,3
-0.2,0,20,6,14,6,14,3,2,0,9
-0.2,0,21,2,8,2,8,0,3,0,3
-0.2,0,22,4,5,4,5,2,1,0,2
-0.2,0,23,14,10,14,10,3,3,4,0
-0.2,0,24,11,10,11,10,2,0,2,3
-0.2,0,25,18,11,18,11,4,0,3,0
-0.2,0,26,6,11,6,11,0,2,1,4
-0.2,0,27,18,15,18,15,3,1,2,1
-0.2,0,28,6,5,6,5,1,0,2,2
-0.2,0,29,13,15,13,15,2,0,1,5
-0.2,0,30,12,12,12,12,2,0,0,2
-0.2,0,31,11,7,11,7,3,2,3,0
-0.2,0,32,14,14,14,14,3,0,1,4
-0.2,0,33,13,10,13,10,5,0,1,3
-0.2,0,34,11,9,11,9,1,0,4,3
-0.2,0,35,14,7,14,7,6,0,2,1
-0.2,0,36,16,11,16,11,4,0,2,1
-0.2,0,37,11,14,11,14,3,0,1,7
-0.2,0,38,14,13,14,13,6,0,1,6
-0.2,0,39,10,7,10,7,1,0,3,1
-0.2,0,40,3,7,3,7,2,1,0,5
-0.2,0,41,3,8,3,8,2,0,0,7
-0.2,0,42,12,10,12,10,4,0,1,3
-0.2,0,43,6,7,6,7,3,2,0,2
-0.2,0,44,10,8,10,8,1,0,2,1
-0.2,0,45,12,8,12,8,4,0,1,1
-0.2,0,46,11,7,11,7,4,1,2,1
-0.2,0,47,7,6,7,6,3,1,1,2
-0.2,0,48,16,11,16,11,4,1,3,1
-0.2,0,49,11,9,11,9,4,0,1,3
-0.2,0,50,11,8,11,8,0,1,5,1
-0.2,0,51,1,3,1,3,0,0,0,2
-0.2,0,52,13,8,13,8,3,0,3,1
-0.2,0,53,10,7,10,7,3,1,2,1
-0.2,0,54,16,11,16,11,3,0,3,1
-0.2,0,55,4,11,4,11,0,5,0,2
-0.2,0,56,12,11,12,11,1,0,1,1
-0.2,0,57,6,11,6,11,2,3,0,4
-0.2,0,58,16,11,16,11,8,1,1,3
-0.2,0,59,6,10,6,10,2,1,0,5
-0.2,0,60,9,12,9,12,3,3,1,4
-0.2,0,61,11,10,11,10,1,0,2,2
-0.2,0,62,8,11,8,11,2,0,0,5
-0.2,0,63,4,12,4,12,1,4,0,5
-0.2,0,64,11,7,11,7,3,0,2,1
-0.2,0,65,9,7,9,7,3,0,2,3
-0.2,0,66,1,2,1,2,1,0,0,2
-0.2,0,67,11,15,11,15,2,1,0,5
-0.2,0,68,12,9,12,9,3,0,1,1
-0.2,0,69,2,8,2,8,1,1,0,6
-0.2,0,70,10,9,10,9,4,0,1,4
-0.2,0,71,6,9,6,9,2,0,0,5
-0.2,0,72,13,11,13,11,1,0,2,1
-0.2,0,73,12,5,12,5,5,0,3,1
-0.2,0,74,15,8,15,8,6,0,1,0
-0.2,0,75,6,9,6,9,1,1,1,4
-0.2,0,76,13,13,13,13,1,0,3,4
-0.2,0,77,15,9,15,9,3,0,3,0
-0.2,0,78,4,6,4,6,1,1,0,2
-0.2,0,79,7,9,7,9,3,1,1,5
