gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,0,0,14,12,14,12,2,0,0,0
0.9,0,1,7,5,7,5,2,0,1,1
0.9,0,2,6,8,6,8,1,1,0,2
0.9,0,3,7,6,7,6,0,0,1,0
0.9,0,4,4,6,4,6,2,3,0,1
0.9,0,5,2,7,2,7,0,2,0,3
0.9,0,6,8,5,8,5,0,0,3,0
0.9,0,7,12,6,12,6,4,0,2,0
0.9,0,8,3,7,3,7,0,4,0,0
0.9,0,9,11,9,11,9,0,0,2,0
0.9,0,10,7,8,7,8,0,1,0,0
0.9,0,11,2,7,2,7,1,2,0,4
0.9,0,12,1,3,1,3,0,0,0,2
0.9,0,13,12,10,12,10,1,0,1,0
0.9,0,14,9,5,9,5,4,1,1,0
0.9,0,15,13,7,13,7,3,0,3,0
0.9,0,16,0,3,0,3,0,1,0,2
0.9,0,17,3,6,3,6,1,4,1,1
0.9,0,18,4,6,4,6,1,1,0,2
0.9,0,19,6,7,6,7,0,2,1,0
0.9,0,20,4,5,4,5,0,1,1,1
0.9,0,21,9,11,9,11,1,1,2,4
0.9,0,22,4,8,4,8,0,1,1,4
0.9,0,23,0,2,0,2,0,1,0,1
0.9,0,24,6,9,6,9,2,0,0,5
0.9,0,25,9,5,9,5,0,0,4,0
0.9,0,26,3,6,3,6,1,2,1,3
0.9,0,27,0,1,0,1,0,0,0,1
0.9,0,28,3,3,3,3,2,1,0,1
0.9,0,29,9,4,9,4,3,0,2,0
0.9,0,30,4,5,4,5,1,1,0,1
0.9,0,31,6,5,6,5,1,0,1,1
0.9,0,32,5,1,5,1,2,0,2,0
0.9,0,33,5,7,5,7,0,1,0,1
0.9,0,34,7,5,7,5,2,0,1,1
0.9,0,35,9,5,9,5,0,0,4,0
0.9,0,36,6,7,6,7,2,1,0,2
0.9,0,37,4,5,4,5,0,0,0,1
0.9,0,38,9,7,9,7,2,0,0,0
0.9,0,39,12,12,12,12,0,0,2,2
0.9,0,40,10,8,10,8,1,0,1,0
0.9,0,41,4,6,4,6,1,1,1,3
0.9,0,42,5,5,5,5,2,1,1,2
0.9,0,43,9,8,9,8,1,0,0,0
0.9,0,44,11,5,11,5,4,0,2,0
0.9,0,45,0,4,0,4,0,1,0,3
0.9,0,46,8,4,8,4,2,0,3,1
0.9,0,47,2,2,2,2,0,0,1,1
0.9,0,48,9,9,9,9,1,0,1,2
0.9,0,49,4,9,4,9,1,2,1,5
0.9,0,50,8,7,8,7,2,0,0,1
0.9,0,51,10,6,10,6,3,0,1,0
0.9,0,52,3,5,3,5,0,1,1,2
0.9,0,53,6,6,6,6,0,0,0,0
0.9,0,54,11,6,11,6,1,0,4,0
0.9,0,55,11,5,11,5,5,0,1,0
0.9,0,56,2,5,2,5,0,2,0,1
0.9,0,57,6,4,6,4,1,0,2,1
0.9,0,58,10,5,10,5,4,0,2,1
0.9,0,59,2,5,2,5,0,2,0,1
0.9,0,60,2,3,2,3,1,1,1,2
0.9,0,61,2,4,2,4,2,2,0,2
0.9,0,62,0,3,0,3,0,1,0,2
0.9,0,63,9,8,9,8,1,0,0,0
0.9,0,64,9,5,9,5,0,0,4,0
0.9,0,65,6,5,6,5,0,0,1,0
0.9,0,66,5,3,5,3,1,0,2,1
0.9,0,67,4,5,4,5,0,0,1,2
0.9,0,68,7,6,7,6,0,1,2,0
0.9,0,69,6,4,6,4,2,0,0,0
0.9,0,70,9,6,9,6,3,0,1,1
0.9,0,71,3,8,3,8,1,1,0,5
0.9,0,72,1,4,1,4,0,0,0,3
0.9,0,73,3,4,3,4,2,0,0,3
0.9,0,74,5,4,5,4,2,0,0,1
0.9,0,75,5,8,5,8,1,0,1,5
0.9,0,76,7,3,7,3,3,0,1,0
0.9,0,77,10,5,10,5,2,0,3,0
0.9,0,78,2,3,2,3,1,2,1,1
0.9,0,79,8,6,8,6,1,0,1,0
