samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,0.0522,0.0278,0.0244,0.0541,0.0282,0.0259,0.0325,0.7844348153171683,0.800000000000127,0.0
20.0,0.0567,0.0213,0.0354,0.0591,0.0215,0.0376,0.0433,0.8421609326346169,0.800000000000127,1.0
20.0,0.0468,0.0259,0.0209,0.0492,0.0275,0.0217,0.0306,0.8178092258948106,0.800000000000127,2.0
20.0,0.0448,0.024,0.0208,0.0471,0.0252,0.0219,0.0317,0.835953319569278,0.800000000000127,3.0
20.0,0.0515,0.0218,0.0297,0.0544,0.0228,0.0316,0.038,0.8274541008467137,0.800000000000127,4.0
20.0,0.0479,0.0222,0.0257,0.0508,0.0237,0.0271,0.0308,0.7643821141305662,0.800000000000127,5.0
20.0,0.0343,0.0135,0.0208,0.0354,0.014,0.0214,0.0268,0.8954301813692939,0.800000000000127,6.0
20.0,0.0449,0.0308,0.0141,0.0464,0.0315,0.0149,0.0342,0.8620966790423614,0.800000000000127,7.0
20.0,0.0605,0.0249,0.0356,0.0644,0.028,0.0364,0.0454,0.8153500278534149,0.800000000000127,8.0
20.0,0.0491,0.0213,0.0278,0.0528,0.0236,0.0292,0.0342,0.8049949267482903,0.800000000000127,9.0
20.0,0.0531,0.0342,0.0189,0.0561,0.0353,0.0208,0.0437,0.8591276121186212,0.800000000000127,10.0
20.0,0.0618,0.0345,0.0273,0.0651,0.0361,0.029,0.0479,0.8431404688267434,0.800000000000127,11.0
20.0,0.0438,0.0215,0.0223,0.047,0.0223,0.0247,0.0346,0.8782885829417876,0.800000000000127,12.0
20.0,0.0564,0.0255,0.0309,0.0588,0.0264,0.0324,0.0418,0.8382580049236397,0.800000000000127,13.0
20.0,0.0639,0.0238,0.0401,0.0674,0.025,0.0424,0.0478,0.8325820881094714,0.800000000000127,14.0
20.0,0.0369,0.0166,0.0203,0.0384,0.0167,0.0217,0.0264,0.8381508392641996,0.800000000000127,15.0
20.0,0.0405,0.0201,0.0204,0.0418,0.0209,0.0209,0.03,0.8628670915102002,0.800000000000127,16.0
20.0,0.0365,0.0185,0.018,0.0375,0.0193,0.0182,0.0283,0.8974498535902045,0.800000000000127,17.0
20.0,0.0382,0.0196,0.0186,0.0406,0.0207,0.0199,0.0256,0.7655384254812692,0.800000000000127,18.0
20.0,0.068,0.0296,0.0384,0.0712,0.0311,0.0401,0.0454,0.8083195662673609,0.800000000000127,19.0
20.0,0.0581,0.0287,0.0294,0.0619,0.0309,0.031,0.0467,0.868040138718351,0.800000000000127,20.0
20.0,0.0464,0.0253,0.0211,0.0483,0.026,0.0223,0.0303,0.8159594529342429,0.800000000000127,21.0
20.0,0.0517,0.0274,0.0243,0.0546,0.0294,0.0252,0.0376,0.846196366591606,0.800000000000127,22.0
20.0,0.058,0.0274,0.0306,0.0607,0.0289,0.0318,0.0429,0.8461546475716517,0.800000000000127,23.0
20.0,0.0479,0.0262,0.0217,0.0496,0.0266,0.023,0.0304,0.8140070009110258,0.800000000000127,24.0
20.0,0.0471,0.0286,0.0185,0.0494,0.0299,0.0195,0.036,0.8737312624701827,0.800000000000127,25.0
20.0,0.0483,0.0228,0.0255,0.0511,0.0239,0.0272,0.0359,0.8538586308342501,0.800000000000127,26.0
20.0,0.0616,0.0303,0.0313,0.0699,0.0345,0.0354,0.0513,0.8338740537358538,0.800000000000127,27.0
20.0,0.0321,0.0234,0.0087,0.0335,0.0242,0.0093,0.0297,0.934428515928516,0.800000000000127,28.0
20.0,0.0484,0.0189,0.0295,0.0501,0.0196,0.0305,0.0353,0.8643729712951682,0.800000000000127,29.0
20.0,0.04,0.0177,0.0223,0.0417,0.0181,0.0236,0.0305,0.8692360160847555,0.800000000000127,30.0
20.0,0.0462,0.0292,0.017,0.0479,0.0308,0.0171,0.0347,0.82023799939096,0.800000000000127,31.0
20.0,0.0413,0.0179,0.0234,0.0431,0.0194,0.0237,0.0267,0.7994852176547224,0.800000000000127,32.0
20.0,0.0376,0.0215,0.0161,0.0388,0.0217,0.0171,0.0254,0.8332610399641186,0.800000000000127,33.0
20.0,0.0488,0.0285,0.0203,0.0502,0.0292,0.021,0.036,0.8478442286005311,0.800000000000127,34.0
20.0,0.0423,0.0256,0.0167,0.0449,0.0269,0.018,0.0337,0.8657731351729157,0.800000000000127,35.0
20.0,0.0531,0.029,0.0241,0.0557,0.03,0.0257,0.0367,0.8198973268177422,0.800000000000127,36.0
20.0,0.0522,0.0285,0.0237,0.0535,0.0292,0.0243,0.0419,0.8723647847377844,0.800000000000127,37.0
20.0,0.0494,0.021,0.0284,0.0513,0.0223,0.029,0.0311,0.8101955473254816,0.800000000000127,38.0
20.0,0.0357,0.0248,0.0109,0.0371,0.0257,0.0114,0.0283,0.8868873654725047,0.800000000000127,39.0
20.0,0.0416,0.0178,0.0238,0.0428,0.0182,0.0246,0.0338,0.9145980870980871,0.800000000000127,40.0
20.0,0.0495,0.017,0.0325,0.0507,0.0174,0.0333,0.0413,0.8866737331526064,0.800000000000127,41.0
20.0,0.0476,0.0229,0.0247,0.0491,0.024,0.0251,0.0379,0.8956451848995708,0.800000000000127,42.0
20.0,0.0525,0.0172,0.0353,0.0554,0.0186,0.0368,0.0384,0.8231187875150725,0.800000000000127,43.0
20.0,0.0402,0.0186,0.0216,0.0437,0.0206,0.0231,0.0319,0.8320662768031188,0.800000000000127,44.0
20.0,0.0546,0.018,0.0366,0.0561,0.0183,0.0378,0.0469,0.9170843045843046,0.800000000000127,45.0
20.0,0.0443,0.0194,0.0249,0.0456,0.0206,0.025,0.0306,0.8296556177508561,0.800000000000127,46.0
20.0,0.0493,0.0228,0.0265,0.0518,0.0246,0.0272,0.0348,0.8238681273024486,0.800000000000127,47.0
20.0,0.0492,0.0155,0.0337,0.0506,0.0158,0.0348,0.042,0.9188157800232105,0.800000000000127,48.0
20.0,0.045,0.0216,0.0234,0.0488,0.0246,0.0242,0.0348,0.8093079176356992,0.800000000000127,49.0
20.0,0.0498,0.0272,0.0226,0.0517,0.029,0.0227,0.0411,0.9134968140148623,0.800000000000127,50.0
20.0,0.0355,0.0192,0.0163,0.0374,0.0203,0.0171,0.0266,0.8675424044323565,0.800000000000127,51.0
20.0,0.0533,0.0215,0.0318,0.0569,0.0244,0.0325,0.0387,0.8097714963099578,0.800000000000127,52.0
20.0,0.0562,0.0328,0.0234,0.0568,0.0332,0.0236,0.0368,0.8281664681045487,0.800000000000127,53.0
20.0,0.0491,0.0224,0.0267,0.0505,0.0228,0.0277,0.0389,0.8784225648238874,0.800000000000127,54.0
20.0,0.0667,0.0326,0.0341,0.0707,0.0343,0.0364,0.0441,0.7826465977754125,0.800000000000127,55.0
20.0,0.0502,0.0188,0.0314,0.0528,0.0207,0.0321,0.0338,0.8217309836328655,0.800000000000127,56.0
20.0,0.0466,0.0269,0.0197,0.0488,0.0285,0.0203,0.0338,0.8514367555389228,0.800000000000127,57.0
20.0,0.0513,0.021,0.0303,0.053,0.0223,0.0307,0.0358,0.8221492580088225,0.800000000000127,58.0
20.0,0.0485,0.0191,0.0294,0.0507,0.0197,0.031,0.0387,0.8499882344055278,0.800000000000127,59.0
20.0,0.0355,0.0136,0.0219,0.0359,0.0138,0.0221,0.0281,0.8869772203105536,0.800000000000127,60.0
20.0,0.0438,0.0253,0.0185,0.0476,0.0289,0.0187,0.0302,0.8290112285856372,0.800000000000127,61.0
