samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,14.4476,7.2317,7.2159,154.4646,77.413,77.0516,0.4362,0.004151821877428379,0.30000000000003585,0.0
20.0,15.4797,7.0189,8.4608,167.1751,75.2161,91.959,16.7463,0.10090717209994839,0.30000000000003585,1.0
20.0,17.508,9.6172,7.8908,192.9723,105.3375,87.6348,17.7033,0.09214973741099028,0.30000000000003585,2.0
20.0,4.4432,2.3248,2.1184,5.7567,2.7917,2.965,2.5671,0.5784825305583287,0.30000000000003585,3.0
20.0,17.3229,9.4764,7.8465,189.7196,104.6533,85.0663,19.591,0.10428523178393297,0.30000000000003585,4.0
20.0,15.5507,7.2643,8.2864,169.3815,78.8112,90.5703,11.7659,0.0711338836615221,0.30000000000003585,5.0
20.0,3.2052,1.8495,1.3557,3.4384,1.9614,1.477,2.1448,0.7460181132524616,0.30000000000003585,6.0
20.0,17.8758,7.448,10.4278,197.0244,81.7658,115.2586,33.4958,0.17053893902014888,0.30000000000003585,7.0
20.0,6.9394,2.6356,4.3038,9.8331,3.5952,6.2379,3.9713,0.5057972060405109,0.30000000000003585,8.0
20.0,2.3711,1.1524,1.2187,2.5569,1.2153,1.3416,1.8497,0.8405496249307197,0.30000000000003585,9.0
20.0,16.5569,7.7524,8.8045,188.8855,88.9357,99.9498,11.0151,0.05907662153915459,0.30000000000003585,10.0
20.0,2.5161,1.2053,1.3108,2.6105,1.2672,1.3433,1.8551,0.835611620849222,0.30000000000003585,11.0
20.0,15.5757,7.6372,7.9385,168.3249,82.9963,85.3286,2.3459,0.015562023403690175,0.30000000000003585,12.0
20.0,6.0012,3.3159,2.6853,7.0508,3.9578,3.093,3.6086,0.6300194727731276,0.30000000000003585,13.0
20.0,17.3859,8.2413,9.1446,191.1549,90.6449,100.51,9.8653,0.0519660591327664,0.30000000000003585,14.0
20.0,17.9022,9.5818,8.3204,197.1632,105.4822,91.681,13.803,0.07073990447243632,0.30000000000003585,15.0
20.0,3.578,1.859,1.719,3.8506,2.0697,1.7809,2.505,0.7810960942696156,0.30000000000003585,16.0
20.0,2.9976,1.5229,1.4747,3.1221,1.6227,1.4994,2.1587,0.8186752699874669,0.30000000000003585,17.0
20.0,3.5194,1.6133,1.9061,3.7862,1.782,2.0042,2.3822,0.775035502152612,0.30000000000003585,18.0
20.0,17.9631,9.5889,8.3742,197.3645,105.5887,91.7758,13.8187,0.07157768498317643,0.30000000000003585,19.0
20.0,17.7321,8.7416,8.9905,196.6036,97.3181,99.2855,1.9684,0.01165358822989226,0.30000000000003585,20.0
20.0,3.2386,1.3385,1.9001,3.5596,1.4672,2.0924,2.268,0.7407296115431732,0.30000000000003585,21.0
20.0,2.918,1.4989,1.4191,3.0529,1.535,1.5179,2.1099,0.818215239784195,0.30000000000003585,22.0
20.0,17.6736,9.2744,8.3992,194.3769,101.6361,92.7408,8.8969,0.04645565336588306,0.30000000000003585,23.0
20.0,17.8718,8.3485,9.5233,196.7935,92.4948,104.2987,11.8121,0.06145115397699372,0.30000000000003585,24.0
20.0,4.0559,2.0418,2.0141,4.2981,2.1834,2.1147,2.6803,0.748425990703482,0.30000000000003585,25.0
20.0,2.6396,1.2861,1.3535,2.7541,1.3328,1.4213,1.9785,0.8357106852959638,0.30000000000003585,26.0
20.0,16.6552,8.1506,8.5046,181.8667,90.046,91.8207,1.9171,0.011681278132156763,0.30000000000003585,27.0
20.0,17.9142,9.1168,8.7974,197.1455,100.5443,96.6012,3.9469,0.022044664844992064,0.30000000000003585,28.0
20.0,4.8866,2.4258,2.4608,5.842,2.8564,2.9856,3.055,0.6503958082363572,0.30000000000003585,29.0
20.0,15.4717,7.941,7.5307,168.9942,86.5856,82.4086,4.1804,0.026023451566791634,0.30000000000003585,30.0
20.0,14.7695,6.3282,8.4413,161.4037,69.9824,91.4213,21.4551,0.13633372207164066,0.30000000000003585,31.0
20.0,17.2215,8.2276,8.9939,189.862,90.4991,99.3629,8.865,0.046921541891830454,0.30000000000003585,32.0
20.0,17.8486,8.7815,9.0671,197.0838,97.5564,99.5274,1.9742,0.011603687569650283,0.30000000000003585,33.0
20.0,17.8599,9.2919,8.568,196.5835,102.2232,94.3603,7.8649,0.040869476891829,0.30000000000003585,34.0
20.0,17.7051,8.5498,9.1553,193.641,93.8071,99.8339,6.0288,0.03192376586879218,0.30000000000003585,35.0
20.0,6.298,3.3804,2.9176,7.2217,3.8554,3.3663,3.3271,0.6152637766558233,0.30000000000003585,36.0
20.0,2.3581,1.1372,1.2209,2.4394,1.168,1.2714,1.7604,0.8416511651109838,0.30000000000003585,37.0
20.0,17.8549,9.2778,8.5771,196.862,102.3681,94.4939,7.8756,0.04060630667208594,0.30000000000003585,38.0
