samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,0.103,0.0523,0.0507,0.1085,0.0546,0.0539,0.1053,0.9785855845982427,-0.6999999999998807,0.0
20.0,0.1198,0.0642,0.0556,0.1261,0.0685,0.0576,0.1211,0.9668831952730255,-0.6999999999998807,1.0
20.0,0.0977,0.0416,0.0561,0.1052,0.0463,0.0589,0.0946,0.900082290680013,-0.6999999999998807,2.0
20.0,0.1292,0.0703,0.0589,0.1372,0.0721,0.0651,0.1312,0.9632919573428427,-0.6999999999998807,3.0
20.0,0.0885,0.0487,0.0398,0.092,0.0498,0.0422,0.0896,0.9773192569704197,-0.6999999999998807,4.0
20.0,0.1447,0.0947,0.05,0.1544,0.0984,0.056,0.1402,0.9362979950582965,-0.6999999999998807,5.0
20.0,0.1196,0.0648,0.0548,0.1251,0.068,0.0571,0.1185,0.9592277589560195,-0.6999999999998807,6.0
20.0,0.1088,0.0614,0.0474,0.1118,0.0638,0.048,0.109,0.9809919686501964,-0.6999999999998807,7.0
20.0,0.1482,0.0314,0.1168,0.1528,0.0336,0.1192,0.1496,0.9838940715752308,-0.6999999999998807,8.0
20.0,0.2057,0.1207,0.085,0.2163,0.1294,0.0869,0.2057,0.9906608821288341,-0.6999999999998807,9.0
20.0,0.1069,0.0557,0.0512,0.1115,0.0583,0.0532,0.1067,0.9715972529314627,-0.6999999999998807,10.0
20.0,0.1591,0.0747,0.0844,0.171,0.0819,0.0891,0.1564,0.9060881886312918,-0.6999999999998807,11.0
20.0,0.1318,0.0551,0.0767,0.1472,0.0595,0.0877,0.1388,0.953655879004716,-0.6999999999998807,12.0
20.0,0.1279,0.0558,0.0721,0.1331,0.0582,0.0749,0.1307,0.9868077277913343,-0.6999999999998807,13.0
20.0,0.0972,0.0612,0.036,0.0985,0.0621,0.0364,0.0971,0.9909229550406021,-0.6999999999998807,14.0
20.0,0.2114,0.0909,0.1205,0.2204,0.0938,0.1266,0.215,0.9715698963121643,-0.6999999999998807,15.0
