samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,0.0295,0.0173,0.0122,0.0306,0.0183,0.0123,0.0302,0.9877777777777778,-0.4000000000000635,0.0
20.0,0.0232,0.0077,0.0155,0.0241,0.008,0.0161,0.0235,0.9865384615384614,-0.4000000000000635,1.0
20.0,0.0261,0.0114,0.0147,0.0274,0.0124,0.015,0.0254,0.9222009051554507,-0.4000000000000635,2.0
20.0,0.0344,0.009,0.0254,0.0353,0.0093,0.026,0.0343,0.9813864450961226,-0.4000000000000635,3.0
20.0,0.0239,0.0089,0.015,0.0243,0.0089,0.0154,0.0237,0.986088379705401,-0.4000000000000635,4.0
20.0,0.0303,0.012,0.0183,0.0312,0.0129,0.0183,0.03,0.9688478188478188,-0.4000000000000635,5.0
20.0,0.0246,0.0111,0.0135,0.0261,0.0117,0.0144,0.0245,0.9607738822024539,-0.4000000000000635,6.0
20.0,0.0238,0.0146,0.0092,0.0248,0.015,0.0098,0.0238,0.9633333333333332,-0.4000000000000635,7.0
20.0,0.0272,0.0184,0.0088,0.0282,0.0188,0.0094,0.027,0.9647474747474748,-0.4000000000000635,8.0
20.0,0.0296,0.0126,0.017,0.0312,0.0131,0.0181,0.0302,0.9676190476190476,-0.4000000000000635,9.0
20.0,0.0336,0.0215,0.0121,0.0348,0.0226,0.0122,0.0338,0.9821887152395627,-0.4000000000000635,10.0
20.0,0.0265,0.0164,0.0101,0.0268,0.0165,0.0103,0.0264,0.9927350427350426,-0.4000000000000635,11.0
20.0,0.0281,0.0103,0.0178,0.0298,0.0114,0.0184,0.0268,0.9019354284060166,-0.4000000000000635,12.0
20.0,0.037,0.0243,0.0127,0.0381,0.0244,0.0137,0.0377,0.9945578231292516,-0.4000000000000635,13.0
20.0,0.0341,0.0161,0.018,0.0353,0.0167,0.0186,0.0341,0.9746031746031744,-0.4000000000000635,14.0
20.0,0.0418,0.0176,0.0242,0.0461,0.0185,0.0276,0.0423,0.9250186258965891,-0.4000000000000635,15.0
20.0,0.0252,0.013,0.0122,0.0261,0.0132,0.0129,0.0249,0.9599287333981212,-0.4000000000000635,16.0
20.0,0.0308,0.0207,0.0101,0.032,0.021,0.011,0.0298,0.9468839336763866,-0.4000000000000635,17.0
20.0,0.0318,0.0142,0.0176,0.0343,0.0152,0.0191,0.0323,0.9583737051478989,-0.4000000000000635,18.0
20.0,0.0292,0.0126,0.0166,0.0305,0.0129,0.0176,0.0305,1.0,-0.4000000000000635,19.0
20.0,0.039,0.0162,0.0228,0.041,0.017,0.024,0.0396,0.9790202628912307,-0.4000000000000635,20.0
20.0,0.0319,0.0113,0.0206,0.0341,0.0124,0.0217,0.0317,0.9324293761793762,-0.4000000000000635,21.0
20.0,0.0314,0.0094,0.022,0.0335,0.0108,0.0227,0.0307,0.952123839878942,-0.4000000000000635,22.0
20.0,0.0306,0.0081,0.0225,0.0337,0.0089,0.0248,0.0303,0.9213765621005439,-0.4000000000000635,23.0
20.0,0.0292,0.012,0.0172,0.0311,0.013,0.0181,0.0303,0.9711193568336426,-0.4000000000000635,24.0
20.0,0.0166,0.0123,0.0043,0.017,0.0125,0.0045,0.0164,0.961038961038961,-0.4000000000000635,25.0
20.0,0.0234,0.01,0.0134,0.0248,0.0105,0.0143,0.024,0.9589371980676329,-0.4000000000000635,26.0
20.0,0.0279,0.0126,0.0153,0.0291,0.013,0.0161,0.0281,0.9777291869128604,-0.4000000000000635,27.0
20.0,0.0236,0.0113,0.0123,0.0238,0.0114,0.0124,0.0236,0.9959183673469387,-0.4000000000000635,28.0
20.0,0.0325,0.0127,0.0198,0.0332,0.013,0.0202,0.0326,0.9725829725829727,-0.4000000000000635,29.0
20.0,0.0348,0.0162,0.0186,0.0389,0.0196,0.0193,0.0347,0.8714739229024946,-0.4000000000000635,30.0
20.0,0.0272,0.0178,0.0094,0.028,0.0183,0.0097,0.0266,0.9728445165945167,-0.4000000000000635,31.0
20.0,0.0322,0.0174,0.0148,0.0349,0.019,0.0159,0.0309,0.9206406242738423,-0.4000000000000635,32.0
20.0,0.0328,0.0186,0.0142,0.0339,0.0193,0.0146,0.0333,0.9862179487179487,-0.4000000000000635,33.0
20.0,0.0225,0.013,0.0095,0.023,0.0131,0.0099,0.0222,0.9772727272727273,-0.4000000000000635,34.0
20.0,0.037,0.018,0.019,0.0393,0.019,0.0203,0.0369,0.9497891865079365,-0.4000000000000635,35.0
20.0,0.0356,0.0111,0.0245,0.037,0.0118,0.0252,0.0354,0.9403483309143686,-0.4000000000000635,36.0
20.0,0.0303,0.0152,0.0151,0.0316,0.0155,0.0161,0.031,0.9700854700854701,-0.4000000000000635,37.0
