true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
5.28,45.29,9949.365,0.065,0.10366793439546801,6.512273873103072e-06,1.0,0.0
4.615,41.16,9954.205,0.02,0.10129754424861254,2.0056157240272763e-06,1.0,1.0
4.525,38.76,9956.695,0.02,0.10292673002802057,2.003256379825081e-06,1.0,2.0
5.175,44.815,9950.01,0.0,0.10377496757440767,0.0,1.0,3.0
4.345,37.92,9957.715,0.02,0.10224854449794168,2.002803925495694e-06,1.0,4.0
5.04,43.63,9951.33,0.0,0.11186530482388969,0.0,1.0,5.0
3.765,32.85,9963.335,0.05,0.10531051913936075,5.0106736794756785e-06,1.0,6.0
3.81,32.925,9963.25,0.015,0.10514638099345897,1.501552168652158e-06,1.0,7.0
4.925,41.975,9952.955,0.145,0.10631603010892639,1.4527067849748789e-05,1.0,8.0
5.76,50.03,9944.165,0.045,0.10375845661676956,4.532889760772363e-06,1.0,9.0
4.21,38.97,9956.815,0.005,0.09566112711199086,5.017057997190448e-07,1.0,0.0
4.44,37.89,9957.61,0.06,0.10368007323227575,6.012847380080874e-06,1.0,1.0
5.15,44.01,9950.8,0.04,0.10445753917517328,4.014609860922469e-06,1.0,2.0
4.415,38.415,9957.085,0.085,0.09898252667259357,8.513223806608313e-06,1.0,3.0
4.535,38.705,9956.705,0.055,0.10043187665391125,5.523401682501888e-06,1.0,4.0
4.445,39.445,9956.07,0.04,0.09819318666202194,4.009974937639544e-06,1.0,5.0
3.345,28.94,9967.7,0.015,0.10237295622584157,1.5049172735592659e-06,1.0,6.0
3.745,31.755,9964.5,0.0,0.10593094526523705,0.0,1.0,7.0
4.59,39.515,9955.865,0.03,0.10740480716747096,3.0090365908275976e-06,1.0,8.0
5.52,46.795,9947.62,0.065,0.10838570029419702,6.520295348169784e-06,1.0,9.0
5.175,44.09,9950.705,0.03,0.10465168916661563,3.0058614976845084e-06,1.0,0.0
4.32,38.39,9957.29,0.0,0.1011827938605474,0.0,1.0,1.0
3.83,32.62,9963.485,0.065,0.10275866938543088,6.517248452475124e-06,1.0,2.0
3.69,32.365,9963.925,0.02,0.10275980306913006,2.006672643068933e-06,1.0,3.0
5.675,49.715,9944.595,0.015,0.10630821553842586,1.5069828620564334e-06,1.0,4.0
4.945,42.135,9952.8,0.12,0.10425080896215362,1.2056680478735762e-05,1.0,5.0
4.295,38.09,9957.435,0.18,0.10206527356123113,1.8052108435337647e-05,1.0,6.0
5.635,48.025,9946.25,0.09,0.10433520831331561,9.031669784763158e-06,1.0,7.0
4.16,35.5,9960.245,0.095,0.10439709772651265,9.534730635364485e-06,1.0,8.0
4.01,36.34,9959.56,0.09,0.09919326586329721,9.028445396270603e-06,1.0,9.0
6.15,51.865,9941.9,0.085,0.1035901282392131,8.53775425830332e-06,1.0,0.0
3.415,30.825,9965.72,0.04,0.09902559693422254,4.008368589148219e-06,1.0,1.0
3.43,30.505,9966.005,0.06,0.10018172084790081,6.003403464678991e-06,1.0,2.0
4.22,36.925,9958.83,0.025,0.10046610369648434,2.5139895688962246e-06,1.0,3.0
4.335,39.44,9956.16,0.065,0.10026103538619598,6.516201524889211e-06,1.0,4.0
4.095,35.615,9960.22,0.07,0.10772951755999034,7.020871593486353e-06,1.0,5.0
4.245,36.47,9959.235,0.05,0.10176460931534785,5.018778059507709e-06,1.0,6.0
5.325,47.42,9947.255,0.0,0.09779844946748682,0.0,1.0,7.0
4.54,41.915,9953.505,0.04,0.10047862978881793,4.0106893041265736e-06,1.0,8.0
4.845,43.1,9952.035,0.02,0.10121745248128695,2.008838891120932e-06,1.0,9.0
3.995,35.875,9960.1,0.03,0.1011206532912847,3.005765474810832e-06,1.0,0.0
5.04,43.97,9950.985,0.005,0.10161356440168014,5.013033888109083e-07,1.0,1.0
5.01,44.855,9950.135,0.0,0.10000550268733621,0.0,1.0,2.0
5.315,46.08,9948.525,0.08,0.10471675642841985,8.028527698774751e-06,1.0,3.0
4.6,40.1,9955.27,0.03,0.10258958985248907,3.0112447689290874e-06,1.0,4.0
4.655,39.59,9955.645,0.11,0.1034995022554302,1.1038255452661335e-05,1.0,5.0
5.405,45.67,9948.825,0.1,0.10395565612335435,1.003554529025584e-05,1.0,6.0
4.925,42.01,9953.005,0.06,0.10891573334597915,6.0124258340579054e-06,1.0,7.0
3.715,31.75,9964.47,0.065,0.10479525374098142,6.508615143535758e-06,1.0,8.0
6.92,60.485,9932.55,0.045,0.10253892632142504,4.5263580729097895e-06,1.0,9.0
4.045,36.435,9959.5,0.02,0.10039695822290175,2.0034636119896887e-06,1.0,0.0
5.46,46.54,9947.91,0.09,0.10452629333570371,9.030714252953401e-06,1.0,1.0
5.75,49.655,9944.54,0.055,0.1052934845033786,5.520486567106162e-06,1.0,2.0
4.405,38.8,9956.75,0.045,0.10251842165489472,4.511935789663208e-06,1.0,3.0
5.5,49.275,9945.15,0.075,0.10516186152829235,7.527302338714379e-06,1.0,4.0
5.895,51.03,9942.985,0.09,0.10298745723818413,9.026350003360505e-06,1.0,5.0
5.505,47.445,9946.95,0.1,0.10138470129908207,1.0038682523907462e-05,1.0,6.0
5.57,49.4,9944.95,0.08,0.10117484790263001,8.035489412041091e-06,1.0,7.0
3.855,33.455,9962.675,0.015,0.10123241640112575,1.5019525382997897e-06,1.0,8.0
4.68,41.815,9953.5,0.005,0.0983903503794961,5.011024253357386e-07,1.0,9.0
4.3,37.58,9958.075,0.045,0.10239490147047,4.510727154478369e-06,1.0,0.0
4.38,37.97,9957.64,0.01,0.10361197563344336,1.0031603803727348e-06,1.0,1.0
4.285,38.58,9957.085,0.05,0.0966786280752336,5.007914298640481e-06,1.0,2.0
4.99,42.835,9952.12,0.055,0.1036251250047653,5.514548781483633e-06,1.0,3.0
4.185,37.6,9958.19,0.025,0.10249756169341946,2.5070231411581176e-06,1.0,4.0
5.165,45.125,9949.645,0.065,0.10083567024700445,6.52208371910729e-06,1.0,5.0
3.975,35.01,9961.01,0.005,0.10264926470750362,5.016554630279924e-07,1.0,6.0
4.14,34.005,9961.855,0.0,0.1095273724730711,0.0,1.0,7.0
5.095,44.83,9950.04,0.035,0.10072415370785406,3.515014756789813e-06,1.0,8.0
4.525,38.075,9957.375,0.025,0.10534944372011655,2.5092344701093184e-06,1.0,9.0
5.465,47.675,9946.765,0.095,0.10197854472157408,9.53805869312517e-06,1.0,0.0
5.17,45.365,9949.42,0.045,0.10245062703694155,4.5077176644868015e-06,1.0,1.0
4.23,36.005,9959.75,0.015,0.10765488167732104,1.5035588279578517e-06,1.0,2.0
6.085,53.45,9940.435,0.03,0.10119313895224313,3.0143813339026553e-06,1.0,3.0
5.145,44.37,9950.43,0.055,0.10174898631794597,5.509318763865314e-06,1.0,4.0
5.02,43.59,9951.375,0.015,0.10170916278704481,1.5076419519147037e-06,1.0,5.0
4.305,38.02,9957.645,0.03,0.10458100923271059,3.010391977226753e-06,1.0,6.0
5.97,51.39,9942.6,0.04,0.10526506466473608,4.01259423605367e-06,1.0,7.0
5.03,42.42,9952.495,0.055,0.1072659909256768,5.518466737641776e-06,1.0,8.0
5.69,49.6,9944.6,0.11,0.10476681470825627,1.1037480651237017e-05,1.0,9.0
7.145,60.48,9932.205,0.17,0.10755145087830786,1.7074970169616853e-05,1.0,0.0
4.59,41.03,9954.38,0.0,0.10188023297091754,0.0,1.0,1.0
4.715,41.575,9953.635,0.075,0.10218114447727372,7.520769944215064e-06,1.0,2.0
3.76,33.755,9962.45,0.035,0.10310792507789275,3.5072151826849323e-06,1.0,3.0
5.065,44.86,9950.03,0.045,0.10195948533061229,4.506760140210315e-06,1.0,4.0
5.56,48.515,9945.735,0.19,0.09919836687966765,1.9068345111292023e-05,1.0,5.0
5.535,48.205,9946.2,0.06,0.10056144087501225,6.01660265062557e-06,1.0,6.0
3.445,30.57,9965.91,0.075,0.09984753423689437,7.517544519393613e-06,1.0,7.0
3.71,33.33,9962.925,0.035,0.10105900231118993,3.5077722572909615e-06,1.0,8.0
4.185,35.48,9960.28,0.055,0.10299107470430172,5.516048219588336e-06,1.0,9.0
5.36,46.935,9947.64,0.065,0.10706330959666792,6.517203181186836e-06,1.0,0.0
4.06,34.46,9961.41,0.07,0.10493301855354377,7.019773398347779e-06,1.0,1.0
3.56,32.51,9963.925,0.005,0.0988618748219568,5.009518084360285e-07,1.0,2.0
3.665,31.23,9965.025,0.08,0.10574210109583111,8.02300248923094e-06,1.0,3.0
4.75,40.975,9954.24,0.035,0.10801291800595796,3.5095764287282614e-06,1.0,4.0
4.115,35.875,9959.99,0.02,0.10359768210906961,2.0064280129150077e-06,1.0,5.0
3.48,29.125,9967.355,0.04,0.10447926781570464,4.008974412092703e-06,1.0,6.0
4.305,36.795,9958.84,0.06,0.10501392011993727,6.019721938525066e-06,1.0,7.0
6.155,52.64,9941.11,0.095,0.1044457674824994,9.546085565508742e-06,1.0,8.0
3.925,33.825,9962.15,0.1,0.10409637300825936,1.0035260231679531e-05,1.0,9.0
1.59,13.93,9984.415,0.065,0.10172587500844144,6.511973654535797e-06,0.29999999999999893,0.0
1.05,9.92,9988.99,0.04,0.10097374796127921,4.005558859744607e-06,0.29999999999999893,1.0
1.575,13.325,9985.085,0.015,0.10481219230748422,1.503608660785886e-06,0.29999999999999893,2.0
1.38,11.99,9986.485,0.145,0.10350298231116765,1.4524855031961756e-05,0.29999999999999893,3.0
1.685,15.065,9983.21,0.04,0.09780117846602221,4.005959279825559e-06,0.29999999999999893,4.0
1.715,14.6,9983.59,0.095,0.10307270813538628,9.5352667843141e-06,0.29999999999999893,5.0
1.28,10.75,9987.93,0.04,0.1028225084231515,4.0093807437984465e-06,0.29999999999999893,6.0
1.43,12.145,9986.375,0.05,0.10195109494662902,5.007314385094412e-06,0.29999999999999893,7.0
1.395,12.535,9985.99,0.08,0.09385346059857992,8.008315399669093e-06,0.29999999999999893,8.0
1.33,12.635,9986.0,0.035,0.09606333332614322,3.5103824520580567e-06,0.29999999999999893,9.0
1.845,16.65,9981.44,0.065,0.09859659066389923,6.5170040134577625e-06,0.29999999999999893,0.0
1.215,11.205,9987.535,0.045,0.10823006591418206,4.503907176992683e-06,0.29999999999999893,1.0
1.8,15.39,9982.795,0.015,0.10751939134745195,1.5016518169986987e-06,0.29999999999999893,2.0
1.28,10.53,9988.125,0.065,0.10834408099980557,6.507410827657903e-06,0.29999999999999893,3.0
2.175,19.09,9978.55,0.185,0.1029889012031623,1.8576087990581472e-05,0.29999999999999893,4.0
1.315,11.57,9987.09,0.025,0.10432140938355987,2.5017013010288204e-06,0.29999999999999893,5.0
1.485,13.435,9985.035,0.045,0.09459283718117688,4.508920181207941e-06,0.29999999999999893,6.0
1.56,13.665,9984.73,0.045,0.1122311446087948,4.504256298227608e-06,0.29999999999999893,7.0
1.43,11.895,9986.64,0.035,0.10294192721395433,3.5044073463324007e-06,0.29999999999999893,8.0
2.03,18.145,9979.805,0.02,0.09670833354463791,2.0056157240272763e-06,0.29999999999999893,9.0
1.175,10.945,9987.86,0.02,0.09230910215831785,2.0030051694980204e-06,0.29999999999999893,0.0
1.105,9.475,9989.38,0.04,0.09820756007618538,4.0092785719529275e-06,0.29999999999999893,1.0
2.105,17.185,9980.555,0.155,0.10545171594566449,1.5539863414647367e-05,0.29999999999999893,2.0
1.625,15.725,9982.6,0.05,0.09236717057642785,5.032054290304246e-06,0.29999999999999893,3.0
1.16,10.535,9988.285,0.02,0.08678278282614271,2.0053173929730084e-06,0.29999999999999893,4.0
2.15,17.75,9980.04,0.06,0.10837064779146553,6.016750807164389e-06,0.29999999999999893,5.0
2.305,19.52,9978.02,0.155,0.10738820938101236,1.5530467868370574e-05,0.29999999999999893,6.0
1.555,13.965,9984.43,0.05,0.10147701288307019,5.0097792234706145e-06,0.29999999999999893,7.0
1.505,14.49,9983.93,0.075,0.08973452047995681,7.510167895792865e-06,0.29999999999999893,8.0
1.645,16.61,9981.655,0.09,0.08819405838351803,9.018542725139304e-06,0.29999999999999893,9.0
1.64,15.56,9982.715,0.085,0.09489993897128633,8.52362788652017e-06,0.29999999999999893,0.0
1.565,13.0,9985.38,0.055,0.11037499013382901,5.517623722011038e-06,0.29999999999999893,1.0
1.925,17.805,9980.225,0.045,0.09640623585888082,4.507211809716438e-06,0.29999999999999893,2.0
1.755,15.765,9982.405,0.075,0.09337538420954387,7.512078370985882e-06,0.29999999999999893,3.0
1.615,15.09,9983.215,0.08,0.09631485018102566,8.01754032533088e-06,0.29999999999999893,4.0
1.825,15.54,9982.56,0.075,0.10556505766546871,7.5126252847952205e-06,0.29999999999999893,5.0
2.12,18.945,9978.87,0.065,0.09742137750904292,6.519313998486283e-06,0.29999999999999893,6.0
1.855,17.21,9980.84,0.095,0.09251135454621057,9.531054233233302e-06,0.29999999999999893,7.0
2.23,19.56,9977.98,0.23,0.09599813682970887,2.3044468798148276e-05,0.29999999999999893,8.0
2.3,18.99,9978.605,0.105,0.11010476997627464,1.0525727694632444e-05,0.29999999999999893,9.0
1.51,13.73,9984.725,0.035,0.10066412137119429,3.507918262895308e-06,0.29999999999999893,0.0
2.015,17.57,9980.355,0.06,0.0992436678815786,6.007410074857214e-06,0.29999999999999893,1.0
1.725,15.91,9982.305,0.06,0.10282656806817128,6.007762768530159e-06,0.29999999999999893,2.0
1.555,12.965,9985.45,0.03,0.10699600290232868,3.0034594740508146e-06,0.29999999999999893,3.0
1.065,8.76,9990.13,0.045,0.12069457916654812,4.504255121747719e-06,0.29999999999999893,4.0
1.45,13.315,9985.135,0.1,0.09824344034589724,1.001472581093366e-05,0.29999999999999893,5.0
1.475,13.585,9984.925,0.015,0.08946723900216129,1.5004501350405122e-06,0.29999999999999893,6.0
1.67,15.595,9982.675,0.06,0.10084155662351607,6.0188119866407744e-06,0.29999999999999893,7.0
1.455,12.275,9986.22,0.05,0.10612473419295974,5.010624409597915e-06,0.29999999999999893,8.0
2.04,18.045,9979.785,0.13,0.10283139945608312,1.30233531568883e-05,0.29999999999999893,9.0
1.48,12.935,9985.57,0.015,0.10587124141751042,1.502203244799129e-06,0.29999999999999893,0.0
1.65,13.5,9984.82,0.03,0.11249862087661315,3.0052100805490944e-06,0.29999999999999893,1.0
1.885,17.23,9980.845,0.04,0.0969858868344712,4.010580147173618e-06,0.29999999999999893,2.0
2.28,19.685,9977.96,0.075,0.10372480229694996,7.519322449362863e-06,0.29999999999999893,3.0
1.165,10.72,9988.09,0.025,0.09793400587974517,2.506019919749781e-06,0.29999999999999893,4.0
1.69,14.975,9983.29,0.045,0.10763451416640242,4.506563336224009e-06,0.29999999999999893,5.0
1.215,10.7,9988.03,0.055,0.10005802613496464,5.512195607604946e-06,0.29999999999999893,6.0
1.83,16.24,9981.88,0.05,0.09716386051220129,5.012631890661403e-06,0.29999999999999893,7.0
1.945,16.32,9981.675,0.06,0.10083613781934048,6.062527644333923e-06,0.29999999999999893,8.0
1.805,15.965,9982.155,0.075,0.11051052238722385,7.512979259173781e-06,0.29999999999999893,9.0
1.795,16.48,9981.625,0.1,0.09995614676719575,1.0031713090297876e-05,0.29999999999999893,0.0
2.1,17.74,9980.03,0.13,0.10387236540647575,1.3043050410006814e-05,0.29999999999999893,1.0
2.1,17.06,9980.775,0.065,0.10773585534952593,6.513483185630436e-06,0.29999999999999893,2.0
1.48,13.33,9985.15,0.04,0.09897514275790098,4.007816505651625e-06,0.29999999999999893,3.0
1.6,13.175,9985.175,0.05,0.10149896471998578,5.008516102571524e-06,0.29999999999999893,4.0
1.87,15.855,9982.25,0.025,0.10139039349545323,2.5071231672041675e-06,0.29999999999999893,5.0
1.525,14.005,9984.435,0.035,0.09571649838531904,3.5076200771851114e-06,0.29999999999999893,6.0
2.13,19.535,9978.26,0.075,0.10339714769173682,7.527704320195879e-06,0.29999999999999893,7.0
1.835,16.12,9982.015,0.03,0.1013288085031598,3.0051087149176207e-06,0.29999999999999893,8.0
2.125,17.795,9979.985,0.095,0.09988351270322654,9.587400976119233e-06,0.29999999999999893,9.0
1.575,13.59,9984.815,0.02,0.0988139225985992,2.003006205658482e-06,0.29999999999999893,0.0
1.305,11.87,9986.76,0.065,0.0955426614007541,6.5072209986483235e-06,0.29999999999999893,1.0
2.005,17.935,9979.99,0.07,0.10010205426072151,7.021487709650699e-06,0.29999999999999893,2.0
1.735,15.19,9983.035,0.04,0.1067134388320178,4.007364645703979e-06,0.29999999999999893,3.0
2.0,17.76,9980.175,0.065,0.10392284913449684,6.518425641932736e-06,0.29999999999999893,4.0
2.37,19.96,9977.605,0.065,0.10500365078822943,6.519357813707144e-06,0.29999999999999893,5.0
1.68,14.58,9983.69,0.05,0.10826445111576288,5.004504936417522e-06,0.29999999999999893,6.0
1.67,14.145,9984.135,0.05,0.10639958074245652,5.010324012531963e-06,0.29999999999999893,7.0
1.57,14.46,9983.955,0.015,0.0958943111403383,1.5037092332018679e-06,0.29999999999999893,8.0
2.13,18.595,9979.13,0.145,0.10237858175080085,1.4556344940225481e-05,0.29999999999999893,9.0
1.64,14.505,9983.845,0.01,0.09851858639818817,1.0010010010010011e-06,0.29999999999999893,0.0
1.74,15.55,9982.645,0.065,0.09839694051463291,6.513183440445594e-06,0.29999999999999893,1.0
1.175,10.485,9988.29,0.05,0.09900978114490391,5.006358929424592e-06,0.29999999999999893,2.0
1.415,11.56,9986.98,0.045,0.10649340855481881,4.506310097880884e-06,0.29999999999999893,3.0
1.235,10.655,9988.095,0.015,0.09929632781101454,1.5029570337426763e-06,0.29999999999999893,4.0
1.215,10.35,9988.43,0.005,0.10884367983359336,5.00801282051282e-07,0.29999999999999893,5.0
1.895,16.905,9981.135,0.065,0.10119808688597408,6.520692689210233e-06,0.29999999999999893,6.0
1.68,15.035,9983.245,0.04,0.10324760909126296,4.01068747399397e-06,0.29999999999999893,7.0
1.525,13.525,9984.86,0.09,0.09740832989606613,9.017300639393706e-06,0.29999999999999893,8.0
2.16,17.505,9980.225,0.11,0.11184022132276804,1.104059100466714e-05,0.29999999999999893,9.0
1.76,16.115,9982.115,0.01,0.09054660309358849,1.001051166356135e-06,0.29999999999999893,0.0
