samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,active_diff,active_diff_prop,gamma,replicate
20.0,0.1008,0.0662,0.0346,0.1069,0.0701,0.0368,0.0355,0.3871786821709421,1.0,0.0
20.0,0.0902,0.0427,0.0475,0.0927,0.0435,0.0492,0.0217,0.3837375510542466,1.0,1.0
20.0,0.0888,0.0462,0.0426,0.0909,0.0475,0.0434,0.0193,0.32975080552182234,1.0,2.0
20.0,0.1004,0.0493,0.0511,0.1035,0.0515,0.052,0.0183,0.2934515239138436,1.0,3.0
20.0,0.0838,0.0411,0.0427,0.0873,0.0431,0.0442,0.0169,0.35005332358273517,1.0,4.0
20.0,0.0992,0.0531,0.0461,0.1008,0.0538,0.047,0.0198,0.2856138099946149,1.0,5.0
20.0,0.0743,0.0424,0.0319,0.0763,0.0435,0.0328,0.0201,0.3385148984142791,1.0,6.0
20.0,0.0746,0.0401,0.0345,0.0765,0.0413,0.0352,0.0175,0.3087987010532343,1.0,7.0
20.0,0.0944,0.0464,0.048,0.1014,0.0518,0.0496,0.0168,0.23777355013115267,1.0,8.0
20.0,0.1106,0.0532,0.0574,0.1161,0.0559,0.0602,0.0225,0.27495701314151394,1.0,9.0
20.0,0.0829,0.0469,0.036,0.0843,0.0473,0.037,0.0207,0.3536259669853121,1.0,10.0
20.0,0.0869,0.0474,0.0395,0.09,0.0502,0.0398,0.021,0.3670872411042688,1.0,11.0
20.0,0.0989,0.0466,0.0523,0.1038,0.0498,0.054,0.0212,0.3379413846729724,1.0,12.0
20.0,0.0852,0.0407,0.0445,0.09,0.0416,0.0484,0.0204,0.28582707516110395,1.0,13.0
20.0,0.0872,0.044,0.0432,0.0918,0.0463,0.0455,0.0192,0.3029257900944482,1.0,14.0
20.0,0.0861,0.0453,0.0408,0.0897,0.0485,0.0412,0.0165,0.3063782712925364,1.0,15.0
20.0,0.0652,0.0318,0.0334,0.0672,0.0327,0.0345,0.0112,0.30996970115354305,1.0,16.0
20.0,0.0725,0.0336,0.0389,0.0749,0.0344,0.0405,0.0161,0.3569056951151894,1.0,17.0
20.0,0.0889,0.0425,0.0464,0.0924,0.0444,0.048,0.0186,0.32894681013884264,1.0,18.0
20.0,0.1062,0.0576,0.0486,0.1117,0.0611,0.0506,0.0241,0.3607891104518552,1.0,19.0
20.0,0.0993,0.0481,0.0512,0.1041,0.052,0.0521,0.0199,0.3203895423153084,1.0,20.0
20.0,0.0854,0.0446,0.0408,0.0864,0.0451,0.0413,0.0194,0.3740265875112795,1.0,21.0
20.0,0.0728,0.0348,0.038,0.0779,0.0372,0.0407,0.0145,0.20074044959982712,1.0,22.0
20.0,0.0717,0.0372,0.0345,0.0742,0.038,0.0362,0.019,0.37189519072258986,1.0,23.0
20.0,0.1101,0.0542,0.0559,0.1138,0.0562,0.0576,0.0242,0.316313252400486,1.0,24.0
20.0,0.0939,0.0477,0.0462,0.1013,0.0517,0.0496,0.0209,0.29889424514763985,1.0,25.0
20.0,0.0843,0.0396,0.0447,0.0895,0.0424,0.0471,0.0189,0.314092010366206,1.0,26.0
20.0,0.1077,0.053,0.0547,0.1145,0.056,0.0585,0.0227,0.2894915240225556,1.0,27.0
20.0,0.0788,0.0358,0.043,0.0851,0.0395,0.0456,0.0203,0.3972261807807834,1.0,28.0
20.0,0.0773,0.0383,0.039,0.082,0.0386,0.0434,0.016,0.3255857344631068,1.0,29.0
20.0,0.1145,0.0594,0.0551,0.1247,0.0644,0.0603,0.0239,0.26479742907130505,1.0,30.0
20.0,0.0675,0.0358,0.0317,0.0691,0.0359,0.0332,0.0157,0.28757975410077674,1.0,31.0
20.0,0.0676,0.0357,0.0319,0.0698,0.0366,0.0332,0.0172,0.301349513367885,1.0,32.0
20.0,0.0824,0.0414,0.041,0.0849,0.0416,0.0433,0.0201,0.35802859150812366,1.0,33.0
20.0,0.0841,0.0355,0.0486,0.088,0.0358,0.0522,0.024,0.38788485635302156,1.0,34.0
20.0,0.0805,0.0426,0.0379,0.0833,0.044,0.0393,0.0179,0.33872027429818957,1.0,35.0
20.0,0.0813,0.0412,0.0401,0.0859,0.0434,0.0425,0.0175,0.27628271344344096,1.0,36.0
20.0,0.1052,0.0523,0.0529,0.1065,0.0525,0.054,0.0223,0.2726748255310514,1.0,37.0
20.0,0.0881,0.0466,0.0415,0.0916,0.0482,0.0434,0.0174,0.3191480921010119,1.0,38.0
20.0,0.0954,0.0464,0.049,0.0973,0.0471,0.0502,0.0227,0.36041406328613307,1.0,39.0
20.0,0.079,0.0379,0.0411,0.0805,0.0389,0.0416,0.0175,0.30255151751463893,1.0,40.0
20.0,0.0976,0.0488,0.0488,0.1009,0.0494,0.0515,0.0191,0.3127370971850396,1.0,41.0
20.0,0.0993,0.0571,0.0422,0.1002,0.0573,0.0429,0.0274,0.36283619382446153,1.0,42.0
20.0,0.1029,0.0552,0.0477,0.1079,0.058,0.0499,0.0231,0.336139879852683,1.0,43.0
20.0,0.0893,0.0439,0.0454,0.0926,0.0443,0.0483,0.023,0.33913752481216775,1.0,44.0
20.0,0.0885,0.0499,0.0386,0.0953,0.054,0.0413,0.0243,0.35076296908421706,1.0,45.0
20.0,0.1032,0.0504,0.0528,0.1101,0.0525,0.0576,0.0199,0.2221488531429061,1.0,46.0
20.0,0.0948,0.0497,0.0451,0.0997,0.0513,0.0484,0.0195,0.2636617008720356,1.0,47.0
20.0,0.0715,0.0311,0.0404,0.0756,0.0339,0.0417,0.017,0.3416520325673001,1.0,48.0
20.0,0.1357,0.0761,0.0596,0.1393,0.0774,0.0619,0.0277,0.24007986873603152,1.0,49.0
20.0,0.08,0.0386,0.0414,0.0813,0.0391,0.0422,0.0177,0.2992604014343144,1.0,50.0
20.0,0.1043,0.0509,0.0534,0.111,0.0542,0.0568,0.0176,0.2390991371817264,1.0,51.0
20.0,0.1095,0.0534,0.0561,0.1161,0.0554,0.0607,0.0253,0.3300016622872995,1.0,52.0
20.0,0.0857,0.0431,0.0426,0.089,0.0445,0.0445,0.0194,0.3551642227088301,1.0,53.0
20.0,0.1076,0.0566,0.051,0.1115,0.0598,0.0517,0.0223,0.29023953718838175,1.0,54.0
20.0,0.1155,0.0626,0.0529,0.1197,0.065,0.0547,0.0257,0.2826392616987257,1.0,55.0
20.0,0.1056,0.0548,0.0508,0.1121,0.0581,0.054,0.0223,0.24677885033789973,1.0,56.0
20.0,0.1076,0.0528,0.0548,0.113,0.0564,0.0566,0.0224,0.3403326084101025,1.0,57.0
20.0,0.0759,0.0355,0.0404,0.0774,0.0363,0.0411,0.0146,0.27195874587515456,1.0,58.0
20.0,0.0913,0.0439,0.0474,0.0937,0.0445,0.0492,0.0193,0.2567875197969773,1.0,59.0
20.0,0.0837,0.0379,0.0458,0.0869,0.0393,0.0476,0.0207,0.3469156638072373,1.0,60.0
20.0,0.0849,0.0405,0.0444,0.0878,0.042,0.0458,0.0174,0.32649276112030867,1.0,61.0
20.0,0.0838,0.039,0.0448,0.0867,0.041,0.0457,0.0195,0.31620147910530194,1.0,62.0
20.0,0.0959,0.046,0.0499,0.1009,0.0485,0.0524,0.0215,0.30656327021580526,1.0,63.0
20.0,0.0832,0.0375,0.0457,0.0842,0.0383,0.0459,0.021,0.38270898847524226,1.0,64.0
20.0,0.1001,0.0441,0.056,0.1046,0.0456,0.059,0.0262,0.3874569221859282,1.0,65.0
20.0,0.0773,0.032,0.0453,0.0796,0.0325,0.0471,0.018,0.29635240076601094,1.0,66.0
20.0,0.078,0.0377,0.0403,0.0828,0.0404,0.0424,0.0182,0.303640646419284,1.0,67.0
20.0,0.0987,0.0507,0.048,0.1026,0.0528,0.0498,0.0216,0.2843606901405342,1.0,68.0
20.0,0.0869,0.0424,0.0445,0.091,0.0456,0.0454,0.0178,0.30566734748034124,1.0,69.0
20.0,0.1067,0.0534,0.0533,0.1112,0.0552,0.056,0.0226,0.27144456439864073,1.0,70.0
20.0,0.102,0.0533,0.0487,0.1043,0.0546,0.0497,0.0189,0.2873751282435453,1.0,71.0
20.0,0.0806,0.0412,0.0394,0.0849,0.044,0.0409,0.0183,0.35953550943455354,1.0,72.0
20.0,0.1176,0.0638,0.0538,0.1223,0.0661,0.0562,0.0227,0.3286348977411549,1.0,73.0
20.0,0.0986,0.0459,0.0527,0.104,0.0474,0.0566,0.0234,0.29705597206371187,1.0,74.0
20.0,0.0984,0.0496,0.0488,0.1007,0.0515,0.0492,0.0263,0.38211700969595697,1.0,75.0
20.0,0.0834,0.0431,0.0403,0.0867,0.0446,0.0421,0.0159,0.32335512760228224,1.0,76.0
20.0,0.1153,0.0618,0.0535,0.1202,0.0634,0.0568,0.0288,0.3796906356926059,1.0,77.0
20.0,0.096,0.0439,0.0521,0.1017,0.0474,0.0543,0.0241,0.3073575025340776,1.0,78.0
20.0,0.1117,0.0481,0.0636,0.116,0.0503,0.0657,0.0262,0.36326931698690607,1.0,79.0
20.0,0.1361,0.0804,0.0557,0.1463,0.0879,0.0584,0.0361,0.30044149701783623,1.0,80.0
20.0,0.0913,0.0467,0.0446,0.0918,0.0471,0.0447,0.022,0.3634146794682783,1.0,81.0
20.0,0.0907,0.0447,0.046,0.0958,0.047,0.0488,0.0186,0.3109761432074566,1.0,82.0
20.0,0.0741,0.0329,0.0412,0.0759,0.0346,0.0413,0.0159,0.3880081273979622,1.0,83.0
20.0,0.0991,0.0489,0.0502,0.1022,0.0505,0.0517,0.0208,0.26525348130128795,1.0,84.0
20.0,0.1065,0.0558,0.0507,0.115,0.0592,0.0558,0.0266,0.3227698538753475,1.0,85.0
20.0,0.1076,0.0569,0.0507,0.1119,0.0585,0.0534,0.0253,0.32290540755862046,1.0,86.0
20.0,0.0677,0.0333,0.0344,0.0704,0.0349,0.0355,0.0148,0.36728578637366444,1.0,87.0
20.0,0.073,0.0364,0.0366,0.0749,0.037,0.0379,0.0183,0.40643310211399863,1.0,88.0
20.0,0.082,0.0442,0.0378,0.0848,0.0448,0.04,0.0176,0.3040080171623938,1.0,89.0
20.0,0.1037,0.0514,0.0523,0.1085,0.0527,0.0558,0.0245,0.3398590490801516,1.0,90.0
20.0,0.0775,0.0458,0.0317,0.0826,0.0492,0.0334,0.0236,0.3437316927857684,1.0,91.0
20.0,0.0686,0.0265,0.0421,0.0713,0.0276,0.0437,0.0197,0.41181151924820386,1.0,92.0
20.0,0.0705,0.0349,0.0356,0.0749,0.0367,0.0382,0.0167,0.34144111714162984,1.0,93.0
20.0,0.0918,0.0482,0.0436,0.0957,0.0503,0.0454,0.0203,0.3387570850036812,1.0,94.0
20.0,0.0801,0.0377,0.0424,0.0827,0.0394,0.0433,0.0155,0.2849904312010422,1.0,95.0
20.0,0.0663,0.0351,0.0312,0.0704,0.0374,0.033,0.0152,0.3216209349220823,1.0,96.0
20.0,0.0833,0.0432,0.0401,0.0873,0.0447,0.0426,0.0237,0.38234710162895147,1.0,97.0
20.0,0.1184,0.0518,0.0666,0.125,0.0541,0.0709,0.028,0.29574494095964005,1.0,98.0
20.0,0.0751,0.0308,0.0443,0.0805,0.0341,0.0464,0.0189,0.32082103508300913,1.0,99.0
20.0,0.0314,0.015,0.0164,0.0331,0.0158,0.0173,0.0287,0.9161021984551396,0.30000000000003585,0.0
20.0,0.0206,0.0105,0.0101,0.0218,0.0106,0.0112,0.0206,0.9632575757575758,0.30000000000003585,1.0
20.0,0.0311,0.02,0.0111,0.0318,0.0203,0.0115,0.0298,0.9741129785247432,0.30000000000003585,2.0
20.0,0.0271,0.0135,0.0136,0.0305,0.0151,0.0154,0.0263,0.8774410842425548,0.30000000000003585,3.0
