true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
2.65,22.88,9974.415,0.055,0.10313559312197756,0.9999944843905497,0.9832610789980731,0.8000000000000006,0.0
2.89,24.275,9972.77,0.065,0.10990405273294426,0.999993479827181,0.9859385783298826,0.8000000000000006,1.0
2.42,22.5,9975.04,0.04,0.0984910488033123,0.9999959842368006,0.9942909654448115,0.8000000000000006,2.0
2.29,21.575,9976.07,0.065,0.10084269075100523,0.9999934840079584,0.9815110401702579,0.8000000000000006,3.0
2.625,23.355,9973.925,0.095,0.099186471588493,0.9999904749479785,0.9734714003944774,0.8000000000000006,4.0
2.46,22.035,9975.425,0.08,0.10226813410846008,0.9999919837042475,0.9870811287477953,0.8000000000000006,5.0
1.745,15.45,9982.78,0.025,0.10322009782834586,0.9999974963428486,0.9893483709273183,0.8000000000000006,6.0
2.3,20.9,9976.78,0.02,0.09988819462754643,0.9999979955399723,0.9926470588235294,0.8000000000000006,7.0
3.095,27.59,9969.19,0.125,0.10143609827380791,0.9999874713798036,0.9824017957351291,0.8000000000000006,8.0
2.56,21.965,9975.395,0.08,0.10288864148695627,0.9999919839581339,0.9706912878787879,0.8000000000000006,9.0
2.715,23.115,9974.08,0.09,0.107142841335703,0.9999909797971998,0.9840690138377999,0.8000000000000006,0.0
3.15,29.035,9967.71,0.105,0.09470661634816482,0.9999894525664549,0.9868680788624609,0.8000000000000006,1.0
2.305,19.415,9978.235,0.045,0.10427008892567578,0.9999954893233354,0.9888722554890219,0.8000000000000006,2.0
2.905,25.085,9971.975,0.035,0.10711615777436928,0.9999964859752493,0.994082283065334,0.8000000000000006,3.0
3.275,28.15,9968.48,0.095,0.1039625704023196,0.999990467879662,0.9830274009044959,0.8000000000000006,4.0
1.875,17.56,9980.52,0.045,0.0980493862531565,0.9999954905284225,0.9786724386724386,0.8000000000000006,5.0
2.06,18.135,9979.775,0.03,0.10025184247307892,0.9999969930755845,0.9875265392781317,0.8000000000000006,6.0
1.85,16.31,9981.815,0.025,0.10222695887711812,0.9999974947386095,0.9914548641542507,0.8000000000000006,7.0
1.97,17.53,9980.44,0.06,0.1027492497162501,0.9999939854584937,0.9876811594202898,0.8000000000000006,8.0
3.465,30.53,9965.91,0.095,0.09965418224870909,0.9999904631313661,0.9851702508960574,0.8000000000000006,9.0
2.98,25.48,9971.425,0.115,0.10505494692926329,0.9999884677513537,0.9849119611414694,0.8000000000000006,0.0
2.35,20.77,9976.815,0.065,0.10069103977956334,0.9999934839272521,0.9811290322580645,0.8000000000000006,1.0
2.655,23.89,9973.38,0.075,0.10097373162233214,0.9999924810464705,0.9882047071702244,0.8000000000000006,2.0
2.985,26.895,9970.07,0.05,0.09828576977859801,0.9999949875628018,0.9907103825136613,0.8000000000000006,3.0
2.425,20.675,9976.845,0.055,0.10376876407282064,0.9999944793499098,0.9906746031746032,0.8000000000000006,4.0
2.385,20.12,9977.41,0.085,0.10012792571000144,0.9999914882178024,0.9696538124452236,0.8000000000000006,5.0
2.46,22.615,9974.83,0.095,0.09730584572868582,0.9999904742600597,0.9792247386759583,0.8000000000000006,6.0
3.265,27.555,9968.95,0.23,0.10388114938809932,0.9999769238946746,0.9737902448428765,0.8000000000000006,7.0
1.65,13.305,9985.02,0.025,0.1042321461442666,0.999997495688362,0.9878787878787879,0.8000000000000006,8.0
2.475,21.34,9976.155,0.03,0.09772490648324174,0.999996991373304,0.9925925925925927,0.8000000000000006,9.0
2.03,17.72,9980.195,0.055,0.1017650925405646,0.9999944890239673,0.9748484848484849,0.8000000000000006,0.0
2.33,20.355,9977.25,0.065,0.10765823265918406,0.9999934839576209,0.9817738791423002,0.8000000000000006,1.0
2.095,18.885,9978.96,0.06,0.09612475561532306,0.9999939814843869,0.9863359201773836,0.8000000000000006,2.0
1.91,17.31,9980.75,0.03,0.0996172896804185,0.999996996996987,0.9873294346978558,0.8000000000000006,3.0
2.48,22.425,9975.065,0.03,0.09560758040653396,0.9999969934857182,0.9951394759087068,0.8000000000000006,4.0
2.185,20.01,9977.745,0.06,0.10089052487635289,0.9999939840270697,0.9814759036144579,0.8000000000000006,5.0
2.73,22.8,9974.415,0.055,0.10970227250233835,0.9999944832387733,0.991006728778468,0.8000000000000006,6.0
2.635,22.255,9975.07,0.04,0.10387963342899566,0.9999959861931884,0.9912790697674418,0.8000000000000006,7.0
2.53,23.01,9974.425,0.035,0.09904462292865994,0.9999964916751805,0.9848484848484848,0.8000000000000006,8.0
1.825,15.7,9982.445,0.03,0.10389714010536145,0.9999969957938708,0.9921554714601073,0.8000000000000006,9.0
2.135,18.31,9979.55,0.005,0.10257737963424583,0.9999994984954864,0.9979674796747968,0.8000000000000006,0.0
2.505,22.96,9974.505,0.03,0.1029450373941875,0.9999969947393508,0.9892322097378278,0.8000000000000006,1.0
2.435,20.94,9976.605,0.02,0.10447316520997384,0.9999979962926443,0.9956395348837208,0.8000000000000006,2.0
2.7,24.8,9972.43,0.07,0.0989775219250872,0.9999929757590377,0.986343732895457,0.8000000000000006,3.0
2.1,17.555,9980.26,0.085,0.10611941562123975,0.9999914823977791,0.9743394308943089,0.8000000000000006,4.0
2.785,24.385,9972.81,0.02,0.09640717500847788,0.9999979964813909,0.9901625320786998,0.8000000000000006,5.0
2.265,19.135,9978.585,0.015,0.10483768446138368,0.9999984952806148,0.9976190476190477,0.8000000000000006,6.0
2.535,22.145,9975.265,0.055,0.10291258215373074,0.9999944905835606,0.9872300664451829,0.8000000000000006,7.0
2.5,21.17,9976.3,0.03,0.10212753188527567,0.9999969926291931,0.992439184746877,0.8000000000000006,8.0
2.34,21.835,9975.725,0.1,0.09550429342961395,0.9999899711987864,0.9855779789742054,0.8000000000000006,9.0
2.545,21.76,9975.655,0.04,0.10087045174251162,0.9999959941368979,0.987770789657582,0.8000000000000006,0.0
1.8,16.585,9981.545,0.07,0.09817698603857554,0.9999929866698014,0.9768686868686869,0.8000000000000006,1.0
2.745,23.48,9973.675,0.1,0.10697547905802514,0.9999899649927925,0.980339738234475,0.8000000000000006,2.0
2.825,26.31,9970.85,0.015,0.09609516331440618,0.9999984961392334,0.9943502824858758,0.8000000000000006,3.0
2.49,20.36,9977.115,0.035,0.11408971749412979,0.9999964945401963,0.9864059590316573,0.8000000000000006,4.0
3.44,29.075,9967.39,0.095,0.10580063663488413,0.9999904571453668,0.9865557217651459,0.8000000000000006,5.0
2.58,22.65,9974.71,0.06,0.09768015123317923,0.999993977963184,0.9905638328951213,0.8000000000000006,6.0
2.39,20.86,9976.7,0.05,0.1057319043089241,0.9999949896763702,0.9868029406490944,0.8000000000000006,7.0
2.615,23.18,9974.17,0.035,0.1060307385188586,0.999996485638719,0.9933554817275748,0.8000000000000006,8.0
2.485,21.84,9975.625,0.05,0.10362292584948972,0.9999949882672687,0.9819191919191919,0.8000000000000006,9.0
1.79,15.585,9982.62,0.005,0.10003006788688446,0.9999994971842316,0.9990808823529411,0.8000000000000006,0.0
2.32,20.2,9977.42,0.06,0.1006063104197911,0.9999939874674594,0.9881640517478667,0.8000000000000006,1.0
2.125,19.03,9978.785,0.06,0.1016459435613145,0.9999939878200463,0.9807781649245064,0.8000000000000006,2.0
2.125,18.125,9979.69,0.06,0.09781666520457402,0.999993980585686,0.990811965811966,0.8000000000000006,3.0
2.21,19.975,9977.785,0.03,0.10239253494108437,0.9999969943385808,0.9915187376725838,0.8000000000000006,4.0
1.96,16.675,9981.295,0.07,0.10793830314813584,0.9999929871220645,0.9858387799564269,0.8000000000000006,5.0
2.335,19.955,9977.585,0.125,0.10210551983908747,0.9999874754343832,0.969120654396728,0.8000000000000006,6.0
1.42,11.64,9986.915,0.025,0.10352544188995735,0.9999974940843451,0.9936386768447837,0.8000000000000006,7.0
1.89,16.32,9981.76,0.03,0.10746227689451049,0.9999969901119159,0.9917200854700854,0.8000000000000006,8.0
