true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
5.305,47.485,9947.09,0.12,0.10426159091759951,1.2097762573361863e-05,-0.7000000000000008,0.0
6.16,54.565,9939.13,0.145,0.10359668318515632,1.462371231631533e-05,-0.7000000000000008,1.0
4.97,46.525,9948.215,0.29,0.09575438942199485,2.923261599826534e-05,-0.7000000000000008,2.0
6.675,59.53,9933.61,0.185,0.09954039045367709,1.868157788220886e-05,-0.7000000000000008,3.0
4.52,39.89,9955.51,0.08,0.10169532213723033,8.045665155149723e-06,-0.7000000000000008,4.0
7.315,66.39,9925.89,0.405,0.09911743614498215,4.09000038811062e-05,-0.7000000000000008,5.0
6.045,52.645,9941.1,0.21,0.10349813329176043,2.1204637147073168e-05,-0.7000000000000008,6.0
5.52,49.85,9944.56,0.07,0.10190809399077588,7.07286590859395e-06,-0.7000000000000008,7.0
7.52,66.305,9926.055,0.12,0.10151987104322603,1.2100019693223922e-05,-0.7000000000000008,8.0
10.52,93.365,9895.82,0.295,0.10668976078736377,7.107241922083571e-05,-0.7000000000000008,9.0
5.405,49.51,9944.915,0.17,0.09700634904916648,1.7185234634152543e-05,-0.7000000000000008,0.0
8.09,70.905,9920.545,0.46,0.10229637615921576,4.649140057285211e-05,-0.7000000000000008,1.0
7.0,59.375,9933.265,0.36,0.1082761464143092,3.636710079348981e-05,-0.7000000000000008,2.0
6.56,57.575,9935.77,0.095,0.1043625326826108,9.582396459106005e-06,-0.7000000000000008,3.0
4.89,45.9,9949.175,0.035,0.09436852039500454,3.5344921284009926e-06,-0.7000000000000008,4.0
10.82,95.51,9893.47,0.2,0.10250564171826024,2.026615736576019e-05,-0.7000000000000008,5.0
6.145,55.07,9938.67,0.115,0.09651494199353648,1.1608106361819296e-05,-0.7000000000000008,6.0
5.935,53.81,9940.19,0.065,0.10343637114105148,6.541064761773599e-06,-0.7000000000000008,7.0
5.335,47.925,9946.635,0.105,0.09897727174111197,1.0593166266278235e-05,-0.7000000000000008,8.0
5.44,46.34,9948.13,0.09,0.10044531839394809,9.074980011407032e-06,-0.7000000000000008,9.0
10.47,94.78,9894.45,0.3,0.09870611956391642,3.525569608627519e-05,-0.7000000000000008,0.0
6.015,52.295,9941.3,0.39,0.10346457833597157,3.9362009491635966e-05,-0.7000000000000008,1.0
5.83,51.24,9942.68,0.25,0.09927778912807247,2.5213802583212065e-05,-0.7000000000000008,2.0
5.59,50.045,9944.14,0.225,0.09742028088637548,2.2692720413306933e-05,-0.7000000000000008,3.0
8.06,73.56,9918.205,0.175,0.09857007306252762,1.7710345077608237e-05,-0.7000000000000008,4.0
6.665,58.3,9934.825,0.21,0.10452672309847545,2.119657695587412e-05,-0.7000000000000008,5.0
6.77,63.59,9929.385,0.255,0.09676039301623943,2.572119341089782e-05,-0.7000000000000008,6.0
6.79,58.505,9934.5,0.205,0.10289455238101648,2.0707842807133918e-05,-0.7000000000000008,7.0
7.44,66.29,9926.11,0.16,0.09872354608036768,1.6171556806159907e-05,-0.7000000000000008,8.0
6.38,56.94,9936.555,0.125,0.10612820868273645,1.2640751280786139e-05,-0.7000000000000008,9.0
5.675,50.755,9943.365,0.205,0.10152111563789867,2.0661841555330048e-05,-0.7000000000000008,0.0
7.61,65.905,9926.39,0.095,0.103337135067849,9.584187169751938e-06,-0.7000000000000008,1.0
6.175,52.66,9941.09,0.075,0.10457519089349296,7.543722218121961e-06,-0.7000000000000008,2.0
9.52,85.22,9904.885,0.375,0.09896815981316322,3.792046923565729e-05,-0.7000000000000008,3.0
6.19,53.97,9939.765,0.075,0.09932332945414907,7.577681694572433e-06,-0.7000000000000008,4.0
7.565,68.235,9924.13,0.07,0.09997217593511191,7.050629500749135e-06,-0.7000000000000008,5.0
5.04,44.78,9950.11,0.07,0.09926134282252082,7.0829612970535734e-06,-0.7000000000000008,6.0
7.205,62.385,9930.3,0.11,0.10254189068397777,1.1088334184385384e-05,-0.7000000000000008,7.0
5.11,44.21,9950.575,0.105,0.10357592654013122,1.057835925203038e-05,-0.7000000000000008,8.0
10.365,90.045,9899.33,0.26,0.10315171069540002,2.6306460212259216e-05,-0.7000000000000008,9.0
6.815,58.32,9934.78,0.085,0.10910270760170629,8.553908714680012e-06,-0.7000000000000008,0.0
6.18,53.935,9939.65,0.235,0.10178206194219774,2.368339660833922e-05,-0.7000000000000008,1.0
6.44,56.89,9936.465,0.205,0.09984463601762626,2.0763552052612497e-05,-0.7000000000000008,2.0
5.445,47.56,9946.92,0.075,0.10302297048755782,7.543479932569173e-06,-0.7000000000000008,3.0
5.34,48.725,9945.78,0.155,0.09991237178134668,1.5645341359051943e-05,-0.7000000000000008,4.0
5.35,46.52,9948.12,0.01,0.10636099280618894,1.006341663982954e-06,-0.7000000000000008,5.0
5.75,51.82,9942.19,0.24,0.1015807162889929,2.422026740951165e-05,-0.7000000000000008,6.0
6.09,51.81,9941.965,0.135,0.10435046427026635,1.3644707843683394e-05,-0.7000000000000008,7.0
6.535,60.12,9933.23,0.115,0.0998709729395922,1.1615451284344178e-05,-0.7000000000000008,8.0
7.66,69.02,9923.035,0.285,0.09685415785461207,2.8670855789017415e-05,-0.7000000000000008,9.0
