true_positive,false_negative,true_negative,false_positive,correct_message,incorrect_message,gamma,replicate
1.48,13.335,9985.135,0.05,0.09547145062737428,5.0033032745254466e-06,-0.4000000000000003,0.0
1.19,10.16,9988.635,0.015,0.10612035242461255,1.500200080032013e-06,-0.4000000000000003,1.0
1.315,11.71,9986.92,0.055,0.09770890291254732,5.506358226504411e-06,-0.4000000000000003,2.0
1.73,16.295,9981.94,0.035,0.09264155598852421,3.509024932234464e-06,-0.4000000000000003,3.0
1.195,11.175,9987.61,0.02,0.09627567601376315,2.0033561367082655e-06,-0.4000000000000003,4.0
1.525,14.235,9984.205,0.035,0.09772424887716658,3.5067637038700974e-06,-0.4000000000000003,5.0
1.245,10.825,9987.87,0.06,0.10675791970050129,6.007109855183013e-06,-0.4000000000000003,6.0
1.195,10.61,9988.15,0.045,0.09439631120727192,4.506611421724571e-06,-0.4000000000000003,7.0
1.375,13.495,9985.095,0.035,0.08551983316412186,3.5126523355633335e-06,-0.4000000000000003,8.0
1.52,13.48,9984.96,0.04,0.10421671146926381,4.006664127061619e-06,-0.4000000000000003,9.0
1.7,14.54,9983.72,0.04,0.10468857072050236,4.008322598162378e-06,-0.4000000000000003,0.0
1.33,12.36,9986.3,0.01,0.10341944373896804,1.0013019431774632e-06,-0.4000000000000003,1.0
1.415,13.44,9985.07,0.075,0.0920158788327998,7.514130794907693e-06,-0.4000000000000003,2.0
1.895,16.22,9981.875,0.01,0.0997167770586113,1.0010010010010011e-06,-0.4000000000000003,3.0
1.725,15.445,9982.79,0.04,0.10728536559713044,4.024022226067163e-06,-0.4000000000000003,4.0
2.16,18.575,9979.12,0.145,0.1012537775007569,1.4519136805600403e-05,-0.4000000000000003,5.0
1.275,11.52,9987.175,0.03,0.09846722895864533,3.0075195331381206e-06,-0.4000000000000003,6.0
1.545,13.25,9985.15,0.055,0.10658775972656538,5.507113753329042e-06,-0.4000000000000003,7.0
1.635,15.73,9982.555,0.08,0.09754809425493254,8.011672597149358e-06,-0.4000000000000003,8.0
1.485,14.295,9984.18,0.04,0.09429711637363579,4.001400500182067e-06,-0.4000000000000003,9.0
1.975,16.885,9981.065,0.075,0.10310568792870355,7.511270333246292e-06,-0.4000000000000003,0.0
1.615,13.685,9984.61,0.09,0.10569643296312511,9.012019349032795e-06,-0.4000000000000003,1.0
1.595,14.265,9984.06,0.08,0.09780259443695613,8.010817864700609e-06,-0.4000000000000003,2.0
1.575,13.535,9984.78,0.11,0.10906058441882217,1.1016332592953232e-05,-0.4000000000000003,3.0
1.5,12.77,9985.675,0.055,0.10748364148460815,5.5072657545328115e-06,-0.4000000000000003,4.0
0.835,7.96,9991.19,0.015,0.0899879041791414,1.5015024147347888e-06,-0.4000000000000003,5.0
1.2,10.885,9987.875,0.04,0.09619828433115458,4.007721142784576e-06,-0.4000000000000003,6.0
1.42,12.195,9986.35,0.035,0.09967150404175347,3.5088781973206854e-06,-0.4000000000000003,7.0
1.18,10.1,9988.71,0.01,0.09947177093976557,1.0016538349762088e-06,-0.4000000000000003,8.0
1.64,14.8,9983.54,0.02,0.10100675061043138,2.0036577235020365e-06,-0.4000000000000003,9.0
1.78,14.34,9983.715,0.165,0.10497269067425112,1.6543366655067975e-05,-0.4000000000000003,0.0
1.365,12.085,9986.515,0.035,0.09636740059717842,3.5049086368381887e-06,-0.4000000000000003,1.0
1.64,13.855,9984.4,0.105,0.10965170086270953,1.0517538302960883e-05,-0.4000000000000003,2.0
1.675,15.795,9982.51,0.02,0.09648320373391947,2.004008760490189e-06,-0.4000000000000003,3.0
1.13,10.045,9988.805,0.02,0.10241725417099205,2.004912281294127e-06,-0.4000000000000003,4.0
1.865,16.25,9981.785,0.1,0.10313902663254089,1.0020300305063564e-05,-0.4000000000000003,5.0
1.785,16.025,9982.125,0.065,0.09929564907179698,6.5112760992490044e-06,-0.4000000000000003,6.0
1.55,12.905,9985.515,0.03,0.1151050458374438,3.0038588716595347e-06,-0.4000000000000003,7.0
1.59,14.46,9983.895,0.055,0.09924814043745889,5.5038048871710805e-06,-0.4000000000000003,8.0
1.585,14.55,9983.805,0.06,0.09256597368053002,6.010320489017495e-06,-0.4000000000000003,9.0
1.665,14.77,9983.515,0.05,0.09929170035341266,5.005863701324051e-06,-0.4000000000000003,0.0
1.505,13.825,9984.64,0.03,0.09421528626103343,3.0044077857633158e-06,-0.4000000000000003,1.0
1.07,8.665,9990.195,0.07,0.11557117426709188,7.004003484180164e-06,-0.4000000000000003,2.0
1.085,9.805,9989.075,0.035,0.0996153528491177,3.5071144393205687e-06,-0.4000000000000003,3.0
1.39,13.075,9985.52,0.015,0.09335314880564771,1.5022547769343886e-06,-0.4000000000000003,4.0
1.15,9.945,9988.87,0.035,0.09982199920145288,3.505558818997727e-06,-0.4000000000000003,5.0
1.635,15.28,9983.06,0.025,0.10111256805955504,2.5035049068696174e-06,-0.4000000000000003,6.0
1.705,14.785,9983.455,0.055,0.10932709833628075,5.508816967483522e-06,-0.4000000000000003,7.0
