true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
2.015,17.555,9980.415,0.015,0.10198530377881879,0.9999984965901799,0.991025641025641,0.10000000000000007,0.0
1.21,10.225,9988.53,0.035,0.0957063556719789,0.9999964974480936,0.9717741935483871,0.10000000000000007,1.0
1.16,10.495,9988.275,0.07,0.1028666991066459,0.9999929924852239,0.9648664343786295,0.10000000000000007,2.0
1.64,14.985,9983.33,0.045,0.09668645121023774,0.9999954939409509,0.9762237762237762,0.10000000000000007,3.0
0.94,8.905,9990.15,0.005,0.09215416829720553,0.999999499849955,0.9912280701754386,0.10000000000000007,4.0
1.875,16.5,9981.56,0.065,0.10526080299536425,0.9999934909840689,0.9829776422764227,0.10000000000000007,5.0
1.65,14.97,9983.275,0.105,0.09803580267761086,0.9999894906403138,0.9657390557072085,0.10000000000000007,6.0
1.83,16.2,9981.88,0.09,0.10145772999865695,0.9999909862618941,0.9862869198312237,0.10000000000000007,7.0
1.615,13.835,9984.5,0.05,0.09855474866376505,0.9999949954447177,0.9765350877192981,0.10000000000000007,8.0
1.32,11.28,9987.335,0.065,0.10421581028777196,0.99999349539421,0.9681481481481481,0.10000000000000007,9.0
1.12,10.05,9988.78,0.05,0.10114912694040656,0.9999949946910114,0.9743809523809523,0.10000000000000007,0.0
1.485,13.31,9985.185,0.02,0.10101893295649848,0.9999979970456385,0.9925675675675676,0.10000000000000007,1.0
1.45,13.465,9984.99,0.095,0.095982103989183,0.9999904881334092,0.9582191780821916,0.10000000000000007,2.0
1.635,14.88,9983.445,0.04,0.1001492355691734,0.9999959962963862,0.9909523809523809,0.10000000000000007,3.0
1.26,11.805,9986.935,0.0,0.09903591659571555,1.0,1.0,0.10000000000000007,4.0
1.29,11.42,9987.275,0.015,0.09646633807929085,0.9999984983481831,0.9921875,0.10000000000000007,5.0
1.125,10.765,9988.08,0.03,0.09515508783379172,0.9999969953926074,0.9864583333333333,0.10000000000000007,6.0
1.37,12.53,9986.025,0.075,0.09680609067771853,0.9999924884789168,0.9717261904761905,0.10000000000000007,7.0
1.625,14.075,9984.265,0.035,0.09976755466081823,0.9999964990994896,0.9839080459770114,0.10000000000000007,8.0
1.79,14.815,9983.275,0.12,0.1090627831301867,0.9999879844254217,0.9691207061336932,0.10000000000000007,9.0
1.455,13.195,9985.25,0.1,0.10251661279764168,0.9999899875297964,0.9544761904761905,0.10000000000000007,0.0
1.34,13.155,9985.455,0.05,0.09911968948646104,0.9999949980489944,0.9706572769953052,0.10000000000000007,1.0
1.385,12.075,9986.475,0.065,0.09887956418549672,0.9999934956965265,0.960431654676259,0.10000000000000007,2.0
1.465,13.915,9984.57,0.05,0.09729280586904297,0.9999949945425132,0.9832191780821918,0.10000000000000007,3.0
1.43,12.455,9986.075,0.04,0.11044887054379642,0.9999959966952414,0.9805555555555555,0.10000000000000007,4.0
1.525,14.01,9984.42,0.045,0.0954813602970264,0.9999954953445475,0.9867149758454108,0.10000000000000007,5.0
1.33,11.835,9986.765,0.07,0.10808960006602773,0.9999929926386133,0.9746153846153847,0.10000000000000007,6.0
1.28,11.62,9987.055,0.045,0.09850326295052168,0.9999954969477933,0.9772727272727273,0.10000000000000007,7.0
1.375,11.54,9987.045,0.04,0.10240491331082038,0.9999959972477428,0.98117048346056,0.10000000000000007,8.0
1.355,11.775,9986.78,0.09,0.09788160547431446,0.9999909894348206,0.9693627450980395,0.10000000000000007,9.0
1.68,14.075,9984.205,0.04,0.1113693524628122,0.9999959960949125,0.9856359649122807,0.10000000000000007,0.0
1.185,10.965,9987.815,0.035,0.09650584483309593,0.9999964977485241,0.975,0.10000000000000007,1.0
1.15,10.105,9988.655,0.09,0.09987319974924101,0.9999909862731287,0.965625,0.10000000000000007,2.0
1.555,12.56,9985.77,0.115,0.11290243544531814,0.9999884849283314,0.9665228507510386,0.10000000000000007,3.0
1.025,9.64,9989.285,0.05,0.09648748724224161,0.999994995894792,0.977936507936508,0.10000000000000007,4.0
1.16,10.115,9988.71,0.015,0.09142542081085332,0.9999984975452649,0.9917355371900827,0.10000000000000007,5.0
1.48,13.06,9985.425,0.035,0.09898001866286087,0.9999964973479233,0.9781021897810219,0.10000000000000007,6.0
2.015,17.46,9980.45,0.075,0.09943872827900964,0.999992482052956,0.9807636469221835,0.10000000000000007,7.0
1.05,9.5,9989.39,0.06,0.10436001920453347,0.9999939944919931,0.969125048393341,0.10000000000000007,8.0
2.15,19.145,9978.675,0.03,0.10920091974173822,0.9999969965947608,0.9846230158730158,0.10000000000000007,9.0
1.535,13.25,9985.2,0.015,0.10049237970665902,0.9999984982977367,0.9897260273972602,0.10000000000000007,0.0
1.63,14.79,9983.51,0.07,0.10130185986028,0.9999929927366904,0.9724832214765101,0.10000000000000007,1.0
1.345,11.06,9987.525,0.07,0.10659554762916848,0.9999929886271052,0.9719230769230769,0.10000000000000007,2.0
1.535,13.255,9985.12,0.09,0.0978787882141505,0.9999909902368229,0.979563492063492,0.10000000000000007,3.0
