true_positive,false_negative,true_negative,false_positive,sensitivity,specificity,precision,gamma,replicate
6978.945,238.96,2037.81,744.285,0.8140351722122188,0.3396979989157007,0.869061585122555,0.29999999999999893,0.0
7564.895,180.475,1460.77,793.86,0.8656575822963505,0.27044010903808735,0.8772716269836021,0.29999999999999893,1.0
8751.655,6.59,344.795,896.96,0.9823290262038191,0.1666846964608317,0.8990791748238333,0.29999999999999893,2.0
276.79,1956.515,7755.65,11.045,0.11005028596849642,0.9964187302261243,0.9780451789373965,0.29999999999999893,3.0
8597.425,73.67,440.35,888.555,0.9644710653866188,0.15987839880922386,0.8936815643239671,0.29999999999999893,4.0
7659.82,110.345,1420.58,809.255,0.8794148273115434,0.27692285166693964,0.8813373608137522,0.29999999999999893,5.0
168.385,1443.96,8384.12,3.535,0.10201967566023462,0.9992944611793877,0.9935052772455694,0.29999999999999893,6.0
8933.96,2.74,146.04,917.26,0.9997037359660641,0.14302936010894743,0.9068883256502265,0.29999999999999893,7.0
475.95,2994.79,6513.555,15.705,0.11771318494742325,0.9938216142325439,0.9860502014403238,0.29999999999999893,8.0
125.605,1059.26,8812.895,2.24,0.10662694962762587,0.9996913407687857,0.9858291208075097,0.29999999999999893,9.0
8259.93,26.865,528.86,1184.345,0.9666626476454063,0.15959365170288003,0.8554470128373579,0.29999999999999893,0.0
128.905,1127.49,8741.985,1.62,0.10079927427344285,0.9997687445888647,0.9928643126723071,0.29999999999999893,1.0
7611.405,186.18,1397.575,804.84,0.8821080191047866,0.28261466524576173,0.865285244545817,0.29999999999999893,2.0
344.315,2669.3,6978.16,8.225,0.10801795352535339,0.997860184859494,0.9880878259093191,0.29999999999999893,3.0
8676.115,13.14,429.115,881.63,0.9759297884928706,0.1750111926211672,0.8966490215448466,0.29999999999999893,4.0
8952.23,2.235,139.605,905.93,0.9997566148624124,0.13920452352454904,0.9081033536651839,0.29999999999999893,5.0
190.18,1604.26,8203.21,2.35,0.100973412660021,0.9994777971019972,0.9963026991933092,0.29999999999999893,6.0
154.465,1350.59,8493.305,1.64,0.10727864985999518,0.9997494686185487,0.9869307461315681,0.29999999999999893,7.0
185.795,1585.145,8225.545,3.515,0.10137488305118665,0.9993633792844971,0.9872761917571082,0.29999999999999893,8.0
8976.155,2.38,129.395,892.07,0.9997449239384969,0.1315080010188203,0.9096012400357963,0.29999999999999893,9.0
8868.125,3.235,166.585,962.055,0.9996491967967676,0.1544055781870142,0.9021320471396426,0.29999999999999893,0.0
174.955,1445.145,8376.875,3.025,0.10214308609899123,0.9992857330298516,0.9943362460916733,0.29999999999999893,1.0
150.33,1311.385,8535.97,2.315,0.09890242067811221,0.9996552907996751,0.9908708322952915,0.29999999999999893,2.0
8830.485,11.385,269.77,888.36,0.9868672354160324,0.14676858298671708,0.9025222171310151,0.29999999999999893,3.0
8934.585,4.805,155.52,905.09,0.999471575287098,0.15160857765959904,0.9080153998789746,0.29999999999999893,4.0
212.185,1810.285,7974.81,2.72,0.10194541061446606,0.9994778331099704,0.9937901164545901,0.29999999999999893,5.0
135.97,1192.54,8669.755,1.735,0.10426271809146494,0.9997539299033521,0.9942409485255757,0.29999999999999893,6.0
8226.06,109.54,797.125,867.275,0.9404856227904008,0.22415468437280933,0.8812353225355858,0.29999999999999893,7.0
8956.76,3.11,139.615,900.515,0.9996646671377044,0.14155695942033553,0.9086439758633226,0.29999999999999893,8.0
284.595,2164.29,7543.61,7.505,0.10686987631171965,0.9979547754405743,0.9926598525777821,0.29999999999999893,9.0
7569.975,162.225,1388.065,879.735,0.8892850165010342,0.2650429325825668,0.8381417856799915,0.29999999999999893,0.0
7230.355,150.97,1778.845,839.83,0.8577300223772013,0.32910305907646437,0.8523565607950527,0.29999999999999893,1.0
8606.885,10.09,496.81,886.215,0.9721432100982046,0.1840380592087859,0.8902583938165088,0.29999999999999893,2.0
8920.77,3.31,142.5,933.42,0.9996436100010141,0.13757125350022067,0.9052765161083406,0.29999999999999893,3.0
8929.865,2.3,168.525,899.31,0.9997520860483854,0.1632276630685995,0.9085056582257549,0.29999999999999893,4.0
8803.575,46.89,271.06,878.475,0.9819821073681173,0.14411290434106078,0.9030872434432667,0.29999999999999893,5.0
354.445,2789.18,6849.735,6.64,0.10500253638329235,0.9981219870721116,0.9917957109625596,0.29999999999999893,6.0
120.36,1062.935,8815.095,1.61,0.09984947387553526,0.9997824543240779,0.9923228362267835,0.29999999999999893,7.0
8929.645,1.43,155.47,913.455,0.9998465165448698,0.15104493467383595,0.9071981493995835,0.29999999999999893,8.0
8974.59,3.285,150.565,871.56,0.999647353219498,0.1536249680679995,0.9114816654706039,0.29999999999999893,9.0
113.985,1015.76,8869.15,1.105,0.0983689812957443,0.9998372591586966,0.9963916667817533,0.29999999999999893,0.0
251.17,2000.445,7743.0,5.385,0.10491805625856745,0.998493331945043,0.9900761666524573,0.29999999999999893,1.0
268.305,2150.39,7573.79,7.515,0.10643163908501291,0.9984311863370549,0.9888352654169041,0.29999999999999893,2.0
151.955,1319.81,8524.605,3.63,0.09971707365459499,0.9993799325457243,0.9902786072649031,0.29999999999999893,3.0
162.74,1338.35,8493.44,5.47,0.10398961273428586,0.9989911457385675,0.9808391360213852,0.29999999999999893,4.0
6696.72,348.435,2228.92,725.925,0.7983369205043087,0.3746581114361558,0.8581559386695808,0.29999999999999893,5.0
257.645,2055.73,7680.69,5.935,0.10562083762459847,0.9985454420824773,0.9912384084562916,0.29999999999999893,6.0
391.62,2935.385,6663.935,9.06,0.1089219731422534,0.996632720362632,0.9894743014158068,0.29999999999999893,7.0
8562.27,27.1,559.7,850.93,0.9708137844890652,0.18515417562074202,0.8955521660793307,0.29999999999999893,8.0
8729.2,3.9,163.765,1103.135,0.9995711148757546,0.1498775063593888,0.8878042314917485,0.29999999999999893,9.0
8137.115,59.07,966.095,837.72,0.9297802126019177,0.2578599629889251,0.8697907931532548,0.29999999999999893,0.0
156.415,1236.39,8603.275,3.92,0.1040456717486971,0.9988720338491237,0.9933643241245987,0.29999999999999893,1.0
