gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,0,0,4,10,6,6,2,5,0,3
-0.8,0,1,11,8,8,5,1,0,2,0
-0.8,0,2,8,4,6,10,3,0,1,0
-0.8,0,3,10,6,7,4,2,0,3,1
-0.8,0,4,2,5,3,5,1,1,0,3
-0.8,0,5,0,2,4,4,0,0,0,2
-0.8,0,6,2,1,5,5,2,1,0,0
-0.8,0,7,3,5,3,3,2,1,0,3
-0.8,0,8,2,2,5,7,1,2,1,0
-0.8,0,9,0,4,8,7,0,2,0,2
-0.8,0,10,0,2,10,11,0,1,0,1
-0.8,0,11,2,5,4,4,0,4,1,0
-0.8,0,12,2,3,6,5,1,2,0,0
-0.8,0,13,7,9,3,1,2,1,0,3
-0.8,0,14,3,6,1,1,2,2,0,3
-0.8,0,15,2,7,3,2,0,2,0,3
-0.8,0,16,2,7,3,2,0,0,0,5
-0.8,0,17,5,4,2,7,1,0,2,2
-0.8,0,18,0,2,2,2,0,1,0,1
-0.8,0,19,9,9,0,4,2,2,1,1
-0.8,0,20,0,8,10,9,0,4,0,4
-0.8,0,21,8,3,4,6,5,0,0,0
-0.8,0,22,3,2,2,3,2,0,0,1
-0.8,0,23,9,9,4,5,4,2,0,2
-0.8,0,24,5,7,5,7,2,0,0,4
-0.8,0,25,3,6,7,8,0,0,1,4
-0.8,0,26,9,4,8,7,2,0,3,0
-0.8,0,27,5,3,5,5,3,2,1,0
-0.8,0,28,0,2,5,7,0,0,0,2
-0.8,0,29,5,10,4,8,0,1,1,5
-0.8,0,30,1,7,6,6,0,5,0,1
-0.8,0,31,2,3,8,6,2,0,0,3
-0.8,0,32,7,6,2,0,0,0,1,0
-0.8,0,33,6,4,4,4,0,0,3,1
-0.8,0,34,3,7,8,9,1,4,1,2
-0.8,0,35,2,2,4,8,1,1,0,0
-0.8,0,36,1,4,4,3,1,1,0,3
-0.8,0,37,1,7,5,1,0,1,0,5
-0.8,0,38,0,7,4,4,0,5,0,2
-0.8,0,39,3,3,6,3,0,1,1,0
-0.8,0,40,17,9,8,7,5,1,4,0
-0.8,0,41,14,5,8,10,4,0,5,0
-0.8,0,42,7,4,3,2,2,0,1,0
-0.8,0,43,3,4,1,2,3,3,0,1
-0.8,0,44,2,5,5,5,1,1,0,3
-0.8,0,45,1,2,3,3,1,0,0,2
-0.8,0,46,7,3,10,7,0,0,4,0
-0.8,0,47,0,4,8,4,0,2,0,2
-0.8,0,48,8,5,11,8,3,0,1,1
-0.8,0,49,11,6,7,8,4,0,1,0
-0.8,0,50,4,5,2,6,4,1,0,4
-0.8,0,51,14,5,10,5,3,0,6,0
-0.8,0,52,6,8,7,7,1,1,0,2
-0.8,0,53,2,5,5,8,1,1,0,3
-0.8,0,54,10,4,4,4,2,0,4,0
-0.8,0,55,4,5,4,5,0,0,0,1
-0.8,0,56,0,3,10,9,0,1,0,2
-0.8,0,57,1,2,9,9,1,0,0,2
-0.8,0,58,6,3,8,2,2,0,1,0
-0.8,0,59,2,8,5,6,2,1,0,7
-0.8,0,60,1,8,5,8,0,4,0,3
-0.8,0,61,4,4,2,6,2,2,0,0
-0.8,0,62,6,3,7,5,0,0,3,0
-0.8,0,63,0,3,3,4,0,2,0,1
-0.8,0,64,3,7,7,3,1,3,0,2
-0.8,0,65,14,7,6,3,3,0,6,2
-0.8,0,66,3,3,4,4,2,1,1,2
-0.8,0,67,0,4,8,4,0,2,0,2
-0.8,0,68,0,3,3,7,0,1,0,2
-0.8,0,69,10,6,10,6,3,0,1,0
-0.8,0,70,7,6,2,3,2,2,3,2
-0.8,0,71,5,3,7,4,2,1,2,1
-0.8,0,72,2,6,3,8,1,2,0,3
-0.8,0,73,2,7,5,4,0,2,0,3
-0.8,0,74,3,5,4,7,3,2,0,3
-0.8,0,75,2,5,2,4,1,3,0,1
-0.8,0,76,2,5,7,6,0,1,0,2
-0.8,0,77,2,3,3,2,1,0,0,2
-0.8,0,78,13,4,3,0,5,0,4,0
-0.8,0,79,3,5,2,4,1,2,0,1
-0.8,0,80,7,5,6,5,5,2,0,1
-0.8,0,81,12,5,2,2,6,0,1,0
-0.8,0,82,9,3,3,2,4,0,2,0
-0.8,0,83,8,5,9,6,3,2,3,1
-0.8,0,84,4,7,6,6,1,1,0,3
-0.8,0,85,5,4,1,5,4,1,0,2
-0.8,0,86,5,7,5,7,2,1,0,3
-0.8,0,87,2,7,5,7,2,4,0,3
-0.8,0,88,10,5,5,1,4,1,2,0
-0.8,0,89,1,8,6,2,1,0,0,8
-0.8,0,90,4,6,7,6,1,1,0,2
-0.8,0,91,10,6,6,5,2,0,2,0
-0.8,0,92,12,8,9,8,2,0,2,0
-0.8,0,93,8,5,5,2,0,1,4,0
-0.8,0,94,3,5,6,10,0,0,0,2
-0.8,0,95,4,4,2,2,0,1,1,0
-0.8,0,96,18,8,10,6,3,0,7,0
-0.8,0,97,3,5,5,9,1,0,0,3
-0.8,0,98,12,7,4,3,3,0,2,0
-0.8,0,99,0,3,6,6,0,1,0,2
-0.8,0,100,11,5,4,5,2,0,4,0
-0.8,0,101,1,3,4,1,0,2,0,0
-0.8,0,102,2,4,8,5,1,3,1,1
-0.8,0,103,2,5,2,4,0,2,0,1
-0.8,0,104,8,4,5,6,3,0,1,0
-0.8,0,105,0,3,5,5,0,0,0,3
-0.8,0,106,3,2,1,5,2,1,0,0
-0.8,0,107,6,1,2,4,6,0,0,1
-0.8,0,108,9,1,5,3,3,0,5,0
-0.8,0,109,0,5,9,11,0,1,0,4
-0.8,0,110,4,5,2,3,0,0,0,1
-0.8,0,111,1,3,3,7,0,1,0,1
-0.8,0,112,0,2,4,6,0,1,0,1
-0.8,0,113,10,7,9,6,2,0,1,0
-0.8,0,114,6,5,7,6,0,0,2,1
-0.8,0,115,4,6,4,5,3,0,0,5
-0.8,0,116,2,5,2,3,2,2,0,3
-0.8,0,117,8,3,4,4,3,0,2,0
-0.8,0,118,3,5,2,5,1,3,0,0
-0.8,0,119,2,2,9,9,1,1,0,0
-0.8,0,120,0,3,2,3,0,0,0,3
-0.8,0,121,5,7,2,2,2,0,1,5
-0.8,0,122,6,4,7,4,4,0,1,3
-0.8,0,123,0,2,6,2,0,0,0,2
-0.8,0,124,10,6,7,10,0,0,4,0
-0.8,0,125,0,4,12,8,0,2,0,2
-0.8,0,126,8,4,9,5,2,0,2,0
-0.8,0,127,5,6,3,4,3,0,0,4
-0.8,0,128,8,5,4,7,4,1,2,2
-0.8,0,129,7,5,8,10,1,0,1,0
-0.8,0,130,2,3,6,4,0,0,1,2
-0.8,0,131,12,12,3,7,2,1,1,2
-0.8,0,132,1,4,1,4,0,1,0,2
-0.8,0,133,9,5,1,4,2,0,3,1
-0.8,0,134,1,5,1,2,0,2,0,2
-0.8,0,135,16,9,3,2,4,0,4,1
-0.8,0,136,3,3,6,7,2,1,0,1
-0.8,0,137,12,7,7,4,3,0,2,0
-0.8,0,138,8,4,5,3,1,0,3,0
-0.8,0,139,2,5,3,4,2,3,0,2
-0.8,0,140,4,7,2,4,0,0,0,3
-0.8,0,141,12,8,14,7,2,0,2,0
-0.8,0,142,8,3,6,2,0,0,5,0
-0.8,0,143,3,6,5,5,1,2,1,3
-0.8,0,144,16,10,9,6,2,0,4,0
-0.8,0,145,7,3,2,4,2,1,3,0
-0.8,0,146,0,4,5,7,0,0,0,4
-0.8,0,147,11,4,4,4,2,0,5,0
-0.8,0,148,2,3,8,6,1,1,0,1
-0.8,0,149,3,7,0,3,0,1,0,3
-0.8,0,150,10,9,11,8,1,0,3,3
-0.8,0,151,3,4,5,3,2,1,0,2
-0.8,0,152,4,7,7,8,1,1,0,3
-0.8,0,153,1,4,3,10,0,1,0,2
-0.8,0,154,3,6,1,8,1,0,0,4
