gamma,replicate,individual,out_degree,out_degree_initial,in_degree,in_degree_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
1.0,0,0,8,9,8,7,0,1,0,0
1.0,0,1,3,4,6,6,0,0,0,1
1.0,0,2,2,3,6,6,0,1,0,0
1.0,0,3,5,5,1,3,0,0,0,0
1.0,0,4,3,4,1,3,0,1,0,0
1.0,0,5,7,7,3,4,0,0,0,0
1.0,0,6,4,4,6,7,1,2,1,0
1.0,0,7,5,5,5,4,0,0,0,0
1.0,0,8,6,6,7,5,0,0,0,0
1.0,0,9,5,4,5,5,1,0,0,0
1.0,0,10,3,4,7,6,0,0,0,1
1.0,0,11,6,6,6,7,0,1,1,0
1.0,0,12,7,7,5,5,1,0,0,1
1.0,0,13,4,5,5,4,0,0,0,1
1.0,0,14,4,3,6,3,1,0,0,0
1.0,0,15,3,1,4,3,1,0,1,0
1.0,0,16,6,5,5,5,1,0,0,0
1.0,0,17,6,5,4,5,1,0,0,0
1.0,0,18,7,7,8,6,0,0,0,0
1.0,0,19,3,2,3,4,0,0,1,0
1.0,0,20,8,7,7,5,1,0,0,0
1.0,0,21,4,1,6,5,1,0,2,0
1.0,0,22,6,4,2,6,0,0,2,0
1.0,0,23,3,3,5,6,0,0,0,0
1.0,0,24,6,5,6,6,0,0,1,0
1.0,0,25,7,6,6,5,1,0,0,0
1.0,0,26,0,5,7,7,0,3,0,2
1.0,0,27,1,5,4,4,0,1,0,3
1.0,0,28,6,5,3,4,1,0,0,0
1.0,0,29,7,8,3,4,2,2,0,1
1.0,0,30,8,4,1,1,2,0,2,0
1.0,0,31,8,4,5,5,2,0,2,0
1.0,0,32,3,2,3,2,1,0,0,0
1.0,0,33,5,3,5,2,2,0,0,0
1.0,0,34,6,4,6,4,0,0,4,2
1.0,0,35,1,1,5,10,1,0,0,1
1.0,0,36,6,5,3,6,0,0,1,0
1.0,0,37,1,6,4,5,0,4,0,1
1.0,0,38,9,6,6,7,1,0,2,0
1.0,0,39,6,6,7,10,0,0,0,0
1.0,0,40,0,5,6,3,0,3,0,2
1.0,0,41,6,3,9,6,1,0,2,0
1.0,0,42,8,7,3,6,0,0,2,1
1.0,0,43,6,6,7,6,0,0,0,0
1.0,0,44,1,1,8,6,0,0,0,0
1.0,0,45,5,4,8,7,1,0,0,0
1.0,0,46,6,6,4,2,0,0,1,1
1.0,0,47,5,6,1,2,1,2,0,0
1.0,0,48,3,5,1,2,0,2,1,1
1.0,0,49,1,5,4,4,0,2,0,2
1.0,0,50,8,7,9,7,0,0,1,0
1.0,0,51,7,5,4,5,3,0,0,1
1.0,0,52,13,9,1,2,2,0,2,0
1.0,0,53,2,3,7,7,1,0,0,2
1.0,0,54,6,5,3,2,1,0,2,2
1.0,0,55,6,5,7,5,1,1,1,0
1.0,0,56,7,7,4,6,0,0,0,0
1.0,0,57,0,3,1,1,0,3,0,0
1.0,0,58,1,3,4,4,1,2,0,1
1.0,0,59,9,8,6,6,0,0,1,0
1.0,0,60,6,8,2,3,0,1,0,1
1.0,0,61,5,6,6,7,0,1,0,0
1.0,0,62,5,5,7,5,0,0,0,0
1.0,0,63,1,1,3,1,1,0,0,1
1.0,0,64,8,9,3,7,0,0,0,1
1.0,0,65,0,5,7,6,0,4,0,1
1.0,0,66,10,6,1,3,4,0,0,0
1.0,0,67,4,3,6,6,1,0,0,0
1.0,0,68,2,5,4,2,0,2,1,2
1.0,0,69,6,4,3,2,2,0,0,0
1.0,0,70,6,6,7,7,0,0,0,0
1.0,0,71,6,5,3,2,1,0,0,0
1.0,0,72,5,5,3,2,0,0,0,0
1.0,0,73,6,6,3,3,0,0,0,0
1.0,0,74,6,6,4,2,0,0,0,0
1.0,0,75,9,6,10,9,3,0,0,0
1.0,0,76,4,4,3,3,2,1,0,1
1.0,0,77,7,6,3,2,0,0,1,0
1.0,0,78,2,4,8,7,1,1,0,2
1.0,0,79,1,3,1,2,0,1,0,1
1.0,0,80,2,3,5,5,0,1,0,0
1.0,0,81,5,5,4,8,1,0,0,1
1.0,0,82,6,4,8,7,1,0,1,0
1.0,0,83,8,8,4,3,0,0,0,0
1.0,0,84,6,5,5,4,1,0,0,0
1.0,0,85,3,4,3,4,0,0,0,1
1.0,0,86,9,8,6,5,1,0,0,0
1.0,0,87,12,12,4,4,1,1,0,0
1.0,0,88,3,2,0,3,1,0,0,0
1.0,0,89,3,5,4,8,0,1,0,1
1.0,0,90,9,6,7,6,1,0,2,0
1.0,0,91,8,7,8,7,1,0,0,0
1.0,0,92,4,4,2,2,0,0,1,1
1.0,0,93,6,6,8,7,1,1,0,0
1.0,0,94,4,7,4,7,0,2,0,1
1.0,0,95,7,5,7,7,1,0,1,0
1.0,0,96,6,7,3,3,0,1,0,0
1.0,0,97,2,2,5,5,0,0,0,0
1.0,0,98,1,2,9,5,0,0,0,1
1.0,0,99,9,8,1,2,0,0,1,0
1.0,0,100,4,5,4,3,0,1,0,0
1.0,0,101,7,8,5,7,1,3,1,0
1.0,0,102,5,6,4,4,0,0,0,1
1.0,0,103,6,5,8,6,0,0,1,0
1.0,0,104,5,2,0,2,3,0,0,0
1.0,0,105,6,5,3,4,1,1,1,0
1.0,0,106,5,5,2,2,1,1,0,0
1.0,0,107,10,10,7,3,0,0,0,0
1.0,0,108,8,6,3,2,2,0,0,0
1.0,0,109,7,7,3,3,0,0,0,0
1.0,0,110,4,3,3,4,0,0,1,0
1.0,0,111,8,7,10,9,1,0,0,0
1.0,0,112,1,1,0,2,1,0,0,1
1.0,0,113,6,5,7,5,0,0,1,0
1.0,0,114,1,3,5,7,0,2,1,1
1.0,0,115,0,2,4,4,0,0,0,2
1.0,0,116,3,2,3,4,1,0,0,0
1.0,0,117,6,3,5,6,3,0,0,0
1.0,0,118,7,5,7,6,1,0,2,1
1.0,0,119,1,1,3,3,0,0,0,0
1.0,0,120,8,8,1,3,0,1,1,0
1.0,0,121,6,7,8,8,1,1,0,1
1.0,0,122,2,4,6,5,0,0,0,2
1.0,0,123,2,2,8,10,0,0,0,0
1.0,0,124,0,6,4,2,0,5,0,1
1.0,0,125,4,6,4,5,1,0,1,4
1.0,0,126,4,3,1,3,0,0,1,0
1.0,0,127,9,7,7,6,1,0,1,0
1.0,0,128,11,9,5,5,1,0,1,0
1.0,0,129,0,5,9,7,0,4,0,1
1.0,0,130,1,5,6,3,0,2,1,3
1.0,0,131,6,5,6,5,1,0,0,0
