gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,0.0,0.3817958268089744,-0.007514168167989947,-0.16822773063528818,0.04133641939477215
-0.1,1.0,0.4422481401757981,0.027243131389382485,-0.24098031713979723,0.027673281792228804
-0.1,2.0,0.4024766592445016,-0.03000643754023464,-0.23041065797262894,-0.014843109680143036
-0.1,3.0,0.40747685456463145,0.031832872338595566,-0.3195130869475916,-0.0523854300435966
-0.1,4.0,0.35768767563227605,0.01705613941295384,-0.14354313743771732,0.01754423729787912
-0.1,5.0,0.37411985604756687,-0.042501628908795205,-0.1866218998211029,0.017452387707863705
-0.1,6.0,0.31711481007255654,0.06441525953721082,-0.1484422969694946,0.002099995848524319
-0.1,7.0,0.3549838745968649,0.0013624894606511543,-0.19262371406227977,-0.03035226854372601
-0.1,8.0,0.3474908240897139,0.009993812461327684,-0.19141569891625734,0.03350141461466191
-0.1,9.0,0.32684261974584544,-0.03754052892691126,-0.19184607929656852,-0.014532864744357853
-0.1,10.0,0.3963445657704199,-0.01757790830860505,-0.21549193316718676,0.008263092802642518
-0.1,11.0,0.3360798332683505,-0.00285256535500758,-0.2379983803484767,-0.03545840694626116
-0.1,12.0,0.3428909963792916,-0.026257165027158094,-0.19029887072932805,0.08142474322188314
-0.1,13.0,0.3461012697473188,-0.029251335475520234,-0.298723070682236,-0.11351989910124832
-0.1,14.0,0.33799744226284495,-0.042514660362411354,-0.274594435097475,-0.00037555377289494313
-0.1,15.0,0.3243919527574818,-0.06754170084768933,-0.20462690849706192,-0.01793520609021703
-0.1,16.0,0.381176297423708,-0.04907525205816869,-0.2621856916605414,-0.07078050320422978
-0.1,17.0,0.31951330134920297,-0.04050608711731232,-0.23875746313360283,-0.03957057959421316
-0.1,18.0,0.35787698076766317,0.011683094307638706,-0.2135733374036854,0.02419443007670696
-0.1,19.0,0.26498162454061347,-0.020408163265306097,-0.16915006911923777,0.03860321745406161
-0.1,20.0,0.4020057203532294,-0.03759398496240599,-0.2600587289690556,-0.03241996374696549
-0.1,21.0,0.37055438169023897,0.01411270143128816,-0.23391743581866772,0.08224361559417596
-0.1,22.0,0.31570265024227695,0.002423623058640275,-0.25706842599275626,-0.024180013887341516
-0.1,23.0,0.40700985658458344,-0.0025391616860032705,-0.23020340361530245,0.0432145675312978
-0.1,24.0,0.40223006951576584,0.07999424996406236,-0.2554805306386228,0.014793891255954737
-0.1,25.0,0.29597789521993617,-0.018341723080483575,-0.13847675930003947,0.04792707008851576
-0.1,26.0,0.44498612465311643,0.04490449044904484,-0.30561542821654114,-0.05954353132283708
-0.1,27.0,0.357722054218963,0.0324622055549045,-0.2020153114544099,-0.05018811862857979
-0.1,28.0,0.3786466382927875,-0.010157837162056661,-0.2598403785541762,0.025239824592231973
-0.1,29.0,0.37977780602676414,-0.010404161664665831,-0.24318343318790903,-0.08309744141572246
-0.1,30.0,0.296301183093636,-0.01365461596099309,-0.1872382195030397,-0.02000388187146106
-0.1,31.0,0.274107069207292,-0.06503111300449983,-0.1977676082635178,-0.06592190911976872
-0.1,32.0,0.25849845938024507,-0.03687285158818108,-0.17932175222800784,-0.05013801406149589
-0.1,33.0,0.3641057737443279,-0.020006375039844003,-0.22768874894955793,0.045614744684566576
-0.1,34.0,0.3350052305602737,-0.037579439675850375,-0.21130956822671976,0.031371154841375294
-0.1,35.0,0.386187015663192,-0.050531831739818255,-0.28716926435617185,-0.030333137378740705
-0.1,36.0,0.3850764778834227,-0.02424281316177063,-0.2636134865914097,-0.021081673059821247
-0.1,37.0,0.38131579977300284,0.019387116948092697,-0.21155353748782388,0.037001084494027406
-0.1,38.0,0.4013630357461414,0.05238006685221099,-0.26041451902887447,-0.0584769492469281
-0.1,39.0,0.3091537132987912,0.010606238503385528,-0.18591617136391891,0.009439676423505423
-0.1,40.0,0.3849961562259762,0.017498464841351334,-0.19584421721598538,0.004105517221873056
-0.1,41.0,0.3224904725222698,0.007237848744434034,-0.21467542910673795,-0.04156909481675622
-0.1,42.0,0.2976779477146315,-0.045653533458411416,-0.1726226255444858,0.030209741684153395
-0.1,43.0,0.3567673177729006,0.014975374384359568,-0.1906331677090354,-0.02753436702925747
-0.1,44.0,0.3344967131393114,-0.09500684379277366,-0.1906877679064451,-0.011883900604094035
-0.1,45.0,0.34459036898061296,0.05657869012707733,-0.18868223969025963,0.03666901646135301
