gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.1,0.0,0.0,0.0,0.27341258360564347,11.0,10.0,0.5515295733893699,0.5742275706656144,0.42052098739672944,3.0,1.0,1.0,2.0
-0.1,0.0,1.0,0.0,0.26246098833617504,5.0,8.0,0.21968477730843539,0.49783097567744583,0.4629224600054456,2.0,1.0,0.0,4.0
-0.1,0.0,2.0,1.0,0.7431170380357941,10.0,8.0,0.37628518339850875,0.39751393928708695,0.40278259004023,2.0,0.0,2.0,2.0
-0.1,0.0,3.0,0.0,0.025178360937518462,5.0,6.0,0.24224712351896602,0.35894015685486996,0.7695717914082272,4.0,3.0,0.0,2.0
-0.1,0.0,4.0,1.0,0.3254502969866999,2.0,6.0,0.05335684077012916,0.3011201042120579,0.7235822660362745,1.0,0.0,0.0,5.0
-0.1,0.0,5.0,0.0,0.08144580957192082,5.0,5.0,0.14408102985824053,0.22542818133428444,0.7418400563860577,3.0,1.0,0.0,2.0
-0.1,0.0,6.0,1.0,0.9667194372051862,15.0,4.0,0.5493730886082339,0.23753670442831692,0.19462509142002093,4.0,0.0,7.0,0.0
-0.1,0.0,7.0,1.0,0.5839265926291868,11.0,9.0,0.4297528311563004,0.521382983453632,0.33598939028230873,2.0,0.0,4.0,4.0
-0.1,0.0,8.0,0.0,0.002404371296126584,14.0,11.0,0.7346127656846965,0.56420185264738,0.6829954593657112,9.0,3.0,0.0,3.0
-0.1,0.0,9.0,1.0,0.7297330864308464,12.0,11.0,0.49677257945645176,0.6310502737140086,0.35645062896165597,2.0,0.0,2.0,3.0
-0.1,0.0,10.0,1.0,0.10583174795596983,3.0,9.0,0.10818841188323464,0.46842140076487987,0.7368499379543898,1.0,2.0,0.0,5.0
-0.1,0.0,11.0,0.0,0.43950737180644384,8.0,10.0,0.3726609049466008,0.5288406693877877,0.6093406243741858,4.0,2.0,1.0,5.0
-0.1,0.0,12.0,0.0,0.5310747803578671,2.0,6.0,0.05940539991561464,0.3160217149912863,0.8117639323018203,1.0,2.0,0.0,3.0
-0.1,0.0,13.0,1.0,0.5693125831727799,13.0,11.0,0.48056210669419075,0.6029797652618178,0.38101798265494247,1.0,0.0,2.0,1.0
-0.1,0.0,14.0,0.0,0.4488997320653765,8.0,8.0,0.24950283590140396,0.43622240869133566,0.5018632456658346,3.0,2.0,2.0,3.0
-0.1,0.0,15.0,1.0,0.9883022606780023,14.0,8.0,0.4964716968362243,0.43747512805197486,0.029483258851691372,4.0,0.0,4.0,2.0
-0.1,0.0,16.0,0.0,0.20447468840643668,3.0,7.0,0.11426812295077023,0.4847042449050194,0.7284217371564902,1.0,1.0,0.0,4.0
-0.1,0.0,17.0,1.0,0.20396683984408515,3.0,5.0,0.1393110659401761,0.27933476997783635,0.6247268329336451,1.0,2.0,0.0,1.0
-0.1,0.0,18.0,0.0,0.7346672329845625,11.0,9.0,0.5022755494260308,0.5912748897603062,0.33128712573945945,1.0,0.0,2.0,1.0
-0.1,0.0,19.0,1.0,0.28246667632335,5.0,11.0,0.21550923561429225,0.6464297628444255,0.44053187391621645,1.0,6.0,0.0,1.0
-0.1,0.0,20.0,0.0,0.810708200679211,17.0,13.0,0.8004485808733501,0.6989505848624167,0.21938609827824773,3.0,0.0,4.0,3.0
-0.1,0.0,21.0,0.0,0.9088487644685548,8.0,10.0,0.3522019796252483,0.5441373867968102,-0.08856954107252173,1.0,0.0,1.0,4.0
-0.1,0.0,22.0,0.0,0.8950072985411014,11.0,9.0,0.4871168487951071,0.46674880355661347,0.42676604618924074,1.0,0.0,1.0,0.0
-0.1,0.0,23.0,1.0,0.7429309883234848,1.0,4.0,0.06654299894400903,0.19143945187731598,0.6417418877932397,1.0,1.0,0.0,3.0
-0.1,0.0,24.0,1.0,0.7348392550881173,14.0,8.0,0.5945225772274558,0.4632488049596615,0.2505377562354158,5.0,0.0,1.0,0.0
-0.1,0.0,25.0,1.0,0.19427839887316944,2.0,9.0,0.09296204975244667,0.41197766241224754,0.5278691217502495,1.0,2.0,0.0,6.0
