gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.2,0.0,0.0,0.0,0.5919808978093939,0.0,7.0,1.3243573832442679e-17,0.41200487746157277,,0.0,4.0,0.0,3.0
0.2,0.0,1.0,0.0,0.20793626204227234,1.0,9.0,0.05663027158017532,0.41296052849752746,0.7119811358558643,0.0,3.0,0.0,5.0
0.2,0.0,2.0,1.0,0.056677964374010736,5.0,10.0,0.2796515535957584,0.45903634350031414,0.6754487324427338,4.0,5.0,0.0,4.0
0.2,0.0,3.0,1.0,0.5276096826640254,16.0,11.0,0.7557953687698774,0.6144185134019884,0.20243109044473825,4.0,0.0,4.0,3.0
0.2,0.0,4.0,0.0,0.43823919256339294,1.0,4.0,0.03085098135740488,0.17821824103214187,0.8174326478106911,1.0,3.0,0.0,1.0
0.2,0.0,5.0,1.0,0.8800862676543996,10.0,8.0,0.44145587530289887,0.43358439406715027,0.32258011674703335,2.0,0.0,2.0,2.0
0.2,0.0,6.0,0.0,0.989780023686093,8.0,7.0,0.3087828994367322,0.2538378198714161,0.7417987521556952,4.0,0.0,0.0,3.0
0.2,0.0,7.0,1.0,0.035677325352131084,5.0,3.0,0.22934254472674798,0.12014095964568458,0.6886636727532115,5.0,1.0,0.0,2.0
0.2,0.0,8.0,1.0,0.35407136791837746,17.0,12.0,0.7782093845880658,0.621579039794709,0.32138338859179866,2.0,0.0,5.0,2.0
0.2,0.0,9.0,1.0,0.5617603464475983,20.0,16.0,0.9465007394513825,0.9999999999999999,0.26592076832862166,3.0,0.0,3.0,2.0
0.2,0.0,10.0,1.0,0.5516834728992793,12.0,10.0,0.5078939576825964,0.5705416905192316,0.30743541975022637,4.0,0.0,0.0,2.0
0.2,0.0,11.0,1.0,0.9026556114195503,7.0,4.0,0.3485909433813813,0.22941623489450322,0.23528104480767506,1.0,0.0,2.0,0.0
0.2,0.0,12.0,1.0,0.5018463695273597,8.0,7.0,0.32816587043453754,0.21373024407322408,0.4153927881874044,2.0,0.0,1.0,2.0
0.2,0.0,13.0,0.0,0.7568899507484246,10.0,6.0,0.45505718485268,0.197452545001052,0.31443416192290646,6.0,0.0,2.0,4.0
0.2,0.0,14.0,1.0,0.08597995899707578,3.0,5.0,0.12999748226501137,0.18821486955461458,0.7279446504627892,3.0,1.0,0.0,4.0
0.2,0.0,15.0,0.0,0.023438399897819484,9.0,10.0,0.5043917586084808,0.5151378890130893,0.7373931964212994,7.0,5.0,0.0,3.0
0.2,0.0,16.0,1.0,0.5182160645766464,9.0,5.0,0.3709109308358047,0.1958028321400852,0.4003275391616005,4.0,0.0,2.0,2.0
0.2,0.0,17.0,1.0,0.9811732140102881,15.0,11.0,0.6353025565604188,0.5949731947922318,0.18067670108505327,2.0,0.0,2.0,0.0
0.2,0.0,18.0,1.0,0.5829340015673597,0.0,4.0,1.3243573832442679e-17,0.1693541859862001,,0.0,2.0,0.0,2.0
0.2,0.0,19.0,1.0,0.38771294839147896,1.0,7.0,0.05197089229429306,0.36877776805399587,0.6382916046207162,1.0,3.0,0.0,4.0
0.2,0.0,20.0,1.0,0.2419570892775904,10.0,11.0,0.655587056977429,0.7461190355339059,0.2675189443828809,2.0,2.0,2.0,3.0
0.2,0.0,21.0,0.0,0.93462897994166,12.0,7.0,0.542970674350588,0.4013220201456775,0.43828640514438044,4.0,0.0,2.0,1.0
0.2,0.0,22.0,0.0,0.33503650756372283,15.0,17.0,0.7798768686845166,0.8524301835769131,0.5438876792292633,5.0,4.0,0.0,3.0
0.2,0.0,23.0,0.0,0.4608450968161254,13.0,10.0,0.6188642426477936,0.4539222717349461,0.418404191965,3.0,0.0,2.0,2.0
0.2,0.0,24.0,0.0,0.017344395643726918,6.0,12.0,0.3051339480655543,0.6771876604329319,0.7205827090811634,4.0,4.0,0.0,6.0
0.2,0.0,25.0,1.0,0.04830555671668413,7.0,9.0,0.3589708644646091,0.5491216185852099,0.695717657788243,6.0,2.0,0.0,6.0
