trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,8.0574,3.8589,4.1985,9.0129,4.3856,4.6273,1.1097922035509669,5.0777,0.6716825153311144,-0.10000000000001588,50
pre,20.0,10.2272,4.8101,5.4171,61.3408,28.8943,32.4465,5.791355123136401,5.4208,0.13277585972805395,-0.10000000000001588,50
post,20.0,8.4044,3.9246,4.4798,9.3793,4.2975,5.0818,1.0922229632731164,5.2659,0.6556873867943115,-0.10000000000001588,54
pre,20.0,10.2042,4.7484,5.4558,76.6009,35.1804,41.4205,8.014985068530644,6.9549,0.11315255379615127,-0.10000000000001588,54
post,20.0,7.7622,3.8369,3.9253,8.5708,4.0926,4.4782,1.0786254249839213,5.0148,0.6770201857511006,-0.10000000000001588,94
pre,20.0,9.4835,4.5753,4.9082,29.1233,14.8705,14.2528,2.871855469831613,4.3647,0.22461285294444588,-0.10000000000001588,94
post,20.0,8.1929,4.1256,4.0673,8.9434,4.4743,4.4691,1.0763565871117353,5.0528,0.6741682457601232,-0.10000000000001588,43
pre,20.0,9.904,4.9292,4.9748,33.3979,17.6987,15.6992,3.068556380227796,4.8433,0.21576747505131746,-0.10000000000001588,43
post,20.0,7.8898,4.0287,3.8611,8.6375,4.434,4.2035,1.0759130574214268,4.8515,0.6643596684316301,-0.10000000000001588,86
pre,20.0,9.5796,4.82,4.7596,32.8561,16.4312,16.4249,3.365012767364684,4.2785,0.16737473426587043,-0.10000000000001588,86
post,20.0,8.095,4.1309,3.9641,9.2189,4.7044,4.5145,1.1164382714180272,5.2989,0.6796365158624605,-0.10000000000001588,36
pre,20.0,10.0451,5.342,4.7031,56.4886,32.3534,24.1352,5.589032442837357,8.8018,0.18946354233832927,-0.10000000000001588,36
post,20.0,8.3447,4.0848,4.2599,9.1375,4.4366,4.7009,1.0766940382517454,5.2169,0.6824537204205214,-0.10000000000001588,55
pre,20.0,10.331,5.1844,5.1466,40.691,20.1185,20.5725,3.5184033301675632,4.7222,0.21088679704624808,-0.10000000000001588,55
post,20.0,8.1796,4.2023,3.9773,9.1896,4.968,4.2216,1.107084143001679,5.301,0.6801068696489164,-0.10000000000001588,78
pre,20.0,10.322,5.1417,5.1803,52.3765,28.1764,24.2001,4.500190735077658,5.3099,0.17260640415641848,-0.10000000000001588,78
post,20.0,8.2815,4.3441,3.9374,9.5223,5.0218,4.5005,1.130465858159952,5.4267,0.6734976828535949,-0.10000000000001588,62
pre,20.0,10.0542,5.3688,4.6854,56.9894,31.7622,25.2272,5.51084633752117,7.3588,0.14853489345256882,-0.10000000000001588,62
post,20.0,8.3224,4.1981,4.1243,9.2818,4.736,4.5458,1.0973710141314272,5.221,0.6589033732861799,-0.10000000000001588,99
pre,20.0,10.5236,5.4423,5.0813,92.0349,45.6279,46.407,8.482189344789113,4.6431,0.10978663250807769,-0.10000000000001588,99
post,20.0,8.4765,4.0604,4.4161,9.7645,4.555,5.2095,1.1286324539142372,5.3459,0.6421864210555751,-0.10000000000001588,59
pre,20.0,10.3078,5.0863,5.2215,44.4196,21.8126,22.607,4.3590925452976546,4.167,0.11973697835967785,-0.10000000000001588,59
post,20.0,8.3335,4.2775,4.056,9.4757,4.8923,4.5834,1.1198591733604293,5.3533,0.6710926116352893,-0.10000000000001588,0
pre,20.0,10.3311,5.2789,5.0522,50.9267,25.7246,25.2021,4.609928851080498,4.1475,0.13704277372302925,-0.10000000000001588,0
post,20.0,8.0975,4.0723,4.0252,9.1441,4.6263,4.5178,1.1093901343405477,5.2075,0.6675568906257778,-0.10000000000001588,64
pre,20.0,10.1259,4.9995,5.1264,65.7055,31.8139,33.8916,6.384636193890133,4.6055,0.11699099447535703,-0.10000000000001588,64
post,20.0,7.9623,4.0595,3.9028,8.7702,4.2751,4.4951,1.0909407769921833,5.0506,0.6771519505664334,-0.10000000000001588,40
pre,20.0,10.036,4.9561,5.0799,56.0699,27.0515,29.0184,5.15297900075246,4.8995,0.18070105725696725,-0.10000000000001588,40
post,20.0,8.3557,4.3267,4.029,9.8745,5.1735,4.701,1.1620827055717586,5.5517,0.6689114709889509,-0.10000000000001588,12
pre,20.0,10.0516,5.0514,5.0002,42.6717,19.2773,23.3944,4.327609238933302,5.5055,0.15817730841116953,-0.10000000000001588,12
post,20.0,8.3964,4.1465,4.2499,10.075,4.7533,5.3217,1.1784718962725957,5.6012,0.6551782157068479,-0.10000000000001588,74
pre,20.0,10.9618,5.4255,5.5363,84.5113,41.8049,42.7064,6.862671389725939,4.2931,0.13351768970467046,-0.10000000000001588,74
post,20.0,7.8527,4.0229,3.8298,8.5396,4.3348,4.2048,1.0708672253405251,4.9324,0.6795409298868443,-0.10000000000001588,56
pre,20.0,9.631,4.8202,4.8108,30.297,16.2011,14.0959,3.0729957423904595,5.179,0.2379837291540402,-0.10000000000001588,56
post,20.0,8.0777,3.9986,4.0791,9.0796,4.3395,4.7401,1.103122655514277,5.2062,0.6759688430925397,-0.10000000000001588,63
pre,20.0,9.789,4.7091,5.0799,53.6146,22.9295,30.6851,5.574101202192909,8.1832,0.18516122303706178,-0.10000000000001588,63
post,20.0,7.8243,3.8631,3.9612,8.9976,4.4017,4.5959,1.1295704412063365,5.1444,0.6681501826595494,-0.10000000000001588,67
pre,20.0,9.3651,4.6791,4.686,24.2183,12.0592,12.1591,2.530705965366842,4.4531,0.24591612104976018,-0.10000000000001588,67
post,20.0,8.3051,4.0685,4.2366,9.6592,4.701,4.9582,1.137117149235584,5.4522,0.6612292570976633,-0.10000000000001588,53
pre,20.0,10.4037,5.2596,5.1441,82.7291,42.1204,40.6087,8.40854015542686,4.5037,0.07324465412690721,-0.10000000000001588,53
post,20.0,7.7437,3.9209,3.8228,8.8221,4.1852,4.6369,1.122974016897177,4.9605,0.6668296499985351,-0.10000000000001588,22
pre,20.0,9.4753,5.0605,4.4148,30.0291,15.4389,14.5902,2.934840814654465,4.2181,0.20721444892982668,-0.10000000000001588,22
post,20.0,8.3084,4.3575,3.9509,9.4725,4.9822,4.4903,1.1162248219022883,5.2813,0.6558562055253034,-0.10000000000001588,49
pre,20.0,9.9929,4.8983,5.0946,35.9786,16.4246,19.554,3.4554660479292263,5.328,0.19521133501787463,-0.10000000000001588,49
