gamma,replicate,assort_type_final,assort_type_initial,assort_thresh_final,assort_thresh_initial
-0.1,0.0,0.26910465320017035,-0.007766113239277416,-0.11273760042017852,-0.05695272070757706
-0.1,1.0,0.24247040900035155,-0.010006312539453366,-0.1092497689664943,-0.04262742754916155
-0.1,2.0,0.24749882421691285,-0.011067940512165964,-0.1034997032008911,-0.08739920680826709
-0.1,3.0,0.22984175066753834,-0.08258288525215224,-0.14467758485882784,-0.05309525050212548
-0.1,4.0,0.23492349234923482,0.029993937462108957,-0.10031210984308463,-0.0719323828908041
-0.1,5.0,0.30307911180190394,0.050000000000000044,-0.1163943242083872,-0.04764350608268119
-0.1,6.0,0.19499496871855435,0.0023737379262062496,-0.07337364083537824,-0.037373989953191064
-0.1,7.0,0.30170459789353826,0.06749854296647323,-0.05539341985393288,-0.009112054376996775
-0.1,8.0,0.23675464320625617,-0.02834999554319104,-0.09830652172589217,-0.014280914535510312
-0.1,9.0,0.2369742275536736,0.009944309367401835,-0.08468017538442155,-0.024668612054032757
-0.1,10.0,0.21222304716501894,-0.050000000000000044,-0.11567241307637698,-0.053997036739658395
-0.1,11.0,0.13980645645270204,-0.060006625041406546,-0.1367965249021125,-0.04859545714069548
-0.1,12.0,0.2822476651947953,0.062463377475682674,-0.016840785656764726,0.0025632963512973107
-0.1,13.0,0.2946429129746934,0.08717908639756164,-0.13183019661874956,-0.07401007674598904
-0.1,14.0,0.26976046072845156,0.006194076904182084,-0.11250226053732008,-0.07213480304918089
-0.1,15.0,0.2447687104175655,-0.002764792578040192,-0.12745951387310364,-0.046934868173318885
-0.1,16.0,0.19243817104747063,-0.045529299207723764,-0.14142995020788451,-0.12622820870799967
-0.1,17.0,0.22721798474508223,-0.033858554757110366,-0.1226885847825315,-0.12389351330499457
-0.1,18.0,0.26208376912602294,-0.04809118893625919,-0.08939897788342446,-0.052193743084278106
-0.1,19.0,0.25977330557483236,0.007498449216326689,-0.07005320824925486,-0.021062508072347153
-0.1,20.0,0.23197077986550083,0.007498449216326689,-0.11187457701779262,-0.07648174410863294
-0.1,21.0,0.28700870443539994,0.014778325123152691,-0.1414108079893681,-0.04814777018152448
-0.1,22.0,0.2092864908793393,-0.050321661008683904,-0.08624296905473271,-0.05680343244522279
-0.1,23.0,0.23586546847866774,-0.0025015664086975122,-0.0951831136243388,-0.07413360171918978
-0.1,24.0,0.2770018090590547,0.019699783058561748,-0.14619197255930186,-0.09423546328534585
-0.1,25.0,0.26165898343582,0.007461228954256123,-0.11107305913482349,-0.06042549386968108
-0.1,26.0,0.25230256114505223,-0.03250161328377078,-0.13085725468234466,-0.05867877521113424
-0.1,27.0,0.22246962771983297,-0.030644152595372006,-0.0997690750042487,-0.04118663059175143
-0.1,28.0,0.30249019126831467,0.04978620189542659,-0.1142109434532885,-0.12142176092332177
-0.1,29.0,0.19973784515617196,0.03484919518674799,-0.09265923043280755,-0.020886832386481664
-0.1,30.0,0.26999543747148425,0.06490649064906487,-0.03958888972039557,0.014684273425638283
-0.1,31.0,0.28445887202196657,0.03655913978494633,-0.13541797701834118,-0.023520807708958487
-0.1,32.0,0.30710916626409607,0.07217381110546686,-0.04090278107832263,-0.016430143086665478
-0.1,33.0,0.2824167001204337,0.007761261345911652,-0.13635811674465187,-0.08043035925692381
-0.1,34.0,0.23549197188239746,0.011373893075080726,-0.12611403980813815,-0.061437566673383966
-0.1,35.0,0.24498112452811335,-0.0053078755368831275,-0.09847085912046695,-0.06874832568107692
-0.1,36.0,0.2345215759849906,0.007461228954256123,-0.05466441604484839,0.024424218777511778
-0.1,37.0,0.29129409260444716,0.019503623709503023,-0.052627918370764186,-0.045777262797166436
-0.1,38.0,0.2343108797918126,-0.007501574221209835,-0.07042155885148292,-0.025232449851018347
-0.1,39.0,0.20735013963577503,-0.020229551649120988,-0.10481786213635406,-0.08463677702556369
-0.1,40.0,0.2189015803473634,-0.05297548424210295,-0.0967725950455028,-0.07700800812394823
-0.1,41.0,0.21929736763086782,-0.020102010201020107,-0.06994234470670581,-0.052217029475539356
-0.1,42.0,0.3122582157789849,0.03484919518674799,-0.09600530774937753,-0.05990243494807653
-0.1,43.0,0.2562344364082008,0.0015249266862169555,-0.12696920791215743,-0.05069249106078094
-0.1,44.0,0.1674674791984062,-0.09750171484642943,-0.0870796020120127,-0.05193730240001288
-0.1,45.0,0.2845528455284555,0.06742860000218746,-0.130601534722804,-0.08023636905529817
-0.1,46.0,0.21146381416830554,-0.04777667852917421,-0.10094452611686823,-0.030273300817515603
-0.1,47.0,0.20097060780399995,-0.020102010201020107,-0.08233282776860802,-0.053304041587741026
-0.1,48.0,0.267362505018065,-0.006232634977847676,-0.16380391707847994,-0.09105282974454994
-0.1,49.0,0.26335174953959484,0.06368330464715996,-0.10873169981613914,-0.053828108860878444
-0.1,50.0,0.26,0.03984997655883728,-0.07485168316591796,-0.02761666365125599
-0.1,51.0,0.2517693059628543,-0.008484848484848546,-0.09717500438589646,-0.037619112546017804
-0.1,52.0,0.2571645633731483,0.014999999999999902,-0.08851483505817577,-0.06796203805618606
-0.1,53.0,0.2698859196749492,0.0198468510704797,-0.05563290163713831,-0.008774922582669471
-0.1,54.0,0.27744467935826317,0.05485232067510557,-0.13920218595299585,-0.04751579364231375
-0.1,55.0,0.302898037827848,-0.005682040832320747,-0.05834825554093161,-0.10238832295550221
-0.1,56.0,0.19232963987182625,-0.021436394930370906,-0.04526941550821841,-0.006691470924590819
-0.1,57.0,0.26944751968676295,-0.025000000000000022,-0.10139460909588938,-0.055430773035005224
-0.1,58.0,0.2346938775510203,-0.025025625640640977,-0.03965903726324577,-0.04947141642938625
-0.1,59.0,0.26716908103815645,0.0024610336341263153,-0.11878481606266982,-0.07849852128520246
-0.1,60.0,0.223908621498983,-0.07500671879199239,-0.024371584414547003,-0.029478160866860937
-0.1,61.0,0.26999543747148425,0.007374370818806835,-0.08986091946620045,-0.029576353244299785
-0.1,62.0,0.26678396871945265,-0.012501582033721936,-0.1090490303821716,-0.02751605529434532
-0.1,63.0,0.2698859196749492,0.03499396871230461,-0.09984183139073412,-0.04896238968159885
-0.1,64.0,0.23992399239923992,0.009944309367401835,-0.09824968583098963,-0.059226103866690076
-0.1,65.0,0.2715427616602442,0.009845288326300914,-0.12713187312738913,-0.12715920521840643
-0.1,66.0,0.27869714672126533,0.05997649941248542,-0.13975042720998737,-0.10901328958776507
-0.1,67.0,0.21195698911281027,-0.010157837162056661,-0.09145375415542109,-0.04953684560585098
-0.1,68.0,0.2673065231287637,0.029126213592233132,-0.08386050105929921,-0.08377212286484649
-0.1,69.0,0.3024727528419079,-0.007955154749566554,-0.10957377136278011,-0.05139332932826211
-0.1,70.0,0.2481285725287178,0.022315156459268206,-0.1771447087540757,-0.12217093818996726
-0.1,71.0,0.25483233727588706,0.007150951506388902,-0.07780340184877932,-0.07847712797168357
-0.1,72.0,0.20722128873432075,-0.007955154749566554,-0.06862450167317874,-0.014728769204836876
-0.1,73.0,0.20749876171681517,-0.020102010201020107,-0.130771590463243,-0.07228404121242056
-0.1,74.0,0.25249883202942497,0.03990399039903995,-0.10716096081531415,-0.09131778575556872
-0.1,75.0,0.23240285098582783,0.004999999999999893,-0.10095844572359206,-0.10492032198415137
-0.1,76.0,0.23992399239923992,-0.03505822202498903,-0.12630081353403708,-0.06532206228883636
-0.1,77.0,0.2566532816286049,0.027316101950525036,-0.14402861313522503,-0.09043339153626065
-0.1,78.0,0.21744008525652742,-0.04510451045104502,-0.15415307761597472,-0.12582414996948102
-0.1,79.0,0.2146023924611834,-0.007766113239277416,-0.11979305848402082,-0.08457063076155971
-0.1,80.0,0.2623259078127681,-0.042866632800593836,-0.14079214069917748,-0.06472476775902852
-0.1,81.0,0.23982896151634123,-0.010101010101010098,-0.13110914040642818,-0.08873948793452834
-0.1,82.0,0.20598019646980548,-0.016626602564102623,-0.14328250670332593,-0.08773073006780482
-0.1,83.0,0.2674988554669617,0.033453525641025515,-0.12436261617238117,-0.09089088859475491
-0.1,84.0,0.24431988789910938,-0.052633223892398856,-0.09759786540846484,-0.052807608418121425
-0.1,85.0,0.24650986687193654,0.002249951428625248,-0.13344739691762483,-0.08704700172357245
-0.1,86.0,0.22492249224922503,0.009993812461327684,-0.16076494486909154,-0.07093551298571343
-0.1,87.0,0.21744008525652742,-0.027630059429396597,-0.07212034978142687,-0.037491979199832694
-0.1,88.0,0.2665361827025828,0.040000000000000036,-0.1487847044398054,-0.07054005419746175
-0.1,89.0,0.1820386186583372,-0.008484848484848546,-0.12133754272377487,-0.07003296855894367
-0.1,90.0,0.22185681602449547,-0.010101010101010098,-0.12059796860085581,-0.0394581919015155
-0.1,91.0,0.24244199946558417,0.026951139627195968,-0.07130752165077779,-0.03145095208116016
-0.1,92.0,0.2527395370997265,-0.002952895917062386,-0.053125571435451664,0.002815544479497062
-0.1,93.0,0.19577972256279452,-0.02885197579944892,-0.07120323408148511,-0.0330667888390109
-0.1,94.0,0.2670865910302532,0.012486113085965204,-0.12668482419434263,-0.0938451854561402
-0.1,95.0,0.27352889601442915,0.012053880580449672,-0.13019483715936392,-0.0362569674816618
-0.1,96.0,0.2599953749710934,-6.250039062729576e-06,-0.11669072060146686,-0.05943956920456587
-0.1,97.0,0.27730916445123793,0.0073123199854972605,-0.08148324766517759,0.003048238641953467
-0.1,98.0,0.21999999999999997,0.007424005900451495,-0.12240643421931958,-0.11799014758805937
