trial,samplers,samplers_active,sampler_A,sampler_B,total_active,active_A,active_B,avg_cascade_size,active_diff,cascade_bias,gamma,replicate
post,20.0,9.7327,4.9227,4.81,14.5923,7.4328,7.1595,1.4390375411728025,7.1455,0.5345376728728277,-0.10000000000001588,44
pre,20.0,9.7065,4.9294,4.7771,51.022,28.1167,22.9053,5.503668817326905,6.56,0.15764525844283905,-0.10000000000001588,44
post,20.0,10.3456,5.1502,5.1954,15.1339,7.3238,7.8101,1.4016797103283658,7.3583,0.5331643352991595,-0.10000000000001588,8
pre,20.0,10.397,5.2596,5.1374,71.5329,34.6767,36.8562,7.004266995229862,4.4075,0.0961817754501911,-0.10000000000001588,8
post,20.0,10.8522,5.2174,5.6348,16.0957,7.6671,8.4286,1.4221984799091316,7.4767,0.5077306872098024,-0.10000000000001588,71
pre,20.0,10.7946,5.1483,5.6463,109.7654,53.7456,56.0198,10.99181095947536,4.3434,0.0628306770939099,-0.10000000000001588,71
post,20.0,10.3324,5.4714,4.861,15.9684,8.645,7.3234,1.4787593175781322,7.809,0.5373924088280564,-0.10000000000001588,87
pre,20.0,10.2225,5.4578,4.7647,49.891,27.4758,22.4152,5.059019537684199,6.3232,0.13115415395350238,-0.10000000000001588,87
post,20.0,10.1363,5.3594,4.7769,14.5333,7.8404,6.6929,1.3691370548441755,7.1113,0.530163331028855,-0.10000000000001588,16
pre,20.0,10.1681,5.3545,4.8136,61.0532,32.997,28.0562,6.076211761347933,6.371,0.11725029914153196,-0.10000000000001588,16
post,20.0,10.1206,5.3809,4.7397,15.5521,8.7525,6.7996,1.4696875576117034,7.6869,0.5412546065252947,-0.10000000000001588,13
pre,20.0,10.1312,5.3202,4.811,39.7199,20.8921,18.8278,3.707852872674282,5.0941,0.17385543152126176,-0.10000000000001588,13
post,20.0,9.5731,4.4462,5.1269,13.1695,5.8567,7.3128,1.3272920697709025,6.5865,0.5553558946051758,-0.10000000000001588,6
pre,20.0,9.5045,4.4376,5.0669,27.1674,13.5341,13.6333,2.8551606451065794,4.403,0.20965224401723004,-0.10000000000001588,6
post,20.0,10.2793,4.95,5.3293,15.7209,7.6835,8.0374,1.464559024788125,7.5839,0.5271895443590238,-0.10000000000001588,14
pre,20.0,10.3147,5.0294,5.2853,59.2308,29.2733,29.9575,5.811846570454686,4.5162,0.09729861432583711,-0.10000000000001588,14
post,20.0,9.6588,5.1319,4.5269,13.6132,7.4365,6.1767,1.3535365667805341,6.7474,0.5406975349769775,-0.10000000000001588,9
pre,20.0,9.7621,5.1727,4.5894,51.0582,27.8988,23.1594,5.4853870955476385,6.77,0.15251239745218623,-0.10000000000001588,9
post,20.0,10.0328,4.6645,5.3683,14.8082,6.7426,8.0656,1.4112724444401963,7.3332,0.5401289268271516,-0.10000000000001588,54
pre,20.0,10.1209,4.6582,5.4627,58.9662,25.7098,33.2564,5.621037787170513,7.8938,0.19217696976898418,-0.10000000000001588,54
post,20.0,10.2134,4.9987,5.2147,15.332,7.4927,7.8393,1.4406609179192764,7.44,0.5375749820432391,-0.10000000000001588,75
pre,20.0,10.2879,5.0601,5.2278,56.0079,27.382,28.6259,4.822080538649357,4.2067,0.13435237523197693,-0.10000000000001588,75
post,20.0,10.2543,5.3254,4.9289,14.3837,7.6837,6.7,1.3475286150192411,6.9289,0.5277354832743492,-0.10000000000001588,84
pre,20.0,10.2556,5.274,4.9816,61.2699,31.8774,29.3925,5.790619819855163,4.9045,0.1322735415350801,-0.10000000000001588,84
post,20.0,9.49,4.566,4.924,13.633,6.7113,6.9217,1.3758725615281917,6.7228,0.5423842520238357,-0.10000000000001588,94
pre,20.0,9.3776,4.5225,4.8551,30.2804,15.6048,14.6756,3.172362549036208,4.8984,0.21896266657381006,-0.10000000000001588,94
post,20.0,9.3954,5.1132,4.2822,13.1947,7.7852,5.4095,1.3463448996163343,6.6323,0.5209885180012359,-0.10000000000001588,96
pre,20.0,9.2954,5.0405,4.2549,51.4156,30.1789,21.2367,5.80634329556737,9.4642,0.20046403183328587,-0.10000000000001588,96
post,20.0,9.4116,4.4845,4.9271,13.2873,6.4473,6.84,1.3459966687795513,6.6403,0.5395975929398164,-0.10000000000001588,46
pre,20.0,9.4911,4.578,4.9131,34.9285,16.4492,18.4793,3.582497617916893,4.3079,0.16573403690152466,-0.10000000000001588,46
post,20.0,9.3217,4.9896,4.3321,13.0151,6.8933,6.1218,1.339171257460593,6.5141,0.5487959627455181,-0.10000000000001588,19
pre,20.0,9.4477,5.0953,4.3524,29.9911,16.1712,13.8199,3.0020609491276575,4.9703,0.21815020821771033,-0.10000000000001588,19
post,20.0,10.3477,5.1843,5.1634,15.2833,7.7499,7.5334,1.4156270808959128,7.3565,0.5146503711843824,-0.10000000000001588,53
pre,20.0,10.3216,5.164,5.1576,82.7146,43.8756,38.839,8.52831889252007,6.0704,0.0879652719815386,-0.10000000000001588,53
post,20.0,10.0381,4.8405,5.1976,14.8367,6.9483,7.8884,1.4172163984644959,7.2973,0.5351016281098226,-0.10000000000001588,42
pre,20.0,10.0385,4.8867,5.1518,35.9288,16.7596,19.1692,3.6395049964245216,4.677,0.15320942679660415,-0.10000000000001588,42
post,20.0,10.0275,5.2923,4.7352,14.6579,7.8396,6.8183,1.4046959378032466,7.2101,0.5428674887938834,-0.10000000000001588,95
pre,20.0,10.0493,5.2763,4.773,51.1032,25.1749,25.9283,5.206110500046662,4.5602,0.12268423760345905,-0.10000000000001588,95
post,20.0,9.6536,4.7084,4.9452,14.0658,6.9605,7.1053,1.403291005273047,7.0106,0.5533441585444047,-0.10000000000001588,39
pre,20.0,9.6517,4.656,4.9957,33.3373,17.1121,16.2252,3.331961135346436,4.5373,0.1850881527986716,-0.10000000000001588,39
post,20.0,10.4542,5.1984,5.2558,15.5372,7.5572,7.98,1.4255837108746119,7.3664,0.5251856883888271,-0.10000000000001588,66
pre,20.0,10.4063,5.1206,5.2857,55.9902,27.6514,28.3388,5.64345796852635,4.5074,0.10539378347229192,-0.10000000000001588,66
post,20.0,9.3522,4.6453,4.7069,12.5879,6.3957,6.1922,1.2887927460443105,6.3779,0.5614843629011084,-0.10000000000001588,67
pre,20.0,9.3414,4.6623,4.6791,27.3332,13.2528,14.0804,3.1172641676351045,4.1538,0.18874480653486841,-0.10000000000001588,67
post,20.0,10.0233,5.3321,4.6912,14.1298,7.7391,6.3907,1.349348872729386,6.9698,0.5358672820930366,-0.10000000000001588,36
pre,20.0,10.0062,5.2517,4.7545,58.374,32.7939,25.5801,6.286326418123294,7.724,0.15459261488499945,-0.10000000000001588,36
post,20.0,10.3743,5.1683,5.206,15.5507,7.5932,7.9575,1.432535368093997,7.4045,0.5086569980862921,-0.10000000000001588,20
pre,20.0,10.3117,5.1993,5.1124,56.5443,27.3886,29.1557,5.042578927086901,4.3283,0.12918323777087543,-0.10000000000001588,20
post,20.0,9.5511,4.8815,4.6696,13.4123,6.8913,6.521,1.342496777146448,6.7679,0.5461757688991941,-0.10000000000001588,32
pre,20.0,9.6009,4.8909,4.71,33.3097,16.7641,16.5456,3.4350461798980807,4.3871,0.17304505282965993,-0.10000000000001588,32
