gamma,replicate,individual,type,threshold,degree,degree_initial,centrality,centrality_initial,local_assortativity,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.5,0.0,0.0,0.0,0.9406736056841625,11.0,13.0,0.40334066081508035,0.5759250341212893,0.28376812614038976,1.0,0.0,0.0,3.0
-0.5,0.0,1.0,0.0,0.3512082175211362,7.0,8.0,0.21448935978463815,0.36194942664267277,0.20131274462693668,0.0,2.0,3.0,2.0
-0.5,0.0,2.0,1.0,0.3844402693389466,15.0,13.0,0.5646192362291799,0.6216183005060854,0.12472272198505518,3.0,2.0,4.0,3.0
-0.5,0.0,3.0,0.0,0.09518560054685243,4.0,10.0,0.1751003004443882,0.5262703333232902,0.6478854664360714,1.0,2.0,0.0,5.0
-0.5,0.0,4.0,1.0,0.22703963381324355,6.0,11.0,0.18431628453751123,0.5267953026994509,0.46718598530275607,1.0,3.0,1.0,4.0
-0.5,0.0,5.0,1.0,0.6161942526128577,8.0,8.0,0.26079348387111534,0.32654275839027447,-0.01112655531327199,1.0,1.0,2.0,2.0
-0.5,0.0,6.0,0.0,0.9238576341634847,16.0,6.0,0.5415856151627096,0.3254008253309424,0.3538537056280812,8.0,0.0,3.0,1.0
-0.5,0.0,7.0,0.0,0.9480348319698639,10.0,7.0,0.27696119810603076,0.24603622644468562,0.303264234625729,2.0,0.0,2.0,1.0
-0.5,0.0,8.0,1.0,0.7155152240533259,3.0,6.0,0.06878252404518317,0.23594808318287705,0.3487362856253379,0.0,0.0,0.0,3.0
-0.5,0.0,9.0,1.0,0.20970248183814466,5.0,7.0,0.14796006283862115,0.3343190659394534,0.4721245884554835,3.0,0.0,1.0,6.0
-0.5,0.0,10.0,0.0,0.5355485391208801,0.0,5.0,0.0,0.24894591467269456,,0.0,4.0,0.0,1.0
-0.5,0.0,11.0,0.0,0.20711762342626705,6.0,11.0,0.26389328788796285,0.49532482575944103,0.7052699824505109,5.0,4.0,0.0,6.0
-0.5,0.0,12.0,1.0,0.7276072036143049,7.0,4.0,0.19413635193687653,0.19291178368754905,0.08141271414146538,2.0,0.0,1.0,0.0
