Source,Target,Weight
0,23,1
0,61,1
0,211,1
0,226,1
0,269,1
0,341,1
0,452,1
0,474,1
1,332,1
2,14,1
2,35,1
2,163,1
2,230,1
2,274,1
2,277,1
2,288,1
2,345,1
3,117,1
3,191,1
4,266,1
5,93,1
5,219,1
5,411,1
5,477,1
6,56,1
6,203,1
6,316,1
6,450,1
7,87,1
7,116,1
8,61,1
8,190,1
8,386,1
8,413,1
8,425,1
8,492,1
9,272,1
9,278,1
9,454,1
10,6,1
10,429,1
10,476,1
11,91,1
11,209,1
11,442,1
12,127,1
12,166,1
12,179,1
12,201,1
12,394,1
12,421,1
13,17,1
13,32,1
13,107,1
13,171,1
13,469,1
14,390,1
15,193,1
15,306,1
15,454,1
16,77,1
16,78,1
16,85,1
16,99,1
16,429,1
16,479,1
16,493,1
17,45,1
17,155,1
17,412,1
17,439,1
18,147,1
18,154,1
18,207,1
18,245,1
18,253,1
18,301,1
18,307,1
18,308,1
18,337,1
18,368,1
19,54,1
19,482,1
20,311,1
21,12,1
21,76,1
21,167,1
21,446,1
22,63,1
22,94,1
22,146,1
22,168,1
22,214,1
22,216,1
22,226,1
22,295,1
22,358,1
22,496,1
23,87,1
23,209,1
23,283,1
24,113,1
24,143,1
24,188,1
24,210,1
24,278,1
24,462,1
25,65,1
25,75,1
25,220,1
25,221,1
25,280,1
25,293,1
25,337,1
25,369,1
25,465,1
26,151,1
26,167,1
26,261,1
26,424,1
27,127,1
27,134,1
27,146,1
27,350,1
27,483,1
28,16,1
28,159,1
28,197,1
28,221,1
28,259,1
28,375,1
28,386,1
28,454,1
29,117,1
29,209,1
29,273,1
29,303,1
30,343,1
31,311,1
32,39,1
32,45,1
33,41,1
34,424,1
35,35,1
36,22,1
36,255,1
36,288,1
36,300,1
36,344,1
36,418,1
37,206,1
38,90,1
38,124,1
39,102,1
39,177,1
39,228,1
39,233,1
39,262,1
39,298,1
39,364,1
40,13,1
40,105,1
40,329,1
40,353,1
40,462,1
41,280,1
41,294,1
41,312,1
42,174,1
42,373,1
42,492,1
43,224,1
43,242,1
43,384,1
43,389,1
43,465,1
44,35,1
44,208,1
44,295,1
44,347,1
44,428,1
45,406,1
46,480,1
47,320,1
47,451,1
47,493,1
47,498,1
48,87,1
48,293,1
48,332,1
49,171,1
49,173,1
49,192,1
49,271,1
49,384,1
49,472,1
50,56,1
50,75,1
50,226,1
50,466,1
51,456,1
52,78,1
52,136,1
52,228,1
52,272,1
52,336,1
52,411,1
52,463,1
53,62,1
53,284,1
53,417,1
54,48,1
54,136,1
54,236,1
54,283,1
54,306,1
54,364,1
54,489,1
55,69,1
55,99,1
55,273,1
55,347,1
55,359,1
56,0,1
56,93,1
56,169,1
56,243,1
56,306,1
56,366,1
57,34,1
57,189,1
57,304,1
58,105,1
58,270,1
58,276,1
58,357,1
58,479,1
59,37,1
59,60,1
59,63,1
59,144,1
59,234,1
59,254,1
59,288,1
59,347,1
59,400,1
59,429,1
59,456,1
60,153,1
60,480,1
61,10,1
61,396,1
61,456,1
62,29,1
62,103,1
62,226,1
62,317,1
63,308,1
64,104,1
64,159,1
64,398,1
65,474,1
65,489,1
66,43,1
66,289,1
66,427,1
67,273,1
67,285,1
68,396,1
68,405,1
68,444,1
69,171,1
69,308,1
69,352,1
69,405,1
70,12,1
70,30,1
70,60,1
70,143,1
70,301,1
70,352,1
71,76,1
71,108,1
71,155,1
71,293,1
72,121,1
72,224,1
72,338,1
73,108,1
73,417,1
74,23,1
74,250,1
74,266,1
74,322,1
74,498,1
75,20,1
76,60,1
76,75,1
77,13,1
77,40,1
77,46,1
77,316,1
77,375,1
77,417,1
78,411,1
79,134,1
79,216,1
79,268,1
79,369,1
79,425,1
80,3,1
80,289,1
80,312,1
80,393,1
80,436,1
81,128,1
81,288,1
81,403,1
81,461,1
82,96,1
82,124,1
82,146,1
83,41,1
83,102,1
83,150,1
83,174,1
83,423,1
83,499,1
84,117,1
84,126,1
84,274,1
84,301,1
85,215,1
86,450,1
87,195,1
87,481,1
88,187,1
88,262,1
88,451,1
89,121,1
89,173,1
89,188,1
89,197,1
89,344,1
89,364,1
89,405,1
89,412,1
90,133,1
90,450,1
91,0,1
91,105,1
91,139,1
91,180,1
91,219,1
91,330,1
91,338,1
91,379,1
91,388,1
91,493,1
92,9,1
92,112,1
92,314,1
93,45,1
93,146,1
94,15,1
94,44,1
94,124,1
95,46,1
95,126,1
96,32,1
96,82,1
96,107,1
96,195,1
96,260,1
96,282,1
96,343,1
96,356,1
96,373,1
97,20,1
97,62,1
97,76,1
97,211,1
97,235,1
97,262,1
97,279,1
97,409,1
97,465,1
97,473,1
98,41,1
98,170,1
99,499,1
100,157,1
100,169,1
100,255,1
100,375,1
100,381,1
100,451,1
101,4,1
101,237,1
101,283,1
101,379,1
101,441,1
102,417,1
103,0,1
103,254,1
104,116,1
105,105,1
106,25,1
106,102,1
106,239,1
106,413,1
106,475,1
107,191,1
108,105,1
108,226,1
108,270,1
109,36,1
109,92,1
109,193,1
109,209,1
109,320,1
110,190,1
110,319,1
110,426,1
111,11,1
111,294,1
111,321,1
111,342,1
111,462,1
112,111,1
112,136,1
112,157,1
112,201,1
112,233,1
112,312,1
112,363,1
113,113,1
114,91,1
114,117,1
114,190,1
114,289,1
114,497,1
115,35,1
115,139,1
115,441,1
116,194,1
116,252,1
116,260,1
116,380,1
116,444,1
117,118,1
117,155,1
118,77,1
118,104,1
118,356,1
119,69,1
119,182,1
119,191,1
119,244,1
119,270,1
119,336,1
119,345,1
119,382,1
120,68,1
120,126,1
120,300,1
120,301,1
121,28,1
121,60,1
121,197,1
121,355,1
121,426,1
121,494,1
122,12,1
122,14,1
122,161,1
122,210,1
123,499,1
124,499,1
125,45,1
125,58,1
125,150,1
125,310,1
125,373,1
125,457,1
126,73,1
126,191,1
126,425,1
126,478,1
127,223,1
128,125,1
128,193,1
128,368,1
129,356,1
130,83,1
130,94,1
130,220,1
130,295,1
130,335,1
130,383,1
130,442,1
130,461,1
130,479,1
131,258,1
131,405,1
131,449,1
131,469,1
132,7,1
132,86,1
132,105,1
132,191,1
132,455,1
133,41,1
133,312,1
134,121,1
134,130,1
134,208,1
134,348,1
134,377,1
134,421,1
134,450,1
135,14,1
135,163,1
135,396,1
135,419,1
135,441,1
136,127,1
136,329,1
137,138,1
137,203,1
137,357,1
137,416,1
137,446,1
138,112,1
138,188,1
138,381,1
138,391,1
138,445,1
139,87,1
139,117,1
139,126,1
139,197,1
139,305,1
139,368,1
139,472,1
140,5,1
140,133,1
140,451,1
141,115,1
141,127,1
141,169,1
141,213,1
141,394,1
141,404,1
141,498,1
142,102,1
142,311,1
143,290,1
143,347,1
143,379,1
143,388,1
143,426,1
143,486,1
144,224,1
145,357,1
145,495,1
146,47,1
146,77,1
146,129,1
146,289,1
146,298,1
146,419,1
146,479,1
146,495,1
147,22,1
147,121,1
147,205,1
147,256,1
147,269,1
147,350,1
147,375,1
147,404,1
148,4,1
148,185,1
148,398,1
148,412,1
148,483,1
149,358,1
150,254,1
151,137,1
151,218,1
151,348,1
151,350,1
151,441,1
152,60,1
152,96,1
152,208,1
152,225,1
153,16,1
153,113,1
153,143,1
153,380,1
153,427,1
154,338,1
154,398,1
155,264,1
156,152,1
156,238,1
156,347,1
157,52,1
157,117,1
157,129,1
157,162,1
157,192,1
157,226,1
157,443,1
158,94,1
158,346,1
158,408,1
158,439,1
159,28,1
159,87,1
159,319,1
159,425,1
160,245,1
160,253,1
160,263,1
160,271,1
160,423,1
160,435,1
161,192,1
161,312,1
161,497,1
162,120,1
162,488,1
163,101,1
163,283,1
163,401,1
163,480,1
164,80,1
165,216,1
165,219,1
165,259,1
165,343,1
166,277,1
166,333,1
167,404,1
168,30,1
168,68,1
168,117,1
169,98,1
169,155,1
169,170,1
169,301,1
169,427,1
170,368,1
170,490,1
171,192,1
171,329,1
172,172,1
173,25,1
173,35,1
173,149,1
173,464,1
174,78,1
174,180,1
174,243,1
174,322,1
174,328,1
174,329,1
174,353,1
174,454,1
174,486,1
175,233,1
175,277,1
175,432,1
176,95,1
176,108,1
176,128,1
177,88,1
177,188,1
177,301,1
177,347,1
178,145,1
178,240,1
178,258,1
178,349,1
179,95,1
179,202,1
179,274,1
179,393,1
180,95,1
180,105,1
180,190,1
180,311,1
180,326,1
180,334,1
181,96,1
181,200,1
181,307,1
181,415,1
181,473,1
182,34,1
182,152,1
182,167,1
182,220,1
182,272,1
182,426,1
182,443,1
182,494,1
183,233,1
183,417,1
184,208,1
185,153,1
186,44,1
186,120,1
186,188,1
186,193,1
186,200,1
186,370,1
186,379,1
187,249,1
187,383,1
187,450,1
188,68,1
188,76,1
188,307,1
189,16,1
189,32,1
189,159,1
189,161,1
189,200,1
189,233,1
189,470,1
190,10,1
190,116,1
190,355,1
191,274,1
191,413,1
191,454,1
192,126,1
192,190,1
192,378,1
192,428,1
192,445,1
193,292,1
193,362,1
193,431,1
194,411,1
195,16,1
195,65,1
196,221,1
196,305,1
196,490,1
197,73,1
197,134,1
197,282,1
197,289,1
197,317,1
197,339,1
197,444,1
198,216,1
198,402,1
198,461,1
199,41,1
199,102,1
199,186,1
199,263,1
199,314,1
199,424,1
200,153,1
201,49,1
201,86,1
201,146,1
201,408,1
201,458,1
202,248,1
202,320,1
202,337,1
202,480,1
203,238,1
203,386,1
204,85,1
204,220,1
205,112,1
205,167,1
205,324,1
206,220,1
206,288,1
207,65,1
207,197,1
207,498,1
208,208,1
209,56,1
209,139,1
209,373,1
210,76,1
210,499,1
211,153,1
211,189,1
211,343,1
211,374,1
211,420,1
211,448,1
211,464,1
212,180,1
212,193,1
212,268,1
212,417,1
213,37,1
213,235,1
214,2,1
214,93,1
214,151,1
214,261,1
214,414,1
214,422,1
214,427,1
215,215,1
216,375,1
216,383,1
216,400,1
216,425,1
216,470,1
216,471,1
217,30,1
217,356,1
218,123,1
218,143,1
218,300,1
218,372,1
218,419,1
218,441,1
218,446,1
219,45,1
219,211,1
219,372,1
219,393,1
219,490,1
220,13,1
220,115,1
220,173,1
