Source,Target,Weight
0,302,1
1,33,1
1,85,1
1,108,1
1,128,1
1,247,1
1,333,1
1,393,1
1,477,1
2,368,1
2,457,1
3,44,1
3,135,1
3,282,1
3,377,1
4,117,1
4,146,1
4,219,1
4,295,1
4,299,1
4,351,1
4,461,1
4,491,1
5,263,1
5,328,1
5,448,1
6,299,1
7,99,1
7,191,1
8,57,1
9,107,1
9,325,1
9,330,1
9,393,1
9,461,1
10,78,1
10,302,1
11,117,1
12,74,1
13,284,1
14,11,1
14,36,1
14,70,1
14,133,1
14,163,1
14,203,1
14,224,1
14,255,1
14,419,1
14,479,1
14,483,1
15,284,1
16,444,1
17,3,1
17,73,1
17,187,1
17,211,1
17,276,1
17,497,1
18,60,1
18,238,1
18,371,1
18,409,1
19,191,1
19,487,1
19,488,1
20,62,1
20,371,1
20,389,1
21,45,1
21,54,1
21,155,1
21,206,1
21,260,1
21,364,1
21,376,1
21,455,1
22,80,1
22,157,1
23,103,1
23,144,1
23,182,1
23,202,1
23,280,1
23,361,1
23,435,1
23,499,1
24,57,1
24,414,1
24,425,1
24,471,1
25,38,1
25,162,1
25,188,1
25,254,1
25,407,1
25,490,1
26,75,1
26,79,1
26,276,1
27,275,1
28,277,1
28,498,1
29,44,1
29,147,1
29,358,1
30,20,1
30,104,1
30,156,1
30,253,1
30,473,1
31,139,1
31,154,1
31,242,1
31,318,1
31,408,1
31,467,1
32,21,1
33,213,1
34,161,1
34,220,1
34,295,1
34,326,1
34,433,1
35,485,1
36,116,1
36,122,1
36,277,1
36,366,1
36,443,1
37,319,1
37,381,1
37,477,1
38,236,1
38,469,1
39,58,1
39,131,1
39,161,1
39,394,1
40,3,1
40,393,1
41,446,1
42,50,1
42,237,1
42,298,1
42,346,1
43,277,1
43,374,1
44,80,1
44,97,1
44,220,1
44,230,1
44,237,1
44,316,1
44,328,1
44,486,1
45,280,1
46,74,1
46,291,1
47,0,1
47,14,1
47,56,1
47,117,1
47,347,1
47,407,1
48,129,1
48,234,1
48,292,1
48,368,1
48,499,1
49,64,1
49,81,1
49,200,1
49,297,1
49,328,1
50,31,1
50,127,1
50,144,1
50,457,1
50,493,1
51,278,1
51,283,1
51,381,1
51,440,1
52,21,1
52,74,1
52,113,1
52,148,1
52,185,1
52,332,1
52,426,1
53,100,1
53,116,1
53,154,1
53,162,1
53,328,1
53,382,1
53,441,1
53,498,1
54,120,1
54,165,1
54,208,1
54,331,1
54,403,1
55,231,1
55,237,1
55,271,1
55,298,1
56,297,1
57,151,1
57,155,1
57,177,1
57,203,1
57,344,1
57,446,1
57,482,1
58,19,1
58,236,1
58,382,1
59,53,1
59,141,1
59,270,1
60,16,1
60,20,1
60,58,1
60,109,1
60,166,1
60,385,1
60,388,1
60,393,1
61,72,1
61,110,1
61,143,1
62,60,1
62,104,1
62,337,1
63,464,1
64,370,1
64,480,1
65,71,1
65,156,1
65,207,1
65,342,1
65,430,1
65,433,1
66,32,1
66,63,1
66,137,1
66,270,1
66,344,1
67,422,1
68,287,1
68,350,1
69,63,1
69,473,1
70,137,1
70,401,1
71,62,1
71,488,1
72,230,1
72,457,1
73,10,1
73,29,1
73,131,1
73,387,1
73,436,1
74,68,1
74,69,1
74,110,1
74,216,1
74,273,1
74,340,1
75,5,1
75,210,1
75,496,1
75,499,1
76,137,1
76,464,1
77,126,1
77,180,1
77,260,1
77,274,1
77,278,1
77,396,1
77,404,1
77,459,1
78,120,1
78,204,1
78,220,1
78,230,1
78,262,1
78,386,1
78,451,1
79,154,1
80,295,1
80,381,1
81,124,1
81,185,1
81,190,1
81,363,1
81,424,1
81,463,1
81,479,1
82,119,1
82,139,1
82,326,1
82,337,1
82,413,1
83,60,1
83,79,1
84,132,1
84,341,1
84,497,1
85,97,1
85,139,1
85,178,1
85,262,1
85,450,1
86,66,1
86,191,1
87,99,1
87,143,1
87,237,1
87,269,1
87,303,1
87,321,1
87,417,1
88,125,1
88,496,1
89,54,1
89,338,1
90,179,1
90,399,1
91,142,1
91,267,1
91,382,1
91,413,1
92,441,1
93,26,1
93,234,1
94,131,1
95,354,1
95,384,1
95,419,1
96,59,1
96,157,1
96,259,1
96,293,1
96,306,1
97,138,1
97,224,1
97,297,1
98,221,1
98,260,1
98,276,1
99,439,1
99,487,1
100,410,1
101,3,1
101,303,1
101,348,1
101,356,1
101,437,1
101,475,1
102,168,1
102,298,1
102,407,1
102,428,1
102,487,1
103,195,1
103,202,1
104,54,1
104,56,1
104,389,1
104,419,1
104,456,1
105,13,1
105,221,1
105,371,1
106,38,1
106,66,1
106,445,1
107,9,1
107,50,1
107,93,1
107,126,1
107,162,1
107,312,1
108,58,1
108,94,1
108,385,1
109,271,1
109,373,1
109,376,1
110,277,1
111,41,1
111,60,1
111,76,1
111,211,1
111,409,1
112,312,1
113,93,1
113,127,1
113,437,1
113,480,1
113,493,1
114,277,1
114,370,1
115,72,1
115,131,1
115,217,1
115,397,1
116,125,1
116,281,1
117,27,1
117,120,1
117,264,1
117,403,1
117,472,1
117,481,1
118,101,1
118,149,1
118,253,1
119,138,1
119,297,1
120,188,1
120,349,1
121,236,1
121,247,1
121,268,1
121,448,1
122,21,1
122,49,1
122,188,1
123,369,1
124,158,1
124,433,1
124,494,1
125,135,1
125,202,1
125,212,1
125,262,1
125,395,1
126,182,1
126,202,1
126,264,1
127,128,1
127,142,1
127,189,1
127,307,1
127,313,1
128,127,1
128,261,1
128,440,1
129,2,1
129,38,1
129,115,1
129,165,1
129,230,1
129,340,1
129,378,1
130,69,1
130,102,1
130,389,1
130,407,1
131,75,1
131,150,1
131,460,1
132,125,1
132,291,1
133,123,1
133,277,1
133,300,1
133,444,1
134,95,1
134,228,1
134,302,1
135,78,1
135,84,1
135,176,1
135,229,1
135,269,1
135,406,1
135,407,1
136,69,1
136,260,1
136,422,1
137,9,1
137,195,1
137,299,1
137,490,1
138,255,1
138,277,1
138,435,1
138,444,1
139,56,1
139,494,1
140,75,1
140,212,1
140,361,1
140,471,1
140,478,1
141,384,1
142,94,1
142,265,1
142,310,1
143,300,1
144,246,1
144,290,1
144,330,1
144,389,1
145,9,1
145,268,1
145,303,1
146,369,1
147,157,1
148,6,1
148,100,1
148,158,1
148,304,1
148,351,1
148,498,1
149,14,1
149,71,1
149,112,1
149,121,1
149,461,1
149,484,1
150,17,1
150,66,1
151,182,1
151,240,1
151,337,1
151,410,1
152,14,1
152,108,1
152,196,1
152,208,1
152,210,1
152,293,1
152,335,1
152,351,1
153,77,1
153,307,1
154,58,1
154,71,1
154,121,1
154,172,1
154,408,1
154,422,1
155,13,1
155,198,1
155,283,1
155,383,1
155,389,1
155,403,1
156,393,1
157,43,1
157,115,1
157,128,1
157,142,1
157,197,1
157,226,1
157,286,1
157,387,1
157,484,1
158,64,1
158,431,1
159,110,1
160,265,1
160,323,1
160,380,1
161,112,1
161,190,1
161,476,1
162,168,1
162,283,1
162,404,1
163,287,1
163,319,1
164,2,1
164,50,1
164,209,1
164,322,1
164,436,1
165,252,1
165,335,1
166,42,1
166,161,1
166,220,1
166,252,1
166,287,1
166,477,1
167,33,1
167,191,1
167,247,1
167,414,1
167,458,1
168,135,1
168,137,1
168,303,1
169,242,1
170,109,1
170,242,1
170,371,1
171,122,1
171,192,1
172,297,1
172,419,1
172,493,1
173,161,1
173,181,1
173,347,1
173,413,1
173,466,1
173,476,1
174,1,1
174,33,1
174,104,1
174,137,1
175,27,1
175,48,1
