Source,Target,Weight
0,102,1
0,212,1
0,240,1
0,460,1
1,146,1
2,80,1
2,85,1
2,181,1
2,373,1
3,81,1
3,451,1
3,466,1
4,8,1
4,191,1
4,197,1
5,0,1
5,351,1
5,368,1
5,480,1
6,52,1
6,149,1
6,247,1
6,352,1
7,318,1
7,365,1
7,458,1
7,480,1
8,9,1
8,62,1
8,155,1
8,436,1
9,28,1
10,391,1
11,149,1
12,80,1
13,9,1
13,380,1
14,146,1
14,158,1
14,176,1
14,248,1
14,270,1
14,300,1
15,80,1
16,23,1
16,209,1
16,281,1
17,11,1
17,282,1
17,426,1
18,379,1
19,27,1
19,28,1
19,40,1
19,87,1
19,97,1
19,119,1
19,163,1
19,377,1
20,120,1
20,393,1
20,418,1
20,424,1
21,35,1
21,47,1
21,212,1
21,233,1
21,271,1
21,410,1
22,42,1
22,149,1
22,199,1
22,277,1
22,348,1
22,457,1
23,159,1
23,208,1
23,315,1
23,330,1
23,340,1
23,394,1
23,403,1
23,438,1
23,439,1
23,497,1
24,147,1
24,202,1
24,205,1
24,288,1
24,433,1
24,487,1
24,497,1
25,177,1
25,186,1
25,339,1
25,399,1
25,427,1
25,439,1
26,24,1
26,359,1
27,18,1
27,59,1
27,195,1
27,447,1
28,28,1
29,193,1
29,305,1
29,317,1
29,400,1
29,427,1
30,0,1
30,24,1
30,239,1
31,475,1
31,482,1
32,135,1
32,143,1
32,193,1
32,239,1
33,146,1
33,213,1
33,259,1
33,282,1
34,22,1
35,221,1
35,230,1
35,352,1
35,412,1
36,156,1
36,236,1
36,375,1
36,400,1
36,453,1
36,458,1
37,318,1
38,12,1
38,220,1
38,282,1
38,466,1
38,497,1
39,166,1
39,310,1
39,365,1
39,373,1
39,389,1
39,464,1
39,491,1
40,241,1
40,450,1
40,451,1
41,44,1
41,221,1
41,236,1
41,467,1
42,127,1
42,160,1
42,369,1
43,135,1
44,291,1
44,312,1
44,451,1
45,120,1
45,338,1
45,452,1
46,139,1
46,226,1
46,255,1
46,497,1
47,64,1
47,483,1
48,143,1
49,267,1
49,283,1
49,438,1
50,108,1
50,206,1
50,272,1
50,339,1
50,344,1
50,365,1
50,441,1
51,182,1
51,324,1
52,193,1
52,328,1
53,143,1
54,26,1
54,53,1
54,362,1
55,12,1
55,37,1
55,236,1
55,237,1
55,297,1
55,301,1
55,460,1
56,146,1
57,116,1
57,259,1
57,270,1
57,297,1
57,460,1
58,193,1
58,264,1
59,123,1
59,244,1
59,315,1
59,388,1
60,359,1
60,443,1
61,0,1
61,39,1
61,48,1
61,205,1
61,248,1
61,258,1
62,138,1
62,187,1
62,425,1
62,440,1
62,443,1
62,483,1
63,197,1
63,225,1
64,36,1
64,83,1
64,107,1
64,202,1
64,206,1
64,383,1
64,400,1
64,418,1
65,178,1
66,22,1
67,129,1
67,241,1
67,418,1
67,466,1
68,320,1
68,362,1
69,10,1
69,97,1
69,150,1
69,225,1
69,391,1
69,478,1
70,184,1
70,241,1
71,217,1
71,400,1
71,403,1
71,421,1
72,94,1
72,206,1
73,163,1
73,252,1
73,431,1
74,15,1
74,88,1
74,148,1
74,207,1
74,420,1
75,10,1
75,53,1
75,65,1
75,183,1
76,28,1
76,481,1
77,53,1
77,198,1
77,310,1
78,143,1
79,383,1
80,235,1
81,64,1
81,80,1
81,121,1
81,127,1
81,139,1
81,239,1
81,324,1
82,56,1
82,109,1
82,170,1
82,235,1
82,271,1
82,340,1
82,373,1
82,401,1
83,191,1
84,264,1
85,448,1
86,211,1
86,270,1
86,438,1
87,59,1
87,82,1
87,221,1
88,148,1
89,117,1
89,203,1
90,35,1
90,428,1
90,471,1
90,490,1
91,245,1
91,438,1
92,28,1
92,231,1
93,93,1
94,159,1
94,210,1
94,262,1
94,276,1
95,20,1
95,36,1
95,81,1
95,176,1
96,129,1
96,248,1
97,66,1
97,114,1
97,331,1
98,147,1
98,383,1
99,379,1
100,114,1
100,228,1
101,51,1
101,90,1
102,35,1
102,130,1
102,140,1
102,447,1
103,241,1
103,319,1
103,413,1
104,10,1
104,182,1
105,43,1
105,187,1
105,192,1
105,343,1
106,2,1
106,127,1
106,336,1
106,490,1
106,496,1
107,155,1
107,288,1
107,343,1
107,412,1
108,51,1
108,67,1
108,303,1
109,30,1
109,181,1
109,189,1
109,195,1
109,221,1
109,361,1
109,373,1
110,192,1
110,230,1
110,235,1
110,256,1
110,267,1
110,279,1
110,315,1
110,331,1
110,444,1
110,466,1
111,303,1
111,309,1
112,24,1
113,64,1
113,163,1
113,176,1
113,187,1
113,455,1
114,241,1
115,88,1
115,339,1
115,388,1
116,47,1
116,140,1
116,348,1
117,112,1
117,131,1
117,160,1
117,169,1
117,222,1
117,229,1
117,308,1
117,423,1
117,453,1
118,202,1
118,379,1
119,355,1
119,419,1
120,70,1
120,129,1
120,172,1
120,230,1
120,290,1
120,367,1
121,48,1
121,177,1
121,498,1
122,102,1
122,291,1
122,345,1
122,412,1
122,457,1
122,477,1
123,65,1
123,206,1
123,254,1
123,389,1
124,11,1
124,24,1
124,383,1
125,82,1
126,58,1
126,162,1
126,181,1
126,188,1
126,453,1
