Source,Target,Weight
0,2,1
0,269,1
1,76,1
1,475,1
2,11,1
3,117,1
3,286,1
3,362,1
4,36,1
4,146,1
4,260,1
4,399,1
4,428,1
5,155,1
6,20,1
6,101,1
6,238,1
6,262,1
6,275,1
6,376,1
7,93,1
8,25,1
8,30,1
8,91,1
8,387,1
9,266,1
10,81,1
10,88,1
10,104,1
10,357,1
10,410,1
10,417,1
11,207,1
11,286,1
12,292,1
12,355,1
12,394,1
12,419,1
12,424,1
12,465,1
13,121,1
13,172,1
13,188,1
13,267,1
13,277,1
13,291,1
13,475,1
14,47,1
15,27,1
15,419,1
16,480,1
16,482,1
17,36,1
17,269,1
18,322,1
19,47,1
20,11,1
20,59,1
20,176,1
21,47,1
21,135,1
21,318,1
21,356,1
22,251,1
22,315,1
23,21,1
23,103,1
23,198,1
23,244,1
23,348,1
23,433,1
24,21,1
24,139,1
24,148,1
24,163,1
24,425,1
24,464,1
25,55,1
25,189,1
26,171,1
27,221,1
28,95,1
28,155,1
29,61,1
29,101,1
29,290,1
30,26,1
30,410,1
31,26,1
31,53,1
31,97,1
31,293,1
31,332,1
31,384,1
31,450,1
32,447,1
33,75,1
34,57,1
34,222,1
34,223,1
34,467,1
34,486,1
35,72,1
35,244,1
35,403,1
36,53,1
36,138,1
36,153,1
36,195,1
36,216,1
36,344,1
36,360,1
36,388,1
36,478,1
37,7,1
38,149,1
38,310,1
39,173,1
39,395,1
39,421,1
39,492,1
40,156,1
40,169,1
40,247,1
40,369,1
41,103,1
41,140,1
41,447,1
42,192,1
42,266,1
42,391,1
43,59,1
43,93,1
43,325,1
43,331,1
43,467,1
44,395,1
44,441,1
45,18,1
45,329,1
46,97,1
46,145,1
46,166,1
46,325,1
47,5,1
47,66,1
47,100,1
47,136,1
47,266,1
47,278,1
47,422,1
48,137,1
48,387,1
49,49,1
50,7,1
51,30,1
51,107,1
51,121,1
51,155,1
51,226,1
51,380,1
51,419,1
51,464,1
52,19,1
53,67,1
53,169,1
53,191,1
53,221,1
53,364,1
54,54,1
55,54,1
55,95,1
55,134,1
55,164,1
56,394,1
56,404,1
57,171,1
57,293,1
57,351,1
57,424,1
57,435,1
57,492,1
58,48,1
58,171,1
58,440,1
59,166,1
59,288,1
60,155,1
61,90,1
61,124,1
61,131,1
61,198,1
61,240,1
61,347,1
61,491,1
62,272,1
62,408,1
63,359,1
64,468,1
65,63,1
65,155,1
65,159,1
65,184,1
66,185,1
67,238,1
67,327,1
67,351,1
68,85,1
68,150,1
68,234,1
69,395,1
70,87,1
71,236,1
72,34,1
72,162,1
72,220,1
72,224,1
72,402,1
73,197,1
73,220,1
74,171,1
74,261,1
75,91,1
76,78,1
76,138,1
76,192,1
76,259,1
76,326,1
76,437,1
76,444,1
77,164,1
78,358,1
79,226,1
80,131,1
81,367,1
81,456,1
82,342,1
83,45,1
83,130,1
83,274,1
83,487,1
84,342,1
85,188,1
86,135,1
87,105,1
88,180,1
88,260,1
88,472,1
89,76,1
89,200,1
89,255,1
90,61,1
90,104,1
90,147,1
90,463,1
90,472,1
91,85,1
91,95,1
91,141,1
91,146,1
91,241,1
91,275,1
91,287,1
91,348,1
91,364,1
91,379,1
91,430,1
92,19,1
92,36,1
92,436,1
92,488,1
93,3,1
93,253,1
93,317,1
93,367,1
93,389,1
93,432,1
93,445,1
93,455,1
93,460,1
93,490,1
94,200,1
94,329,1
94,352,1
94,384,1
95,226,1
96,288,1
97,106,1
97,107,1
97,199,1
97,226,1
97,314,1
97,364,1
97,420,1
97,430,1
98,84,1
99,92,1
99,127,1
99,198,1
99,239,1
99,367,1
100,358,1
100,404,1
101,128,1
101,432,1
101,496,1
102,170,1
102,298,1
103,71,1
103,239,1
104,156,1
105,312,1
106,3,1
106,331,1
106,349,1
107,314,1
107,346,1
107,352,1
108,77,1
108,188,1
108,363,1
108,394,1
108,436,1
109,38,1
109,212,1
109,447,1
110,49,1
111,2,1
111,342,1
111,496,1
112,223,1
113,150,1
113,183,1
113,224,1
113,411,1
113,487,1
114,144,1
114,145,1
114,188,1
114,466,1
115,382,1
116,79,1
116,395,1
116,450,1
117,1,1
117,50,1
117,161,1
117,193,1
117,359,1
117,437,1
117,466,1
118,93,1
118,216,1
118,252,1
118,288,1
118,313,1
118,454,1
119,49,1
119,113,1
120,188,1
121,149,1
121,244,1
121,389,1
122,22,1
122,104,1
122,261,1
122,357,1
122,367,1
122,454,1
123,257,1
123,489,1
124,66,1
124,85,1
124,96,1
124,144,1
124,204,1
124,216,1
124,247,1
124,334,1
124,434,1
125,30,1
125,167,1
