Source,Target,Weight
0,94,1
0,495,1
1,348,1
1,497,1
2,26,1
2,318,1
3,10,1
4,146,1
5,304,1
5,391,1
6,82,1
6,208,1
7,54,1
7,398,1
8,42,1
8,208,1
8,472,1
9,203,1
9,310,1
10,357,1
10,427,1
11,70,1
11,153,1
11,253,1
11,335,1
11,468,1
12,478,1
13,56,1
13,98,1
13,398,1
13,435,1
14,120,1
14,159,1
14,207,1
15,38,1
15,127,1
15,195,1
15,205,1
15,382,1
15,426,1
15,444,1
15,481,1
16,31,1
16,32,1
16,267,1
16,452,1
16,487,1
17,449,1
18,91,1
18,391,1
19,6,1
19,68,1
19,273,1
19,379,1
20,313,1
21,0,1
21,215,1
21,402,1
22,73,1
22,296,1
22,331,1
22,448,1
22,468,1
23,79,1
24,143,1
24,307,1
25,457,1
26,62,1
26,290,1
26,364,1
26,488,1
27,9,1
27,257,1
27,428,1
27,452,1
28,92,1
28,100,1
28,124,1
28,298,1
28,353,1
28,354,1
28,420,1
29,188,1
29,194,1
29,230,1
29,268,1
29,343,1
29,357,1
29,381,1
29,437,1
29,494,1
30,428,1
30,435,1
30,463,1
31,69,1
31,408,1
32,20,1
32,79,1
32,184,1
32,217,1
32,337,1
33,19,1
33,178,1
33,488,1
34,4,1
34,46,1
34,288,1
34,404,1
35,304,1
36,168,1
36,199,1
36,379,1
36,465,1
36,479,1
37,29,1
37,329,1
38,28,1
38,279,1
39,386,1
39,463,1
40,89,1
40,189,1
41,122,1
41,201,1
41,211,1
42,115,1
43,129,1
43,252,1
43,279,1
43,423,1
44,9,1
44,26,1
44,338,1
44,368,1
45,436,1
46,79,1
46,400,1
46,485,1
47,33,1
47,40,1
47,66,1
47,133,1
47,134,1
47,148,1
47,419,1
47,439,1
48,174,1
48,246,1
48,364,1
48,376,1
48,431,1
48,488,1
49,10,1
49,37,1
49,234,1
49,251,1
50,115,1
50,313,1
50,457,1
51,153,1
51,226,1
51,327,1
51,397,1
52,101,1
52,440,1
52,455,1
52,497,1
53,23,1
53,224,1
53,239,1
53,373,1
54,61,1
55,33,1
56,260,1
56,435,1
56,469,1
57,369,1
57,406,1
57,435,1
58,228,1
58,449,1
59,119,1
60,272,1
61,127,1
61,307,1
62,299,1
63,232,1
64,141,1
64,254,1
64,299,1
64,437,1
65,28,1
66,40,1
66,83,1
66,419,1
67,107,1
68,74,1
68,418,1
68,497,1
69,257,1
70,42,1
70,348,1
70,410,1
70,413,1
71,198,1
71,309,1
71,313,1
71,409,1
72,17,1
72,65,1
72,80,1
72,322,1
72,362,1
73,153,1
74,309,1
75,300,1
76,194,1
76,295,1
76,299,1
76,450,1
76,494,1
77,7,1
77,221,1
77,303,1
77,339,1
77,357,1
77,432,1
78,122,1
78,273,1
78,320,1
78,392,1
79,7,1
79,39,1
79,62,1
79,125,1
79,156,1
79,220,1
79,279,1
79,371,1
79,433,1
79,456,1
79,467,1
80,69,1
80,158,1
80,217,1
80,398,1
81,63,1
81,82,1
81,146,1
81,247,1
82,161,1
82,183,1
82,273,1
82,320,1
82,407,1
82,473,1
82,478,1
82,481,1
83,172,1
83,234,1
83,410,1
84,270,1
84,273,1
84,275,1
84,288,1
84,409,1
85,477,1
86,159,1
87,115,1
87,185,1
87,195,1
87,310,1
87,360,1
87,465,1
88,30,1
88,118,1
88,127,1
88,157,1
88,295,1
88,300,1
88,310,1
88,391,1
89,304,1
89,471,1
90,201,1
90,331,1
90,392,1
91,118,1
91,243,1
91,295,1
92,118,1
92,141,1
92,432,1
93,409,1
94,73,1
94,261,1
94,394,1
95,144,1
96,99,1
97,345,1
98,35,1
98,42,1
98,145,1
98,170,1
98,284,1
98,474,1
98,476,1
99,433,1
99,498,1
100,42,1
100,164,1
101,461,1
102,176,1
102,188,1
102,308,1
102,335,1
102,497,1
103,37,1
103,55,1
103,212,1
103,310,1
103,391,1
103,428,1
104,2,1
104,100,1
104,128,1
104,305,1
104,317,1
105,73,1
105,111,1
105,240,1
106,129,1
106,359,1
106,389,1
106,430,1
107,461,1
108,196,1
108,325,1
109,273,1
109,296,1
109,331,1
109,386,1
109,434,1
109,454,1
109,457,1
110,272,1
111,92,1
111,107,1
111,124,1
111,153,1
111,279,1
111,495,1
112,38,1
112,138,1
112,153,1
112,215,1
112,481,1
113,82,1
113,496,1
114,96,1
114,158,1
114,322,1
115,186,1
115,188,1
115,233,1
115,359,1
115,365,1
115,435,1
115,438,1
116,28,1
116,86,1
116,456,1
117,456,1
118,299,1
119,119,1
120,314,1
121,347,1
121,369,1
121,491,1
122,39,1
122,159,1
122,420,1
123,210,1
123,211,1
123,295,1
123,355,1
124,123,1
124,164,1
124,232,1
