Source,Target,Weight
0,47,1
0,172,1
0,189,1
0,293,1
0,333,1
0,352,1
0,466,1
1,107,1
2,85,1
2,95,1
2,171,1
2,199,1
2,206,1
2,209,1
2,327,1
3,24,1
3,259,1
3,325,1
3,448,1
4,162,1
4,184,1
4,278,1
4,483,1
4,496,1
5,29,1
5,140,1
5,175,1
5,253,1
5,333,1
5,388,1
5,442,1
6,210,1
6,355,1
6,482,1
7,114,1
7,284,1
8,367,1
8,400,1
9,11,1
9,193,1
9,199,1
9,327,1
9,356,1
10,127,1
10,137,1
10,179,1
10,186,1
10,229,1
10,311,1
10,378,1
10,438,1
11,46,1
11,190,1
11,419,1
12,2,1
12,15,1
12,200,1
12,222,1
12,288,1
12,289,1
12,301,1
12,341,1
12,344,1
12,357,1
13,14,1
13,30,1
13,42,1
13,440,1
14,24,1
14,334,1
14,375,1
14,460,1
14,469,1
14,479,1
15,54,1
15,85,1
15,120,1
15,236,1
15,296,1
16,17,1
16,442,1
17,13,1
17,94,1
17,101,1
17,140,1
17,218,1
17,261,1
17,354,1
17,445,1
17,452,1
18,32,1
18,136,1
18,143,1
18,210,1
18,406,1
18,414,1
18,460,1
18,469,1
18,486,1
18,487,1
19,2,1
19,58,1
19,149,1
19,249,1
19,332,1
19,347,1
20,10,1
20,173,1
20,301,1
20,494,1
21,66,1
21,70,1
21,143,1
21,291,1
22,134,1
22,138,1
22,150,1
22,153,1
22,273,1
22,311,1
22,386,1
22,427,1
22,484,1
23,39,1
23,58,1
23,186,1
23,302,1
23,403,1
23,414,1
23,462,1
23,488,1
24,63,1
24,173,1
24,196,1
24,210,1
24,245,1
24,258,1
24,322,1
24,325,1
24,423,1
24,463,1
25,73,1
25,206,1
25,249,1
25,354,1
25,359,1
25,374,1
26,218,1
26,396,1
26,405,1
26,427,1
27,74,1
27,162,1
27,261,1
27,448,1
28,13,1
28,239,1
28,460,1
28,486,1
29,71,1
29,136,1
29,168,1
29,257,1
30,69,1
30,198,1
30,255,1
30,261,1
30,333,1
30,389,1
31,42,1
31,51,1
31,291,1
31,306,1
31,331,1
31,389,1
32,7,1
32,19,1
32,85,1
32,111,1
32,131,1
32,181,1
32,289,1
32,297,1
32,460,1
33,52,1
33,234,1
33,383,1
34,0,1
34,157,1
34,179,1
34,253,1
34,457,1
34,463,1
34,464,1
35,97,1
35,128,1
35,194,1
35,309,1
35,330,1
35,371,1
35,413,1
35,443,1
36,148,1
36,184,1
36,287,1
36,377,1
37,51,1
37,168,1
37,181,1
37,239,1
37,444,1
38,17,1
38,31,1
38,104,1
38,106,1
38,143,1
38,195,1
