Id,Threshold,Type
0,0.9999,1
1,0.0001,1
2,0.0001,0
3,0.0001,0
4,0.0001,1
5,0.9999,1
6,0.9999,0
7,0.9999,0
8,0.0001,1
9,0.0001,0
10,0.0001,1
11,0.0001,0
12,0.0001,0
13,0.0001,1
14,0.0001,0
15,0.0001,0
16,0.9999,0
17,0.9999,1
18,0.9999,0
19,0.0001,1
20,0.0001,0
21,0.0001,0
22,0.0001,0
23,0.0001,0
24,0.0001,1
25,0.0001,0
26,0.9999,0
27,0.9999,0
28,0.0001,0
29,0.0001,0
30,0.9999,0
31,0.0001,0
32,0.0001,0
33,0.7656180854252137,1
34,0.0001,1
35,0.9999,0
36,0.9999,1
37,0.0001,0
38,0.7650504470595124,0
39,0.0001,0
40,0.8967231731280911,1
41,0.0001,0
42,0.9999,0
43,0.9999,0
44,0.9999,1
45,0.9999,0
46,0.7055040895517027,1
47,0.0001,1
48,0.9999,1
49,0.9999,1
50,0.9999,0
51,0.0001,1
52,0.0001,1
53,0.9999,0
54,0.9000999999999999,1
55,0.0001,0
56,0.9999,0
57,0.9999,0
58,0.9999,0
59,0.9999,1
60,0.6456264323005761,1
61,0.0001,1
62,0.9999,0
63,0.0001,1
64,0.9999,0
65,0.9999,0
66,0.0001,0
67,0.0001,0
68,0.0001,1
69,0.0001,0
70,0.0001,0
71,0.9999,1
72,0.0001,1
73,0.0001,1
74,0.9999,0
75,0.0001,1
76,0.0001,1
77,0.0001,1
78,0.0001,1
79,0.9999,1
80,0.0001,0
81,0.9999,0
82,0.9999,1
83,0.9999,1
84,0.0001,1
85,0.0001,1
86,0.0001,0
87,0.9999,1
88,0.0001,1
89,0.0001,0
90,0.0001,1
91,0.5758396576567802,1
92,0.0001,0
93,0.0001,1
94,0.0001,1
95,0.8721788864084103,0
96,0.0001,0
97,0.0001,0
98,0.6944644081566688,0
99,0.9999,1
100,0.0001,1
101,0.0001,0
102,0.9999,0
103,0.0001,1
104,0.0001,0
105,0.0001,0
106,0.0001,1
107,0.9999,0
108,0.0001,0
109,0.0001,0
110,0.9999,0
111,0.9999,1
112,0.9999,1
113,0.7031084192767622,0
114,0.6792336616917181,1
115,0.0001,0
116,0.7268571911896451,0
117,0.0001,1
118,0.9999,1
119,0.0001,1
120,0.0001,1
121,0.9999,1
122,0.0001,0
123,0.7619950263942485,1
124,0.6001,0
125,0.8389859214902882,0
126,0.0001,0
127,0.6967640620116926,1
128,0.0001,1
129,0.0001,0
130,0.0001,1
131,0.9999,0
132,0.0001,0
133,0.0001,1
134,0.0001,1
135,0.0001,0
136,0.6892420796462817,0
137,0.0001,1
138,0.9999,1
139,0.0001,1
140,0.0001,0
141,0.5281530980683187,1
142,0.0001,1
143,0.0001,1
144,0.0001,1
145,0.0001,1
146,0.9999,1
147,0.9999,1
148,0.0001,1
149,0.9999,1
150,0.6967448104180268,0
151,0.9999,1
152,0.9999,0
153,0.9999,1
154,0.9999,1
155,0.0001,0
156,0.514429982362873,0
157,0.0001,0
158,0.7141164329973517,1
159,0.7346811641559167,0
160,0.9999,1
161,0.9999,1
162,0.9999,1
163,0.0001,0
164,0.0001,0
165,0.9999,1
166,0.0001,0
167,0.0001,1
168,0.0001,1
169,0.0001,0
170,0.9999,1
171,0.9999,1
172,0.9999,1
173,0.9999,1
174,0.0001,0
175,0.9999,1
176,0.9999,0
177,0.0001,1
178,0.9999,0
179,0.8399233571022169,0
180,0.0001,1
181,0.9999,1
182,0.9999,0
183,0.9694159489135069,1
184,0.0001,1
185,0.0001,1
186,0.0001,0
187,0.0001,1
188,0.0001,0
189,0.0001,0
190,0.9999,1
191,0.0001,0
192,0.9999,1
193,0.0001,1
194,0.0001,1
195,0.9999,1
196,0.7646836710591968,1
197,0.0001,0
198,0.9999,1
199,0.9999,1
200,0.9999,0
201,0.9999,1
202,0.9999,1
203,0.0001,1
204,0.9999,1
205,0.0001,1
206,0.9999,1
207,0.9999,0
208,0.9999,0
209,0.9999,0
210,0.0001,0
211,0.0001,1
212,0.0001,1
213,0.0001,0
214,0.0001,0
215,0.0001,0
216,0.0001,0
217,0.9999,0
