Id,Threshold,Type
0,0.9999,0
1,0.7829940747143659,0
2,0.0001,1
3,0.0001,0
4,0.9999,0
5,0.0001,1
6,0.9999,0
7,0.0001,1
8,0.0001,1
9,0.9999,0
10,0.9999,0
11,0.0001,1
12,0.0001,1
13,0.9999,0
14,0.9999,1
15,0.7215073613564881,0
16,0.0001,1
17,0.0001,1
18,0.9999,1
19,0.0001,1
20,0.0001,0
21,0.9999,0
22,0.9999,0
23,0.0001,0
24,0.0001,1
25,0.0001,1
26,0.0001,0
27,0.9999,1
28,0.0001,0
29,0.0001,1
30,0.9999,0
31,0.9999,0
32,0.9999,1
33,0.9999,0
34,0.9999,1
35,0.7248909900781637,1
36,0.9999,1
37,0.0001,1
38,0.0001,0
39,0.9999,0
40,0.0001,0
41,0.9999,1
42,0.0001,0
43,0.9999,1
44,0.9999,0
45,0.0001,0
46,0.0001,0
47,0.9999,0
48,0.0001,0
49,0.0001,1
50,0.0001,1
51,0.0001,0
52,0.0001,0
53,0.0001,1
54,0.9999,1
55,0.0001,1
56,0.9999,1
57,0.9999,1
58,0.0001,0
59,0.0001,1
60,0.0001,1
61,0.9999,0
62,0.9999,1
63,0.0001,1
64,0.0001,0
65,0.9999,1
66,0.0001,1
67,0.0001,1
68,0.9999,0
69,0.0001,1
70,0.0001,0
71,0.0001,0
72,0.0001,0
73,0.0001,0
74,0.0001,1
75,0.9999,1
76,0.0001,1
77,0.9999,1
78,0.0001,1
79,0.9999,0
80,0.0001,0
81,0.9999,1
82,0.5368411658771065,0
83,0.9999,1
84,0.9999,1
85,0.9709809736577479,0
86,0.0001,1
87,0.9999,0
88,0.0001,0
89,0.9999,0
90,0.0001,0
91,0.0001,0
92,0.0001,0
93,0.9999,1
94,0.0001,0
95,0.0001,1
96,0.0001,1
97,0.0001,0
98,0.9999,0
99,0.0001,0
100,0.9999,1
101,0.0001,1
102,0.0001,1
103,0.9999,0
104,0.0001,1
105,0.0001,0
106,0.0001,1
107,0.0001,1
108,0.9999,1
109,0.9999,0
110,0.0001,0
111,0.0001,1
112,0.9999,1
113,0.9999,1
114,0.9999,1
115,0.0001,1
116,0.9999,0
117,0.0001,0
118,0.9999,1
119,0.0001,0
120,0.9999,1
121,0.6246739765608067,1
122,0.0001,1
123,0.8625748073779672,0
124,0.0001,1
125,0.9999,1
126,0.9999,1
127,0.9999,0
128,0.9999,1
129,0.9999,1
130,0.0001,0
131,0.0001,1
132,0.9999,0
133,0.740531585687649,1
134,0.8615269911527538,0
135,0.9999,0
136,0.9081353293192767,1
137,0.0001,0
138,0.9999,0
139,0.9999,0
140,0.0001,0
141,0.9999,1
142,0.9999,1
143,0.0001,1
144,0.7370082075404247,0
145,0.0001,0
146,0.9288234188641784,1
147,0.9999,1
148,0.0001,1
149,0.9999,0
150,0.7726465575053272,1
151,0.9999,0
152,0.9999,0
153,0.0001,0
154,0.9999,1
155,0.9999,1
156,0.0001,0
157,0.0001,1
158,0.0001,1
159,0.663697635895147,1
160,0.9999,1
161,0.0001,1
162,0.0001,0
163,0.0001,1
164,0.9999,0
165,0.0001,0
166,0.0001,0
167,0.0001,1
168,0.9999,1
169,0.0001,0
170,0.0001,1
171,0.9999,0
172,0.0001,0
173,0.0001,1
174,0.9999,0
175,0.0001,0
176,0.0001,1
177,0.0001,0
178,0.9999,0
179,0.0001,1
180,0.9999,0
181,0.0001,0
182,0.0001,1
183,0.0001,1
184,0.0001,0
185,0.5999000000000001,0
186,0.0001,1
187,0.9999,0
188,0.9999,0
189,0.9999,0
190,0.0001,0
191,0.0001,0
192,0.0001,1
193,0.0001,1
194,0.0001,1
195,0.0001,1
196,0.9999,1
197,0.0001,1
198,0.0001,1
199,0.9999,1
200,0.0001,0
201,0.0001,0
202,0.0001,1
203,0.0001,0
204,0.9999,0
205,0.9999,0
206,0.0001,0
207,0.0001,0
208,0.9999,0
209,0.0001,0
210,0.0001,0
211,0.9999,1
212,0.9999,1
213,0.9999,1
214,0.0001,0
215,0.0001,1
216,0.9999,0
217,0.0001,1
218,0.9999,1
219,0.0001,1
220,0.9999,1
221,0.0001,1
222,0.9999,0
223,0.9999,0
224,0.0001,1
225,0.0001,0
226,0.0001,0
227,0.9999,1
228,0.0001,1
229,0.9999,1
230,0.9999,1
231,0.9999,0
232,0.9999,0
233,0.0001,1
234,0.9999,1
235,0.0001,0
236,0.9999,1
237,0.0001,0
238,0.0001,1
239,0.9924766673171214,1
240,0.0001,1
241,0.0001,1
242,0.0001,1
243,0.9999,0
244,0.9999,0
245,0.9999,1
246,0.9999,0
247,0.9999,0
248,0.0001,0
249,0.9999,0
250,0.9999,0
251,0.9999,0
252,0.0001,0
253,0.9999,0
254,0.9999,1
255,0.7313315664208588,0
256,0.0001,1
257,0.0001,0
258,0.0001,1
259,0.0001,1
260,0.0001,1
261,0.0001,1
262,0.0001,1
263,0.0001,0
264,0.0001,0
265,0.0001,0
266,0.0001,0
267,0.9999,1
268,0.0001,0
269,0.0001,1
270,0.9999,1
271,0.0001,0
272,0.9999,0
273,0.9999,0
274,0.0001,1
275,0.0001,0
276,0.0001,0
277,0.0001,0
278,0.9999,0
279,0.0001,1
280,0.7945126119259902,1
281,0.0001,1
282,0.0001,1
283,0.9999,0
284,0.0001,1
285,0.0001,0
286,0.0001,0
287,0.0001,0
288,0.0001,0
289,0.9999,0
290,0.9999,1
291,0.9999,1
292,0.0001,1
293,0.8491209080126176,1
294,0.9999,0
295,0.9999,1
296,0.0001,0
297,0.0001,1
298,0.9999,0
299,0.0001,1
300,0.9999,0
301,0.9999,1
302,0.9999,1
303,0.0001,1
304,0.0001,0
305,0.9043397255727078,0
306,0.9999,1
307,0.0001,0
308,0.0001,0
309,0.0001,1
310,0.0001,0
311,0.7438707406795072,1
312,0.9999,1
313,0.9999,1
314,0.681687751707107,1
315,0.9999,1
316,0.0001,0
317,0.9999,1
318,0.9999,0
319,0.0001,0
320,0.9999,0
321,0.0001,1
322,0.0001,0
323,0.8326029024636254,1
324,0.0001,1
325,0.9999,1
326,0.0001,0
327,0.0001,1
328,0.9999,1
329,0.0001,1
330,0.9999,1
331,0.0001,0
332,0.0001,0
333,0.0001,1
334,0.0001,1
335,0.9999,0
336,0.0001,0
337,0.0001,1
338,0.0001,1
339,0.0001,0
340,0.9999,1
341,0.9999,1
342,0.0001,1
343,0.0001,0
344,0.0001,1
345,0.9999,1
346,0.9999,1
347,0.9999,1
348,0.9999,1
349,0.0001,0
350,0.9999,1
351,0.9999,1
352,0.0001,0
353,0.0001,1
354,0.0001,1
355,0.785731526256881,1
356,0.0001,1
357,0.0001,0
358,0.0001,1
359,0.8636203199928232,1
360,0.0001,1
361,0.0001,1
362,0.0001,1
363,0.0001,1
364,0.9999,0
365,0.0001,0
366,0.0001,1
367,0.0001,1
368,0.9999,0
369,0.9999,0
370,0.9999,1
371,0.9999,0
372,0.0001,1
373,0.0001,1
374,0.0001,1
375,0.7370057535629124,1
376,0.0001,1
377,0.0001,1
378,0.9999,0
379,0.0001,0
380,0.9999,0
381,0.0001,0
382,0.0001,0
383,0.9999,0
384,0.0001,0
385,0.9999,0
386,0.0001,0
387,0.9999,0
388,0.9999,1
389,0.0001,1
390,0.0001,1
391,0.9999,0
392,0.9999,0
393,0.9999,1
394,0.0001,0
395,0.0001,1
396,0.0001,0
397,0.0001,1
398,0.0001,0
399,0.9999,1
400,0.0001,1
401,0.0001,1
402,0.0001,1
403,0.9999,1
404,0.9999,1
405,0.9999,1
406,0.9999,0
407,0.9999,0
408,0.0001,1
409,0.0001,0
410,0.7666275657163115,0
411,0.9999,1
412,0.0001,1
413,0.0001,0
414,0.0001,1
415,0.0001,0
416,0.0001,1
417,0.9999,1
418,0.0001,1
419,0.9999,0
420,0.9999,1
421,0.0001,0
422,0.0001,1
423,0.0001,1
424,0.8000999999999999,1
425,0.0001,1
426,0.0001,1
427,0.9999,0
428,0.0001,0
429,0.0001,0
430,0.0001,0
431,0.0001,0
432,0.0001,1
433,0.0001,0
434,0.0001,0
435,0.0001,1
436,0.9999,1
437,0.0001,1
438,0.0001,1
439,0.9999,1
440,0.0001,1
441,0.0001,1
442,0.0001,0
443,0.7739076962897902,1
444,0.0001,0
445,0.9999,0
446,0.0001,1
447,0.9025565460036417,0
448,0.9999,0
449,0.0001,1
450,0.0001,0
451,0.9999,0
452,0.0001,1
453,0.9999,1
454,0.9999,1
455,0.9999,1
456,0.9999,0
457,0.9999,1
458,0.0001,0
459,0.0001,0
460,0.0001,0
461,0.0001,1
462,0.9999,0
463,0.0001,0
464,0.0001,1
465,0.0001,1
466,0.0001,1
467,0.9999,0
468,0.0001,1
469,0.0001,1
470,0.9999,0
471,0.6698254968122248,1
472,0.0001,0
473,0.0001,1
474,0.0001,1
475,0.0001,0
476,0.9999,0
477,0.9999,1
478,0.0001,1
479,0.0001,0
480,0.9999,1
481,0.0001,0
482,0.9999,0
483,0.0001,0
484,0.0001,1
485,0.0001,1
486,0.0001,1
487,0.7160749975924725,1
488,0.0001,0
489,0.9999,0
490,0.0001,0
491,0.9999,1
492,0.9999,1
493,0.0001,0
494,0.0001,0
495,0.0001,0
496,0.0001,0
497,0.6999000000000001,0
498,0.9999,0
499,0.0001,1
